"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.252124996E-3,-1.987866211E0,8.093070374E0,7.005881195E0
1.525012500E-2,-1.441053314E0,7.954608307E0,9.053473206E0
2.524812500E-2,-4.388873291E-1,8.194858704E0,1.263058456E1
3.524612500E-2,1.531165924E0,6.362070007E0,1.509880188E1
4.524412499E-2,2.291734314E0,4.058510284E0,1.628209122E1
5.524212500E-2,1.593436432E0,2.418071594E0,1.559217590E1
6.523912500E-2,-3.068618774E-1,9.333091736E-1,1.319745575E1
7.523712500E-2,-3.278931427E0,1.145567780E0,1.211969696E1
8.523512500E-2,-5.636528778E0,1.941163330E0,1.246652573E1
9.523312499E-2,-4.974305878E0,1.741628265E0,1.304731796E1
1.052311250E-1,-3.687282257E0,8.126600647E-1,1.350132385E1
1.152291250E-1,-2.264940033E0,3.460803223E-1,1.359443024E1
1.252271250E-1,-8.411009216E-1,4.418811035E-1,1.326122314E1
1.352251250E-1,3.424877930E-1,5.321434021E-1,1.265483414E1
1.452231250E-1,8.837622070E-1,4.017645264E-1,1.163335831E1
1.552211250E-1,1.189426575E0,2.588117981E-1,1.071157516E1
1.652181250E-1,1.214574280E0,4.367916870E-1,9.948462067E0
1.752161250E-1,6.167175293E-1,7.809260559E-1,9.749076691E0
1.852141250E-1,-3.863465881E-1,1.098266144E0,9.726324005E0
1.952121250E-1,-8.907975769E-1,9.259744263E-1,9.736951904E0
2.052101250E-1,-1.188977509E0,-2.652484131E-1,8.991053009E0
2.152081250E-1,-2.143392792E0,-1.621128845E-1,9.174421692E0
2.252061250E-1,-2.290836182E0,-3.143463135E-1,8.641380157E0
2.352041250E-1,-1.405876465E0,-1.002315674E0,7.817942505E0
2.452021250E-1,-8.458909607E-1,-1.155297546E0,8.042325897E0
2.552001250E-1,-7.587721252E-1,7.035369873E-2,8.850794678E0
2.651981250E-1,-1.492546234E0,1.566642151E0,7.697443085E0
2.751951250E-1,-2.563269653E0,3.508553925E0,3.033292236E0
2.851931250E-1,-1.657802582E0,4.424499207E0,2.735411682E0
2.951911250E-1,-3.802093506E-2,3.653751984E0,5.247487793E0
3.051891250E-1,8.241860962E-1,2.459535370E0,5.355862427E0
3.151871250E-1,-5.421725464E-1,-8.981323242E-3,6.684499512E0
3.251851250E-1,-1.432071991E0,-5.384303284E-1,3.726800079E0
3.351831250E-1,-1.248553619E0,-3.704795837E-1,2.741997986E0
3.451811250E-1,-5.409750366E-1,6.959028625E-1,2.516566772E0
3.551791250E-1,4.026626587E-1,1.739832001E0,2.159409485E0
3.651771250E-1,2.043251038E-1,3.287313995E0,3.935166779E0
3.751741250E-1,1.503922577E0,3.787573700E0,2.935246124E0
3.851721250E-1,3.741918640E0,1.407373352E0,-3.875440979E-1
