"Time (s)","X (hPa)"
-5.500516250E-1,9.629430389E2
4.827193750E-1,9.629362488E2
1.515487375E0,9.629350281E2
2.548250375E0,9.629293823E2
3.581009375E0,9.629270935E2
3.773342375E0,9.629192352E2
4.839475375E0,9.629185486E2
5.905572375E0,9.629165649E2
6.971710375E0,9.629048920E2
8.037852375E0,9.628999329E2
9.103992375E0,9.628970337E2
1.017009837E1,9.628815460E2
1.123622637E1,9.628752899E2
1.230237637E1,9.628639221E2
1.336851537E1,9.628473663E2
1.443464337E1,9.628337097E2
1.550075937E1,9.628196716E2
1.656695237E1,9.628086853E2
1.763314637E1,9.627989960E2
1.869932037E1,9.627901459E2
1.976557537E1,9.627790833E2
2.083182037E1,9.627663422E2
2.189801337E1,9.627484131E2
2.296423837E1,9.627320099E2
2.403044137E1,9.627046204E2
2.509662137E1,9.626853180E2
2.616281037E1,9.626672363E2
2.722904437E1,9.626570129E2
2.829525337E1,9.626490784E2
2.936150937E1,9.626455688E2
3.042771937E1,9.626455688E2
3.149390237E1,9.626438904E2
3.256015137E1,9.626358795E2
3.362638437E1,9.626334381E2
3.469261037E1,9.626232910E2
3.575880037E1,9.626129913E2
3.682501937E1,9.625984955E2
3.789121537E1,9.625898743E2
3.895745837E1,9.625733948E2
4.002365337E1,9.625607300E2
4.108988037E1,9.625478363E2
4.215609537E1,9.625362396E2
4.322233837E1,9.625217438E2
4.428855137E1,9.625140381E2
4.657476367E1,9.625663757E2
4.760762667E1,9.625508118E2
4.864052067E1,9.625351715E2
4.967340167E1,9.625022125E2
5.070631167E1,9.624758148E2
5.089848467E1,9.624483490E2
5.196468867E1,9.624456787E2
5.303086467E1,9.624281311E2
5.409705667E1,9.624214935E2
5.516321967E1,9.624166107E2
5.622942367E1,9.624150085E2
5.729563467E1,9.624113464E2
5.836181267E1,9.624044800E2
5.942805767E1,9.623883820E2
6.049429467E1,9.623757935E2
6.156049867E1,9.623686218E2
6.262666967E1,9.623615265E2
6.369287867E1,9.623568726E2
6.475903667E1,9.623537445E2
6.582518567E1,9.623519897E2
6.689135967E1,9.623410034E2
6.795755667E1,9.623360443E2
6.902374967E1,9.623292542E2
7.008992967E1,9.623171234E2
7.115616367E1,9.623072052E2
7.222238367E1,9.622943115E2
7.328865567E1,9.622786713E2
7.435494467E1,9.622618866E2
7.542123967E1,9.622489929E2
7.648748667E1,9.622383118E2
7.755372067E1,9.622254944E2
7.861999767E1,9.622126007E2
7.968623267E1,9.621987915E2
8.075249067E1,9.621858215E2
8.181871867E1,9.621659851E2
8.288498067E1,9.621517944E2
8.395120867E1,9.621430969E2
8.658532454E1,9.620868683E2
8.761813854E1,9.620774841E2
8.865097654E1,9.620707703E2
8.968382854E1,9.620681000E2
9.071662054E1,9.620652008E2
9.090890754E1,9.620644379E2
9.197508454E1,9.620597839E2
9.304125954E1,9.620593262E2
9.410747154E1,9.620529938E2
9.517368254E1,9.620485687E2
9.623988354E1,9.620434570E2
9.730605554E1,9.620413971E2
9.837224654E1,9.620409393E2
9.943844654E1,9.620409393E2
1.005046505E2,9.620466614E2
1.015708125E2,9.620545197E2
1.026369675E2,9.620672607E2
1.037031315E2,9.620854187E2
1.047692775E2,9.621046448E2
1.058354105E2,9.621255493E2
1.069015695E2,9.621482086E2
1.079677525E2,9.621707153E2
1.090338925E2,9.621909332E2
1.101000225E2,9.622164917E2
1.111661915E2,9.622382355E2
1.122323565E2,9.622651672E2
1.132985325E2,9.622873688E2
1.143646715E2,9.623131561E2
1.154308245E2,9.623356628E2
1.164970145E2,9.623591614E2
1.175631995E2,9.623811340E2
1.186293345E2,9.624008942E2
1.196955105E2,9.624201202E2
1.207616225E2,9.624407196E2
1.218277185E2,9.624604034E2
1.228938405E2,9.624755096E2
1.239599735E2,9.624927521E2
1.250260815E2,9.625040436E2
1.260921725E2,9.625151825E2
1.292284752E2,9.626936340E2
1.302612872E2,9.626892853E2
1.312940982E2,9.626849365E2
1.323268902E2,9.626782990E2
1.333597042E2,9.626782990E2
1.335519782E2,9.626911163E2
1.346180802E2,9.626958466E2
1.356841182E2,9.627041626E2
1.367502142E2,9.627288818E2
1.378162892E2,9.627458191E2
1.388823322E2,9.627700043E2
1.399484112E2,9.627912903E2
1.410144942E2,9.628199005E2
1.420805592E2,9.628436279E2
1.431465702E2,9.628718567E2
1.442125942E2,9.628855896E2
1.452786352E2,9.628960419E2
1.463447102E2,9.628968811E2
1.474108022E2,9.628968811E2
