"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.252124996E-3,-2.149649143E0,-2.085586309E0,-5.300858021E-1
1.525012500E-2,-2.896741629E0,-1.588548899E0,-9.309075475E-1
2.524812500E-2,-3.420724630E0,-7.777141333E-1,-1.379087687E0
3.524612500E-2,-3.656501293E0,9.005443752E-2,-1.893313646E0
4.524412499E-2,-3.611010790E0,4.259376228E-1,-2.352308989E0
5.524212500E-2,-3.665839195E0,1.603516042E-1,-2.573547125E0
6.523912500E-2,-3.750298738E0,2.568648160E-1,-2.390728474E0
7.523712500E-2,-3.686202765E0,7.655135989E-1,-1.663315654E0
8.523512500E-2,-3.410282850E0,7.410580516E-1,-8.145428300E-1
9.523312499E-2,-3.020617485E0,1.256548911E-1,-1.525534391E-1
1.052311250E-1,-2.591425419E0,-5.743426085E-1,1.340170801E-1
1.152291250E-1,-2.163328886E0,-8.967874050E-1,1.945350021E-1
1.252271250E-1,-1.783619881E0,-7.897890210E-1,1.664165556E-1
1.352251250E-1,-1.527700543E0,-3.206507862E-1,1.526518911E-1
1.452231250E-1,-1.319278955E0,2.200042009E-1,1.743270904E-1
1.552211250E-1,-1.096164584E0,7.364755869E-1,1.959623843E-1
1.652181250E-1,-8.054260015E-1,1.075338840E0,2.817545235E-1
1.752161250E-1,-3.952271938E-1,1.102616668E0,4.472899735E-1
1.852141250E-1,1.248468682E-1,9.275193810E-1,5.877541304E-1
1.952121250E-1,7.148721814E-1,1.237840578E-1,7.572394609E-1
2.052101250E-1,1.284862995E0,-6.923786402E-1,8.664807081E-1
2.152081250E-1,1.754560232E0,-6.458991766E-1,8.790029883E-1
2.252061250E-1,2.118847609E0,-2.880856693E-1,7.233723998E-1
2.352041250E-1,2.603567362E0,-4.561302066E-1,4.436097145E-1
2.452021250E-1,3.256140471E0,-1.080690742E0,1.423694491E-1
2.552001250E-1,3.915514231E0,-2.010165453E0,-9.967821091E-2
2.651981250E-1,3.349313021E0,-4.173038483E0,-6.138249040E-1
2.751951250E-1,1.664166212E0,-6.336266041E0,-1.352685452E0
2.851931250E-1,1.139897943E0,-7.060197830E0,-1.649062514E0
2.951911250E-1,1.062530875E0,-6.665675640E0,-1.798454165E0
3.051891250E-1,8.408911228E-1,-4.856659412E0,-1.863283038E0
3.151871250E-1,2.850479186E-1,-2.882561922E0,-1.679968476E0
3.251851250E-1,-6.040129662E-1,-1.800088644E0,-1.227335453E0
3.351831250E-1,-1.390861988E0,-1.090934753E0,-6.909042001E-1
3.451811250E-1,-1.777911067E0,-4.126600623E-1,-3.165122271E-1
3.551791250E-1,-1.837967634E0,-2.302132398E-1,-1.567510366E-1
3.651771250E-1,-1.400235295E0,-1.508810163E0,-6.152219139E-4
3.751741250E-1,-1.316360354E0,-3.740339518E0,-3.122788966E-1
3.851721250E-1,-1.395395041E0,-6.828193188E0,-5.642834306E-1
3.951701250E-1,-1.470939040E0,-9.995499611E0,-5.650791526E-1
4.051681250E-1,-7.099607587E-1,-1.056056976E1,1.275323182E-1
4.151661250E-1,4.133261442E-1,-8.819419861E0,6.364082098E-1
4.251641250E-1,1.433611631E0,-6.574164391E0,9.069116116E-1
4.351621250E-1,1.824097872E0,-5.763027191E0,6.771128774E-1
4.451601250E-1,1.384162307E0,-6.241544247E0,-1.026108861E-1
4.551581250E-1,4.660222530E-1,-5.941039562E0,-6.930271983E-1
