"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.252124996E-3,2.675776514E-1,3.030078607E0,-1.088263897E0
1.525012500E-2,6.980922063E-1,3.114523510E0,7.931017131E-1
2.524812500E-2,1.654561909E0,3.643800900E0,4.196045567E0
3.524612500E-2,3.667889966E0,2.148569916E0,6.501306245E0
4.524412499E-2,4.541600225E0,2.072338012E-1,7.544707380E0
5.524212500E-2,3.959896700E0,-1.056819617E0,6.728706216E0
6.523912500E-2,2.157010080E0,-2.149927055E0,4.216414928E0
7.523712500E-2,-7.080486989E-1,-1.548823054E0,3.044074502E0
8.523512500E-2,-2.962314347E0,-3.975286572E-1,3.322391442E0
9.523312499E-2,-2.248249741E0,-2.896400732E-1,3.845216721E0
1.052311250E-1,-9.831987870E-1,-9.598045157E-1,4.239444771E0
1.152291250E-1,3.651042384E-1,-1.210253626E0,4.272585036E0
1.252271250E-1,1.704786421E0,-9.354618260E-1,3.887990858E0
1.352251250E-1,2.832852900E0,-6.942863998E-1,3.245792917E0
1.452231250E-1,3.367844481E0,-6.946719506E-1,2.206626921E0
1.552211250E-1,3.716841979E0,-7.283350289E-1,1.284284200E0
1.652181250E-1,3.826956159E0,-4.660808288E-1,5.358967298E-1
1.752161250E-1,3.329783784E0,-7.439090878E-2,3.605837560E-1
1.852141250E-1,2.418785539E0,2.419784682E-1,3.650147760E-1
1.952121250E-1,1.961335932E0,1.130690709E-2,3.953881377E-1
2.052101250E-1,1.625732066E0,-1.296552682E0,-3.497137821E-1
2.152081250E-1,5.937464502E-1,-1.360825130E0,-1.694137180E-1
2.252061250E-1,3.937696284E-1,-1.715779041E0,-6.894820350E-1
2.352041250E-1,1.238523890E0,-2.638435026E0,-1.486162244E0
2.452021250E-1,1.725174785E0,-3.070105137E0,-1.229094670E0
2.552001250E-1,1.670804012E0,-2.178774878E0,-3.836346495E-1
2.651981250E-1,6.715799072E-1,-1.022262573E0,-1.513975695E0
2.751951250E-1,-8.665832336E-1,7.115029415E-1,-6.215159883E0
2.851931250E-1,-5.464825290E-1,1.524992141E0,-6.570174167E0
2.951911250E-1,4.827789783E-1,6.656122389E-1,-4.081814947E0
3.051891250E-1,8.400494461E-1,-6.141421232E-1,-3.960164795E0
3.151871250E-1,-8.150464596E-1,-3.139932878E0,-2.608443487E0
3.251851250E-1,-1.874495570E0,-3.661091116E0,-5.562406549E0
3.351831250E-1,-1.796759908E0,-3.403019868E0,-6.571393896E0
3.451811250E-1,-1.143230794E0,-2.189882834E0,-6.840015568E0
3.551791250E-1,-2.189782262E-1,-9.747697333E-1,-7.247003412E0
3.651771250E-1,-4.899979873E-1,7.221287942E-1,-5.508023350E0
3.751741250E-1,5.690847219E-1,1.348099542E0,-6.520500900E0
3.851721250E-1,2.322876731E0,-9.102052166E-1,-9.813638138E0
3.951701250E-1,-1.067967334E0,-1.679935170E0,-8.917113213E0
4.051681250E-1,-3.812072656E0,-1.010476487E0,-6.621633173E0
4.151661250E-1,-8.085633885E0,7.878329332E-1,-3.465732425E-1
4.251641250E-1,-7.372173003E0,2.158818331E0,1.620293278E0
4.351621250E-1,-7.936767867E0,3.844205445E0,1.864599888E0
4.451601250E-1,-5.129081676E0,5.960801910E0,-1.484744294E0
4.551581250E-1,-1.760943958E0,6.989979692E0,-4.664527409E0
4.651551250E-1,-1.521366575E0,6.879053918E0,-5.481050144E0
4.751531250E-1,-1.232482664E1,9.569724460E0,-4.360363437E0
4.851511250E-1,-1.258493184E1,1.104487347E1,3.101680101E0
4.951491250E-1,-2.296424950E0,6.890125036E0,9.927781634E0
5.051471250E-1,-8.475906293E0,6.281583084E0,6.351205296E0
5.151451250E-1,-7.844326896E0,6.816150742E0,4.643993157E0
5.251431250E-1,-4.529664304E0,1.051877726E1,4.428530862E0
5.351411250E-1,-2.242114842E-1,1.579023630E1,6.691989210E0
5.451391250E-1,2.674553862E0,1.778060395E1,8.976319780E0
5.551371250E-1,4.151592110E0,1.833981061E1,1.034592655E1
5.651341250E-1,5.309975232E0,1.799702227E1,1.011259341E1
5.751321250E-1,5.088931770E0,1.922529189E1,1.366355134E1
5.851301250E-1,7.613089398E0,2.074130417E1,1.725934572E1
5.951281250E-1,1.291123103E1,1.944060508E1,1.927380975E1
6.051261250E-1,1.600633653E1,1.661640694E1,2.215382541E1
6.151241250E-1,1.554992860E1,1.384908583E1,2.617989769E1
6.251221250E-1,1.557607384E1,1.106117902E1,2.893084893E1
6.351201250E-1,1.811924194E1,8.111721822E0,3.082488136E1
6.451181250E-1,2.188196497E1,5.877787235E0,3.119288640E1
6.551161250E-1,2.305714071E1,3.955853058E0,2.736574342E1
6.651131250E-1,1.816517766E1,2.302593763E0,1.742427463E1
6.751111250E-1,1.724159124E1,-1.689671077E0,1.461553185E1
6.851091250E-1,1.858960483E1,-6.960482243E0,1.428785388E1
6.951071250E-1,1.742320459E1,-1.087537205E1,1.277568088E1
7.051051250E-1,1.463014755E1,-1.476598304E1,1.160388366E1
7.151031250E-1,9.783814999E0,-1.833336931E1,8.909592524E0
