"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.450708389E-1,4.736498250E1,8.506482770E0,4.469173609E2,8.502654697E-1,2.883328934E2,1.390981212E1,7.185717758E0
1.845093727E0,4.736497684E1,8.506471304E0,4.475188502E2,8.660478503E-1,2.658134411E2,1.413397013E1,7.023713083E0
2.845115066E0,4.736498216E1,8.506452891E0,4.487880014E2,1.057399844E0,2.749802297E2,1.425336901E1,6.953663809E0
3.845135212E0,4.736498985E1,8.506426147E0,4.474238976E2,1.383756865E0,2.860513474E2,1.425094051E1,6.633035606E0
4.845155835E0,4.736500563E1,8.506382879E0,4.477426247E2,2.337646634E0,2.944716634E2,1.442849473E1,6.150038653E0
5.845174909E0,4.736501572E1,8.506359853E0,4.490341985E2,2.445731108E0,3.031383728E2,1.429344680E1,5.602737209E0
6.845193863E0,4.736501325E1,8.506312391E0,4.468391743E2,2.838409832E0,2.897654889E2,1.453303738E1,5.540092511E0
7.845212102E0,4.736501249E1,8.506283297E0,4.484580130E2,2.698698573E0,2.820720142E2,1.427363060E1,5.198533939E0
8.845229149E0,4.736499034E1,8.506266261E0,4.487395234E2,2.030180246E0,2.620874387E2,1.416207865E1,5.153523095E0
9.845245957E0,4.736499902E1,8.506254338E0,4.474121320E2,1.248673412E0,2.719679146E2,1.378104093E1,5.395825127E0
1.084526169E1,4.736502000E1,8.506214057E0,4.501898479E2,1.753677620E0,2.877265636E2,1.335774513E1,5.912061291E0
1.184527850E1,4.736503033E1,8.506171450E0,4.496865020E2,2.277206883E0,2.911348455E2,1.292748317E1,5.869325356E0
1.284529412E1,4.736503595E1,8.506130075E0,4.480225025E2,2.679110126E0,2.884449408E2,1.250681900E1,5.612261073E0
1.384530783E1,4.736503168E1,8.506087465E0,4.491746257E2,2.519407046E0,2.806514729E2,1.209473068E1,5.783373297E0
1.484532309E1,4.736503959E1,8.506024102E0,4.473878974E2,3.712018996E0,2.833048487E2,1.174656350E1,5.884923856E0
1.584533751E1,4.736504114E1,8.505990881E0,4.494699028E2,3.137766832E0,2.802970553E2,1.141188774E1,5.908863481E0
1.684535074E1,4.736505398E1,8.505935222E0,4.489721397E2,3.631123602E0,2.804175456E2,1.099662176E1,5.704625951E0
1.784536421E1,4.736506318E1,8.505885570E0,4.495112734E2,3.740935516E0,2.821686073E2,1.077267348E1,5.484649899E0
1.884537733E1,4.736502989E1,8.505879396E0,4.507750455E2,2.664945967E0,2.399198437E2,1.038759410E1,6.045769229E0
1.984539127E1,4.736503016E1,8.505854271E0,4.506545668E2,2.148040728E0,2.486735505E2,1.000604332E1,6.147435864E0
2.084540355E1,4.736502040E1,8.505845403E0,4.514010622E2,1.797872759E0,2.325233512E2,9.748672876E0,5.805034126E0
2.184541571E1,4.736502314E1,8.505818022E0,4.502226318E2,1.631786315E0,2.466401569E2,9.486289461E0,5.394030482E0
2.284542871E1,4.736502997E1,8.505796533E0,4.505338166E2,1.534533290E0,2.588148100E2,9.307089606E0,5.285436377E0
2.384544039E1,4.736502625E1,8.505760322E0,4.509603621E2,1.847402808E0,2.563470265E2,9.177831385E0,5.141209439E0
2.484545195E1,4.736502458E1,8.505709347E0,4.504737132E2,2.860586712E0,2.610483200E2,8.971546208E0,4.876089111E0
2.584546363E1,4.736500697E1,8.505694403E0,4.509993844E2,2.346824680E0,2.464093891E2,8.876398567E0,4.795254592E0
2.684547460E1,4.736501575E1,8.505653351E0,4.512603200E2,2.546818932E0,2.609898449E2,8.642887209E0,4.886969950E0
2.784548616E1,4.736502460E1,8.505625292E0,4.501986329E2,2.324576609E0,2.712498324E2,8.438555649E0,4.845272538E0
2.884549737E1,4.736503573E1,8.505574947E0,4.496966472E2,2.616911252E0,2.733539906E2,8.245211242E0,4.934447669E0
2.984550858E1,4.736504271E1,8.505531874E0,4.504929764E2,2.915962577E0,2.749413916E2,8.096624672E0,4.656892471E0
3.084551895E1,4.736504309E1,8.505481803E0,4.499670885E2,3.341997808E0,2.699970087E2,7.992372640E0,4.277453609E0
3.184553003E1,4.736504348E1,8.505458571E0,4.510829274E2,2.635870703E0,2.702524005E2,7.857585763E0,4.399341855E0
3.284554029E1,4.736504918E1,8.505443120E0,4.515023737E2,2.148482563E0,2.798048959E2,7.656272646E0,4.162220904E0
3.384555030E1,4.736504471E1,8.505406691E0,4.517979590E2,2.139876331E0,2.724242209E2,7.555603901E0,4.269127255E0
3.484556055E1,4.736505176E1,8.505361471E0,4.524360396E2,2.756485751E0,2.740751731E2,7.450893542E0,4.542119306E0
3.584557211E1,4.736505146E1,8.505334034E0,4.516001748E2,2.737918335E0,2.718401547E2,7.361757286E0,4.372404279E0
3.684558094E1,4.736505062E1,8.505301998E0,4.524104333E2,2.558138383E0,2.670176573E2,7.258763541E0,4.416181852E0
3.784559155E1,4.736505290E1,8.505277999E0,4.512636730E2,2.095220272E0,2.696619148E2,7.184187396E0,4.479250355E0
3.884560180E1,4.736505439E1,8.505259080E0,4.525417902E2,1.745005951E0,2.738418635E2,6.975470884E0,4.389457366E0
3.984561050E1,4.736505212E1,8.505227495E0,4.519634561E2,1.928488161E0,2.734073806E2,6.922710746E0,4.178108693E0
4.084562099E1,4.736505779E1,8.505184169E0,4.522572365E2,2.662377678E0,2.782910297E2,6.838125619E0,4.176529470E0
4.184563041E1,4.736506048E1,8.505143108E0,4.510555204E2,2.952880840E0,2.753697279E2,6.736471185E0,4.095890809E0
4.284563994E1,4.736505180E1,8.505078945E0,4.512790686E2,3.821128817E0,2.640935157E2,6.629647105E0,3.914741581E0
4.384564996E1,4.736504770E1,8.505037007E0,4.513408416E2,3.691180527E0,2.635677327E2,6.610114184E0,3.736894448E0
4.484565997E1,4.736505120E1,8.504992352E0,4.521796293E2,3.639919428E0,2.676369033E2,6.496789391E0,3.355531737E0
