"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.252124996E-3,3.054145813E1,-1.937058830E1,-3.091274261E1
1.525012500E-2,3.026631165E1,-1.876743889E1,-3.139645386E1
2.524812500E-2,3.014637756E1,-1.809324646E1,-3.188129044E1
3.524612500E-2,3.011012268E1,-1.573731613E1,-3.274284744E1
4.524412499E-2,3.036930847E1,-1.386908722E1,-3.356158066E1
5.524212500E-2,3.082902527E1,-1.200659943E1,-3.422585678E1
6.523912500E-2,3.100111389E1,-9.934091568E0,-3.433926392E1
7.523712500E-2,3.139884949E1,-8.003400803E0,-3.470973206E1
8.523512500E-2,3.158235168E1,-6.489305496E0,-3.454219437E1
9.523312499E-2,3.158235168E1,-6.489305496E0,-3.454219437E1
1.052311250E-1,3.186174011E1,-3.951143265E0,-3.476040268E1
1.152291250E-1,3.161485291E1,-3.213645935E0,-3.523694229E1
1.252271250E-1,3.135171509E1,-2.728727341E0,-3.557105637E1
1.352251250E-1,3.135171509E1,-2.728727341E0,-3.557105637E1
1.452231250E-1,3.133474731E1,-1.761041641E0,-3.624806595E1
1.552211250E-1,3.160510254E1,-1.465198517E0,-3.609799576E1
1.652181250E-1,3.186264038E1,-1.154644012E0,-3.568784714E1
1.752161250E-1,3.236511230E1,-1.125324249E0,-3.550900650E1
1.852141250E-1,3.253494263E1,-1.130218506E0,-3.529774475E1
1.952121250E-1,3.278076172E1,-1.304458618E0,-3.501703644E1
2.052101250E-1,3.252828979E1,-1.875690460E0,-3.471356201E1
2.152081250E-1,3.223706055E1,-2.614885330E0,-3.470870209E1
2.252061250E-1,3.201016235E1,-3.553747177E0,-3.443469238E1
2.352041250E-1,3.192169189E1,-4.453725815E0,-3.483125305E1
2.452021250E-1,3.174647522E1,-5.576517105E0,-3.486564255E1
2.552001250E-1,3.121345520E1,-6.844495773E0,-3.520135117E1
2.651981250E-1,3.025758362E1,-7.833942413E0,-3.558901215E1
2.751951250E-1,2.848045349E1,-8.661003113E0,-3.695490265E1
2.851931250E-1,2.630142212E1,-8.756397247E0,-3.862574387E1
2.951911250E-1,2.359902954E1,-8.967426300E0,-4.035242844E1
3.051891250E-1,2.136366272E1,-8.897514343E0,-4.167306519E1
3.151871250E-1,1.983171082E1,-8.928264618E0,-4.264302826E1
3.251851250E-1,1.912724304E1,-8.541614532E0,-4.329738998E1
3.351831250E-1,1.836848450E1,-7.974281311E0,-4.328567123E1
3.451811250E-1,1.797921753E1,-7.195184708E0,-4.345984268E1
3.551791250E-1,1.775656128E1,-6.490015030E0,-4.362212753E1
3.651771250E-1,1.737347412E1,-5.775739670E0,-4.405981445E1
