"Time (s)","Distance (cm)"
2.591999997E-3,5.000000000E0
3.177970125E0,0.000000000E0
3.278004625E0,5.000000000E0
4.527684625E0,0.000000000E0
4.560999625E0,5.000000000E0
5.794268708E0,0.000000000E0
5.860889167E0,5.000000000E0
1.029379058E1,0.000000000E0
1.036043633E1,5.000000000E0
1.237667479E1,0.000000000E0
1.249321579E1,5.000000000E0
1.567614454E1,0.000000000E0
1.575942392E1,5.000000000E0
1.779294662E1,0.000000000E0
1.789301358E1,5.000000000E0
1.909291242E1,0.000000000E0
1.924286067E1,5.000000000E0
2.262569237E1,0.000000000E0
2.270910554E1,5.000000000E0
2.684312692E1,0.000000000E0
2.695979400E1,5.000000000E0
2.972700017E1,0.000000000E0
2.982698904E1,5.000000000E0
4.246029917E1,0.000000000E0
4.269374275E1,5.000000000E0
4.712086504E1,5.000000000E0
5.163250412E1,0.000000000E0
5.168253942E1,5.000000000E0
5.709915412E1,0.000000000E0
5.723241258E1,5.000000000E0
7.161770163E1,0.000000000E0
7.171766500E1,5.000000000E0
7.298481692E1,0.000000000E0
7.306812312E1,5.000000000E0
8.190252787E1,0.000000000E0
8.200253358E1,5.000000000E0
8.396896262E1,0.000000000E0
8.410228937E1,5.000000000E0
8.714060962E1,5.000000000E0
1.027136192E2,0.000000000E0
1.029636119E2,5.000000000E0
1.159122806E2,0.000000000E0
1.162455661E2,5.000000000E0
1.208959637E2,0.000000000E0
1.211294344E2,5.000000000E0
1.222959713E2,0.000000000E0
1.225126092E2,5.000000000E0
1.230627285E2,0.000000000E0
1.232959951E2,5.000000000E0
1.297546692E2,5.000000000E0
1.324967687E2,0.000000000E0
1.326134780E2,5.000000000E0
1.396955064E2,0.000000000E0
1.399288088E2,5.000000000E0
