"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.320916669E-3,-2.528092804E0,2.649640045E0,7.825726318E-1
1.331791667E-2,-2.989732819E0,3.712579651E0,2.399959259E0
2.331591667E-2,-2.513572998E0,5.285508728E0,4.738695831E0
3.331391667E-2,4.351451111E-1,7.040608978E0,9.258097687E0
4.331091667E-2,4.167783051E0,6.659800873E0,1.565878738E1
5.330891667E-2,5.355113983E0,5.735173645E0,1.838267303E1
6.330591667E-2,3.667822723E0,6.429878998E0,1.873324402E1
7.330391667E-2,4.947212219E-1,6.667584686E0,1.792148209E1
8.330191667E-2,-1.108444977E0,6.482419739E0,1.598570755E1
9.329891667E-2,-2.116149445E0,5.865103455E0,1.422297318E1
1.032969167E-1,-2.643053741E0,4.810097351E0,1.266800674E1
1.132939167E-1,-3.144960022E0,3.323239288E0,1.146421005E1
1.232919167E-1,-4.252057800E0,2.008972321E0,1.126168121E1
1.332889167E-1,-4.793781281E0,1.097368011E0,1.210502747E1
1.432869167E-1,-3.403921509E0,8.047265625E-1,1.362930771E1
1.532849167E-1,-1.255588989E0,7.979905701E-1,1.517574188E1
1.632819167E-1,-2.155517578E-1,9.404942322E-1,1.602851852E1
1.732799167E-1,-7.385641479E-1,1.425635376E0,1.506557098E1
1.832769167E-1,-1.754351807E0,2.149979095E0,1.297920959E1
1.932749167E-1,-2.232158203E0,2.865640869E0,1.051039352E1
2.032729167E-1,-2.893033905E0,3.305875397E0,8.323740692E0
2.132699167E-1,-3.005599823E0,3.718118134E0,6.674470367E0
2.232679167E-1,-2.504591675E0,3.840114441E0,5.720204773E0
2.332649167E-1,-2.819985809E0,3.171604614E0,5.220394135E0
2.432629167E-1,-4.018842773E0,2.541415100E0,5.096152496E0
2.532609167E-1,-5.387446747E0,2.062560883E0,5.100643158E0
2.632579167E-1,-5.761219482E0,1.482068024E0,5.079537048E0
2.732559167E-1,-5.104834442E0,9.069639587E-1,5.019062805E0
2.832529167E-1,-3.814517670E0,7.493417358E-1,4.852459259E0
2.932509167E-1,-2.647694092E0,1.315314789E0,4.638853455E0
3.032489167E-1,-1.581611023E0,2.436632996E0,4.884342957E0
3.132459167E-1,-8.237370300E-1,3.659889221E0,5.298082581E0
3.232439167E-1,-7.688012695E-1,4.421804810E0,5.007536774E0
3.332409167E-1,-1.412013702E0,4.357438660E0,4.481680298E0
3.432389167E-1,-2.395318909E0,3.790268097E0,3.836372223E0
3.532359167E-1,-3.202290802E0,3.218906250E0,3.255729675E0
3.632339167E-1,-4.353846130E0,2.847977600E0,3.626059570E0
3.732319167E-1,-5.232818298E0,2.533631287E0,4.603377228E0
3.832289167E-1,-5.713768158E0,2.468217316E0,6.693480835E0
3.932269167E-1,-5.852529602E0,2.696642303E0,8.967402191E0
4.032239167E-1,-5.691464539E0,2.668650513E0,1.035965698E1
4.132219167E-1,-5.941295013E0,1.131197662E0,1.185340073E1
4.232199167E-1,-8.126450958E0,-9.192384338E-1,1.439795929E1
4.332169167E-1,-8.744964752E0,-2.171534271E0,1.676289139E1
4.432149167E-1,-7.155869293E0,-2.462678833E0,1.924458069E1
4.532119167E-1,-3.997886353E0,-2.031874695E0,2.043415695E1
4.632099167E-1,-1.670226746E0,-1.046324158E0,2.001981857E1
4.732079167E-1,-8.711883545E-1,-7.394622803E-1,1.912138687E1
4.832049167E-1,-1.657054138E0,-1.041833496E-1,1.972538086E1
4.932029167E-1,-3.014880524E0,4.198768616E-1,1.900822220E1
5.031999167E-1,-3.232228546E0,-1.242865448E0,1.774440033E1
5.131979167E-1,-3.824397125E0,-3.563639374E0,1.554128174E1
5.231959167E-1,-3.966601410E0,-4.120331726E0,1.298609528E1
5.331929167E-1,-3.117267609E0,-3.739972687E0,1.138068375E1
5.431909167E-1,-2.864293671E0,-4.579726410E0,1.098730179E1
5.531879167E-1,-1.991758118E0,-4.687502289E0,9.617350616E0
5.631859167E-1,-9.499246216E-1,-3.432512054E0,1.022598495E1
5.731839167E-1,-8.779243469E-1,-1.950444031E0,8.395890656E0
5.831809167E-1,-1.739832001E0,-2.364632721E0,5.653892670E0
5.931789167E-1,-1.621278534E0,-2.857857056E0,3.711232452E0
6.031759167E-1,-5.520520020E-1,2.719844055E-1,8.014334106E-1
6.131739167E-1,3.537892914E0,2.999612274E0,-1.628164215E0
6.231719167E-1,4.949756927E0,1.784139862E0,1.850002899E0
