"Time (s)","X (hPa)"
-5.221418750E-1,9.658887482E2
5.107351250E-1,9.658930206E2
1.543613125E0,9.658939362E2
2.576494125E0,9.658939362E2
3.609401125E0,9.658874512E2
3.801607125E0,9.658874512E2
4.867834125E0,9.658865356E2
5.934098125E0,9.658859253E2
7.000347125E0,9.658859253E2
8.066563125E0,9.658859253E2
9.132779125E0,9.658841705E2
1.019904812E1,9.658830261E2
1.126531412E1,9.658830261E2
1.233159012E1,9.658798981E2
1.339783413E1,9.658750153E2
1.446410912E1,9.658739471E2
1.553039612E1,9.658696747E2
1.659668512E1,9.658647156E2
1.766295212E1,9.658615875E2
1.872923712E1,9.658580017E2
1.979549312E1,9.658557892E2
2.086174512E1,9.658512878E2
2.192797412E1,9.658512878E2
2.299423312E1,9.658512878E2
2.406051112E1,9.658471680E2
2.512678612E1,9.658449554E2
2.619303712E1,9.658443451E2
2.725931612E1,9.658425140E2
2.832558112E1,9.658335114E2
2.939189312E1,9.658330536E2
3.045814113E1,9.658297729E2
3.152436812E1,9.658264923E2
3.259058312E1,9.658213806E2
3.365682412E1,9.658213043E2
3.472309412E1,9.658147430E2
3.578933012E1,9.658128357E2
3.685559013E1,9.658113098E2
3.792183312E1,9.658058167E2
3.898805913E1,9.657996368E2
4.005428912E1,9.657936859E2
4.112049812E1,9.657862854E2
4.218671512E1,9.657770538E2
4.325290112E1,9.657740021E2
4.431910812E1,9.657682037E2
4.538531212E1,9.657637024E2
4.645155512E1,9.657569885E2
4.751780712E1,9.657524109E2
4.858403712E1,9.657448578E2
4.965023212E1,9.657399750E2
5.071647412E1,9.657358551E2
5.178272112E1,9.657309723E2
5.284897612E1,9.657232666E2
5.391524812E1,9.657124329E2
5.498147213E1,9.657035828E2
5.604768412E1,9.656919098E2
5.711388812E1,9.656780243E2
5.818007612E1,9.656627655E2
5.924624212E1,9.656528473E2
6.031245412E1,9.656409454E2
6.137867412E1,9.656285858E2
6.244488412E1,9.656147003E2
6.351115012E1,9.656107330E2
6.457739412E1,9.656008148E2
6.564356612E1,9.655941772E2
6.670974912E1,9.655838013E2
6.777592813E1,9.655794525E2
6.884210312E1,9.655735779E2
6.990830013E1,9.655680847E2
7.097449212E1,9.655631256E2
7.204073512E1,9.655626678E2
7.310690412E1,9.655613708E2
7.417305513E1,9.655609131E2
7.523922212E1,9.655609131E2
7.630537313E1,9.655609131E2
7.737157112E1,9.655605316E2
7.843776412E1,9.655551910E2
7.950395812E1,9.655487823E2
8.057011312E1,9.655397034E2
8.163625512E1,9.655280304E2
8.270239112E1,9.655210876E2
8.376849812E1,9.655166626E2
8.483457712E1,9.655036926E2
8.590067612E1,9.654843140E2
8.696679912E1,9.654706573E2
8.803297212E1,9.654483032E2
8.909914313E1,9.654307556E2
9.016527412E1,9.654141998E2
9.123140512E1,9.654058838E2
9.229749813E1,9.653867340E2
9.336362512E1,9.653742981E2
9.442979912E1,9.653491974E2
9.549593613E1,9.653339386E2
9.656211812E1,9.653074646E2
9.762830512E1,9.652899170E2
9.869445712E1,9.652673340E2
9.976059413E1,9.652506256E2
1.008267261E2,9.652313995E2
1.018928891E2,9.652161407E2
1.029590841E2,9.652003479E2
1.040252801E2,9.651867676E2
1.050914611E2,9.651728058E2
1.061576081E2,9.651628876E2
1.072237451E2,9.651507568E2
1.082898331E2,9.651373291E2
1.093559281E2,9.651224518E2
1.104220401E2,9.651103973E2
1.114881421E2,9.650912476E2
1.125542361E2,9.650785828E2
1.136203321E2,9.650659943E2
1.146863581E2,9.650521088E2
1.157524021E2,9.650420380E2
1.168184911E2,9.650315094E2
1.178845811E2,9.650193024E2
1.189506401E2,9.650030518E2
1.200167001E2,9.649930573E2
1.210828061E2,9.649796295E2
1.221489151E2,9.649677277E2
1.232149961E2,9.649547577E2
1.242810541E2,9.649453735E2
1.253471151E2,9.649358368E2
1.264131731E2,9.649311066E2
1.274792481E2,9.649232483E2
1.285452811E2,9.649187469E2
1.296113021E2,9.649070740E2
1.306773401E2,9.648956299E2
1.317434421E2,9.648820496E2
1.328095721E2,9.648693085E2
1.338756601E2,9.648604584E2
1.349417841E2,9.648604584E2
1.360078961E2,9.648604584E2
1.370740451E2,9.648521423E2
1.381400951E2,9.648521423E2
1.392061071E2,9.648471069E2
1.402721521E2,9.648420715E2
1.413381901E2,9.648420715E2
1.424042161E2,9.648500824E2
1.434702251E2,9.648614502E2
1.445361981E2,9.648653412E2
1.456021871E2,9.648742676E2
1.466682051E2,9.648806000E2
1.477342071E2,9.648815918E2
1.488002031E2,9.648815918E2
1.498662311E2,9.648817444E2
1.509323961E2,9.648801422E2
1.519984881E2,9.648773193E2
1.530645331E2,9.648763275E2
1.541305141E2,9.648773193E2
1.551965351E2,9.648774719E2
1.562625531E2,9.648774719E2
1.573285331E2,9.648767853E2
1.583945281E2,9.648732758E2
1.594604891E2,9.648680878E2
1.605263891E2,9.648594666E2
1.615923301E2,9.648548126E2
1.626582901E2,9.648534393E2
1.637242381E2,9.648548126E2
1.647901691E2,9.648558807E2
1.658561081E2,9.648620605E2
1.669220511E2,9.648621368E2
1.679880351E2,9.648628998E2
1.690539831E2,9.648621368E2
1.701198771E2,9.648606873E2
1.711858601E2,9.648593140E2
1.722518431E2,9.648606873E2
1.733178431E2,9.648638153E2
1.743838041E2,9.648693848E2
