"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.206191667E-2,-2.029428482E0,-3.889601707E0,-9.071776271E-2
4.205891667E-2,-1.176636577E0,-3.263997793E0,-9.224675894E-1
5.205691667E-2,-3.056548536E-1,-1.515315056E0,-1.654500484E0
6.205491667E-2,1.615907550E-1,-6.785010695E-1,-2.053321838E0
7.205191667E-2,5.199661851E-2,-8.485995531E-1,-2.329708338E0
8.204991667E-2,-5.052990317E-1,-1.211541533E0,-2.589970827E0
9.204691667E-2,-1.287029982E0,-1.401058793E0,-2.677291393E0
1.020449167E-1,-2.126224518E0,-1.513275504E0,-2.561212301E0
1.120429167E-1,-2.875819683E0,-1.710485339E0,-2.301184177E0
1.220399167E-1,-3.428560495E0,-2.201242924E0,-1.876308560E0
1.320379167E-1,-3.627618074E0,-2.570416451E0,-1.385143161E0
1.420349167E-1,-3.465168238E0,-2.396594524E0,-1.058102727E0
1.520329167E-1,-2.997229576E0,-1.660944700E0,-9.190363884E-1
1.620299167E-1,-2.374953270E0,-6.016257405E-1,-8.083842397E-1
1.720279167E-1,-1.771967649E0,3.226307034E-1,-5.858030915E-1
1.820259167E-1,-1.270933270E0,9.765732884E-1,-3.677381873E-1
1.920229167E-1,-9.095727205E-1,1.315575361E0,-2.626128197E-1
2.020209167E-1,-6.693603396E-1,1.383645296E0,-1.970137954E-1
2.120179167E-1,-5.477607250E-1,1.111122370E0,-2.847718596E-1
2.220159167E-1,-4.812900722E-1,7.174732089E-1,-4.954762459E-1
2.320139167E-1,-4.210088849E-1,3.751302958E-1,-6.858235598E-1
2.420109167E-1,-3.476015627E-1,1.281580031E-1,-6.895994544E-1
2.520089167E-1,-2.205370665E-1,5.296177790E-2,-4.390878677E-1
2.620059167E-1,-9.611787274E-3,1.277997792E-1,-3.164632944E-3
2.720039167E-1,2.779882848E-1,3.010458648E-1,4.682460427E-1
2.820019167E-1,6.154482365E-1,5.339474678E-1,8.881205916E-1
2.919989167E-1,9.730036855E-1,7.952879667E-1,1.153130412E0
3.019969167E-1,1.291025519E0,1.050675035E0,1.139991522E0
3.119939167E-1,1.487043738E0,1.136454582E0,8.462691307E-1
3.219919167E-1,1.516381860E0,9.296529293E-1,4.284420311E-1
3.319889167E-1,1.384224415E0,8.127212524E-1,-1.041149627E-2
3.419869167E-1,1.066327929E0,6.667491198E-1,-3.158470094E-1
