"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.206191667E-2,1.202199233E-1,1.161869524E0,-3.763941008E0
4.205891667E-2,2.771568525E0,3.068117083E0,5.980438614E-1
5.205691667E-2,6.347538507E0,2.779487409E0,6.916480191E0
6.205491667E-2,7.518745158E0,1.898719853E0,9.617034282E0
7.205191667E-2,5.851078323E0,2.628488327E0,9.957201315E0
8.204991667E-2,2.679569603E0,2.937978236E0,9.115088241E0
9.204691667E-2,1.056979246E0,2.888504944E0,7.118305610E0
1.020449167E-1,1.101366922E-2,2.479798019E0,5.264681531E0
1.120429167E-1,-5.803573497E-1,1.702223294E0,3.594831930E0
1.220399167E-1,-1.198340216E0,5.471862414E-1,2.258760111E0
1.320379167E-1,-2.486533134E0,-4.074980137E-1,1.919321056E0
1.420349167E-1,-3.238161131E0,-9.634654574E-1,2.640931202E0
1.520329167E-1,-2.025689364E0,-9.329330514E-1,4.073308418E0
1.620299167E-1,2.754886419E-2,-6.704136801E-1,5.561510171E0
1.720279167E-1,1.065605790E0,-3.197396390E-1,6.384528578E0
1.820259167E-1,6.123623769E-1,3.175734649E-1,5.412421374E0
1.920229167E-1,-2.873924035E-1,1.150604571E0,3.331133029E0
2.020209167E-1,-6.311692151E-1,1.944699141E0,8.758304590E-1
2.120179167E-1,-1.168336837E0,2.446777038E0,-1.295171716E0
2.220159167E-1,-1.189966273E0,2.915148367E0,-2.932548804E0
2.320139167E-1,-6.324164262E-1,3.091418822E0,-3.880343285E0
2.420109167E-1,-9.193742354E-1,2.473238904E0,-4.378358828E0
2.520089167E-1,-2.106951336E0,1.881756496E0,-4.503098649E0
2.620059167E-1,-3.465973623E0,1.418618425E0,-4.497761895E0
2.720039167E-1,-3.821220918E0,8.210799091E-1,-4.513981487E0
2.820019167E-1,-3.129942618E0,1.898930792E-1,-4.563301581E0
2.919989167E-1,-1.784069111E0,-6.444216371E-2,-4.710549674E0
3.019969167E-1,-5.389812823E-1,3.687352131E-1,-4.894950390E0
3.119939167E-1,6.227277361E-1,1.335151468E0,-4.611115433E0
3.219919167E-1,1.471841682E0,2.400693669E0,-4.156062307E0
3.319889167E-1,1.605406706E0,3.019888956E0,-4.407019540E0
3.419869167E-1,1.035195737E0,2.843376426E0,-4.896746070E0
3.519849167E-1,1.120899546E-1,2.209903408E0,-5.515176249E0
3.619819167E-1,-6.457837459E-1,1.638700752E0,-6.082542694E0
3.719799167E-1,-1.748034475E0,1.351098433E0,-5.712312786E0
3.819769167E-1,-2.546510364E0,1.208190582E0,-4.738092983E0
3.919749167E-1,-2.888663111E0,1.400910132E0,-2.640100898E0
4.019729167E-1,-2.858263437E0,1.965278125E0,-3.457920545E-1
4.119699167E-1,-2.579614960E0,2.316154333E0,1.062978197E0
4.219679167E-1,-2.797666987E0,1.145710598E0,2.560742487E0
4.319649167E-1,-5.066880165E0,-5.946219246E-1,5.082930772E0
4.419629167E-1,-5.863284971E0,-1.610174818E0,7.402501341E0
