"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.301274776E-2,4.737174381E1,8.512886930E0,4.211635404E2,2.309999943E0,1.205859569E2,2.176776651E1,3.000000000E0
1.033044338E0,4.737171756E1,8.512914964E0,4.214229399E2,2.519999981E0,1.318359558E2,2.176776651E1,3.000000000E0
2.033077359E0,4.737168883E1,8.512941736E0,4.220013091E2,2.809999943E0,1.388672055E2,2.176776651E1,3.000000000E0
3.033109069E0,4.737166991E1,8.512960853E0,4.220887115E2,2.809999943E0,1.364062689E2,2.176776651E1,3.000000000E0
4.033138990E0,4.737161311E1,8.512945463E0,4.181920550E2,3.396622154E0,1.420222825E2,1.424595452E1,5.628365553E0
5.033169389E0,4.737159982E1,8.512954700E0,4.188669701E2,2.432393224E0,1.505820654E2,1.424595455E1,5.505090305E0
6.033198953E0,4.737156203E1,8.512931469E0,4.186791657E2,3.389724821E0,1.814065017E2,1.424595453E1,5.418013999E0
7.033228159E0,4.737150820E1,8.512936943E0,4.184629066E2,5.023847214E0,1.796545586E2,1.424595443E1,5.375745640E0
8.033256650E0,4.737149621E1,8.512977240E0,4.188693945E2,3.193183687E0,1.618232510E2,1.424595452E1,5.176736075E0
9.033285499E0,4.737146738E1,8.512984578E0,4.197162891E2,3.424760240E0,1.596612308E2,1.424595455E1,5.178256296E0
1.003331280E1,4.737145789E1,8.513001464E0,4.202727859E2,2.025047458E0,1.390459290E2,1.424595458E1,5.010808606E0
1.103333998E1,4.737143979E1,8.513016618E0,4.205383511E2,1.972207622E0,1.390459290E2,1.424595457E1,5.003497493E0
1.203336716E1,4.737142471E1,8.513019466E0,4.199756507E2,1.909942125E0,1.390459290E2,1.424595456E1,4.614764559E0
1.303339338E1,4.737139867E1,8.513039066E0,4.197652968E2,2.864164871E0,1.412754211E2,1.424595456E1,4.290139907E0
1.403341949E1,4.737136961E1,8.513115425E0,4.198774144E2,4.813475733E0,1.412754211E2,1.424595456E1,4.223683832E0
1.503344560E1,4.737136161E1,8.513151926E0,4.194482089E2,3.411415061E0,1.412754211E2,1.424595459E1,4.043123658E0
1.603347123E1,4.737133388E1,8.513165863E0,4.196047406E2,3.020243273E0,1.417019348E2,1.424595455E1,4.063526038E0
1.703349769E1,4.737131646E1,8.513185896E0,4.195225029E2,2.761988630E0,1.417019348E2,1.424595455E1,4.135780179E0
1.803352261E1,4.737129653E1,8.513191276E0,4.192915661E2,2.612123026E0,1.417019348E2,1.424595454E1,4.028252296E0
1.903354681E1,4.737128908E1,8.513208322E0,4.196818935E2,1.732491354E0,1.417019348E2,1.424595456E1,3.935775058E0
2.003357124E1,4.737126920E1,8.513218574E0,4.192091553E2,2.359519779E0,1.417019348E2,1.424595455E1,3.767271432E0
2.103359604E1,4.737124356E1,8.513252436E0,4.195091675E2,3.160486429E0,1.417019348E2,1.424595454E1,3.594352439E0
2.203362083E1,4.737122495E1,8.513286215E0,4.192601553E2,2.994659739E0,1.426674194E2,1.424595454E1,3.637340900E0
2.303364456E1,4.737119587E1,8.513307655E0,4.195222612E2,3.267917544E0,1.426674194E2,1.424595455E1,3.786480389E0
2.403366828E1,4.737117149E1,8.513355073E0,4.192551297E2,3.924313708E0,1.426674194E2,1.424595455E1,3.829257857E0
2.503369284E1,4.737115847E1,8.513374705E0,4.193942590E2,3.010124007E0,1.426674194E2,1.424595457E1,3.777189219E0
2.603371608E1,4.737113694E1,8.513353221E0,4.197663217E2,2.356203542E0,1.446609192E2,1.424595456E1,3.674581026E0
2.703374028E1,4.737112302E1,8.513389485E0,4.198040663E2,2.515490103E0,1.446609192E2,1.424595456E1,3.667853801E0
2.803376365E1,4.737109166E1,8.513426908E0,4.191322031E2,3.780174208E0,1.446609192E2,1.424595453E1,3.706054210E0
2.903378689E1,4.737106046E1,8.513461695E0,4.196039297E2,4.305448607E0,1.489827576E2,1.424595453E1,3.762221134E0
3.003380954E1,4.737106371E1,8.513487601E0,4.196561483E2,2.515134017E0,1.489827576E2,1.424595455E1,3.933938376E0
3.103383231E1,4.737103726E1,8.513506199E0,4.195936412E2,2.981426295E0,1.489827576E2,1.424595452E1,4.091675202E0
3.203385603E1,4.737101991E1,8.513524186E0,4.195919999E2,2.615772999E0,1.489827576E2,1.424595451E1,4.328969365E0
3.303387880E1,4.737099454E1,8.513598994E0,4.195843119E2,2.861703502E0,1.425812073E2,1.424595452E1,5.621938067E0
3.403390205E1,4.737097662E1,8.513603616E0,4.193826419E2,2.683449822E0,1.425812073E2,1.424595453E1,5.978685167E0
3.503392446E1,4.737095588E1,8.513640915E0,4.189733405E2,3.255441645E0,1.399879456E2,1.424595450E1,6.282314555E0
3.603394628E1,4.737090785E1,8.513660506E0,4.189890400E2,4.441285588E0,1.399879456E2,1.424595454E1,6.391006885E0
3.703396928E1,4.737088633E1,8.513659933E0,4.193455448E2,3.421222294E0,1.411716309E2,1.424595459E1,6.334841480E0
3.803399301E1,4.737084821E1,8.513693847E0,4.200431999E2,4.277208118E0,1.411716309E2,1.424595468E1,5.869692687E0
