"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.206191667E-2,2.056427002E-1,-3.518886566E1,-2.977216721E1
4.205891667E-2,-3.187103271E-1,-3.496606445E1,-3.019466019E1
5.205691667E-2,-7.992553711E-1,-3.474284363E1,-3.048569107E1
6.205491667E-2,-1.497970581E0,-3.428990173E1,-3.095669174E1
7.205191667E-2,-1.390472412E0,-3.423066711E1,-3.110546494E1
8.204991667E-2,-1.086959839E0,-3.423487854E1,-3.126174545E1
9.204691667E-2,-6.074371338E-1,-3.423171234E1,-3.115074921E1
1.020449167E-1,-3.201141357E-1,-3.400315857E1,-3.116709900E1
1.120429167E-1,2.435455322E-1,-3.339202118E1,-3.164298248E1
1.220399167E-1,7.387390137E-1,-3.276049042E1,-3.233800507E1
1.320379167E-1,7.455139160E-1,-3.190036774E1,-3.328874207E1
1.420349167E-1,5.656433105E-1,-3.079645157E1,-3.468257904E1
1.520329167E-1,1.580047607E-1,-2.968647575E1,-3.567755890E1
1.620299167E-1,-4.753265381E-1,-2.863237190E1,-3.635853577E1
1.720279167E-1,-6.180572510E-1,-2.746118736E1,-3.719108582E1
1.820259167E-1,-5.930938721E-1,-2.675079155E1,-3.758749390E1
1.920229167E-1,-1.364440918E-1,-2.615808868E1,-3.807763672E1
2.020209167E-1,2.269439697E-1,-2.585740662E1,-3.821961975E1
2.120179167E-1,8.781890869E-1,-2.563950348E1,-3.859426880E1
2.220159167E-1,1.497634888E0,-2.548999405E1,-3.882711792E1
2.320139167E-1,2.079376221E0,-2.527828217E1,-3.925097275E1
2.420109167E-1,2.370971680E0,-2.499841309E1,-3.931193924E1
2.520089167E-1,2.693542480E0,-2.497537994E1,-3.957827377E1
2.620059167E-1,2.771682739E0,-2.496915054E1,-3.950823593E1
2.720039167E-1,3.018020630E0,-2.463014221E1,-3.966247177E1
2.820019167E-1,3.037872314E0,-2.476408005E1,-3.953334427E1
2.919989167E-1,3.089752197E0,-2.494249344E1,-3.963232803E1
3.019969167E-1,3.079986572E0,-2.530169296E1,-3.947098160E1
3.119939167E-1,3.059356689E0,-2.561206627E1,-3.919285583E1
3.219919167E-1,3.107360840E0,-2.625567055E1,-3.845295715E1
3.319889167E-1,3.445632935E0,-2.702454948E1,-3.776507568E1
3.419869167E-1,3.639419556E0,-2.756573677E1,-3.734358978E1
3.519849167E-1,3.750625610E0,-2.805693626E1,-3.676101685E1
3.619819167E-1,4.010528564E0,-2.850607491E1,-3.623609924E1
3.719799167E-1,4.223007202E0,-2.852348328E1,-3.633931732E1
3.819769167E-1,4.521530151E0,-2.841783142E1,-3.642050171E1
3.919749167E-1,4.908294678E0,-2.789598465E1,-3.687744904E1
4.019729167E-1,6.168838501E0,-2.581973267E1,-3.813292694E1
4.119699167E-1,6.727478027E0,-2.426194191E1,-3.890545273E1
4.219679167E-1,6.921920776E0,-2.284368324E1,-3.994667435E1
4.319649167E-1,6.917343140E0,-2.285088158E1,-3.993535614E1
4.419629167E-1,5.373779297E0,-2.048741722E1,-4.150525665E1
4.519609167E-1,3.980224609E0,-1.931653595E1,-4.212202835E1
4.619579167E-1,2.923004150E0,-1.852130508E1,-4.252610397E1
4.719559167E-1,2.138565063E0,-1.758697128E1,-4.291006470E1
4.819529167E-1,1.848617554E0,-1.682355881E1,-4.330228424E1
4.919509167E-1,2.102981567E0,-1.615621185E1,-4.357279587E1
5.019489167E-1,2.380111694E0,-1.573236084E1,-4.371855545E1
5.119459167E-1,2.232528687E0,-1.545915794E1,-4.398172760E1
5.219439167E-1,2.011444092E0,-1.548649406E1,-4.403889465E1
5.319409167E-1,1.116607666E0,-1.588144493E1,-4.392659760E1
5.419389167E-1,4.409332275E-1,-1.638291740E1,-4.377156830E1
5.519369167E-1,1.168823242E-1,-1.708941650E1,-4.334951019E1
5.619339167E-1,-9.228515625E-2,-1.805051041E1,-4.282949066E1
5.719319167E-1,1.924133301E-1,-1.907772446E1,-4.266537094E1
5.819289167E-1,6.998901367E-1,-2.020282364E1,-4.204263687E1
5.919269167E-1,7.076110840E-1,-2.139178658E1,-4.156056595E1
6.019249167E-1,8.218383789E-2,-2.227484322E1,-4.111783218E1
6.119219167E-1,-1.856781006E0,-2.280430603E1,-4.031669998E1
6.219199167E-1,-4.298080444E0,-2.295059586E1,-4.021917343E1
6.319169167E-1,-7.065185547E0,-2.309784889E1,-3.966838074E1
6.419149167E-1,-9.798538208E0,-2.330636024E1,-3.882281494E1
6.519129167E-1,-1.248570251E1,-2.330268860E1,-3.802929306E1
6.619099167E-1,-1.401562500E1,-2.346207047E1,-3.726537704E1
6.719079167E-1,-1.458366394E1,-2.359364128E1,-3.681321335E1
6.819049167E-1,-1.485728455E1,-2.352526283E1,-3.698862839E1
6.919029167E-1,-1.526324463E1,-2.355647469E1,-3.676983261E1
7.019009167E-1,-1.544239807E1,-2.353383064E1,-3.691321945E1
7.118979167E-1,-1.593664551E1,-2.350123405E1,-3.641968155E1
7.218959167E-1,-1.613636780E1,-2.359697914E1,-3.626518631E1
7.318929167E-1,-1.614479065E1,-2.400796700E1,-3.589308167E1
7.418909167E-1,-1.626448059E1,-2.458970070E1,-3.555202484E1
7.518889167E-1,-1.630958557E1,-2.523976326E1,-3.499390411E1
7.618859167E-1,-1.630493164E1,-2.578092003E1,-3.499863434E1
7.718839167E-1,-1.624371338E1,-2.624775696E1,-3.451383591E1
7.818809167E-1,-1.616539001E1,-2.697876358E1,-3.391442490E1
7.918789167E-1,-1.603981018E1,-2.766267967E1,-3.313285446E1
8.018769167E-1,-1.606535339E1,-2.837284279E1,-3.255932236E1
8.118739167E-1,-1.624653625E1,-2.903086662E1,-3.184316635E1
8.218719167E-1,-1.620248413E1,-2.972355843E1,-3.148410416E1
8.318689167E-1,-1.634344482E1,-3.013616753E1,-3.090807724E1
8.418669167E-1,-1.648597717E1,-3.029999352E1,-3.073221207E1
8.518649167E-1,-1.627818298E1,-3.019509125E1,-3.068858719E1
8.618619167E-1,-1.627726746E1,-2.994497681E1,-3.088666153E1
8.718598750E-1,-1.630867004E1,-2.966927910E1,-3.107150269E1
8.818568750E-1,-1.630076599E1,-2.939565086E1,-3.177188110E1
