"Time (s)","Distance (cm)"
3.088441667E-2,5.000000000E0
3.105338167E0,0.000000000E0
3.421968583E0,5.000000000E0
3.788173125E0,0.000000000E0
4.254538500E0,5.000000000E0
4.471035417E0,0.000000000E0
4.804151208E0,5.000000000E0
5.253964833E0,0.000000000E0
5.703517000E0,5.000000000E0
8.101918042E0,0.000000000E0
8.451704958E0,5.000000000E0
1.171610992E1,0.000000000E0
1.204931446E1,5.000000000E0
1.811217179E1,0.000000000E0
1.834529138E1,5.000000000E0
3.037490804E1,0.000000000E0
3.070842304E1,5.000000000E0
3.750586633E1,0.000000000E0
3.797249838E1,5.000000000E0
3.897236083E1,0.000000000E0
3.940551558E1,5.000000000E0
3.970551979E1,0.000000000E0
4.003878713E1,5.000000000E0
4.337084163E1,0.000000000E0
4.370401183E1,5.000000000E0
4.483692050E1,0.000000000E0
4.505351142E1,5.000000000E0
5.860168496E1,0.000000000E0
5.883369204E1,5.000000000E0
6.149901521E1,0.000000000E0
6.173323379E1,5.000000000E0
6.223323196E1,0.000000000E0
6.246725608E1,5.000000000E0
6.376614975E1,0.000000000E0
6.398180546E1,5.000000000E0
7.952246229E1,0.000000000E0
7.987227108E1,5.000000000E0
8.098825858E1,0.000000000E0
8.122142983E1,5.000000000E0
8.518627463E1,0.000000000E0
8.541944821E1,5.000000000E0
8.861789221E1,0.000000000E0
8.895106571E1,5.000000000E0
9.304908350E1,0.000000000E0
9.328230171E1,5.000000000E0
9.914586504E1,0.000000000E0
9.969558846E1,5.000000000E0
1.014282337E2,0.000000000E0
1.017780704E2,5.000000000E0
1.079753314E2,0.000000000E0
1.082085074E2,5.000000000E0
1.136734045E2,0.000000000E0
1.138901021E2,5.000000000E0
1.187365894E2,0.000000000E0
1.190696841E2,5.000000000E0
1.285809965E2,0.000000000E0
1.290140320E2,5.000000000E0
1.647792229E2,0.000000000E0
1.648957682E2,5.000000000E0
1.741395252E2,0.000000000E0
1.745726295E2,5.000000000E0
3.139756800E2,0.000000000E0
3.142090089E2,5.000000000E0
3.226702245E2,0.000000000E0
3.230033149E2,5.000000000E0
4.260646899E2,5.000000000E0
4.303724282E2,0.000000000E0
4.307055633E2,5.000000000E0
