"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.716250001E-3,-4.363426208E0,4.254602509E0,6.265221405E0
1.171325000E-2,-4.342170410E0,4.362378387E0,6.667884064E0
2.171025000E-2,-4.085454254E0,4.281995544E0,7.476652222E0
3.170725000E-2,-3.388802948E0,3.710334320E0,8.741970978E0
4.170425000E-2,-4.000281372E0,3.417992249E0,9.801318054E0
5.170225000E-2,-4.237388306E0,3.826343079E0,9.425898743E0
6.169925000E-2,-4.060156860E0,3.975433044E0,9.400751038E0
7.169625000E-2,-3.815715179E0,3.771706696E0,9.133706360E0
8.169325000E-2,-4.017046509E0,3.004102936E0,8.615633698E0
9.169025000E-2,-4.527185669E0,3.691473541E0,8.187374268E0
1.016872500E-1,-4.495751038E0,3.852987671E0,7.705526276E0
1.116842500E-1,-4.819228363E0,3.052003326E0,6.800059204E0
1.216822500E-1,-4.700674896E0,3.077749786E0,6.732250214E0
1.316792500E-1,-4.056115265E0,4.477489014E0,8.395740967E0
1.416762500E-1,-2.070045319E0,3.849395142E0,1.002704865E1
1.516732500E-1,7.448510742E-1,1.005010071E0,9.580527191E0
1.616702500E-1,1.145717468E0,-2.345622253E-1,1.018616776E1
1.716672500E-1,2.597698059E0,4.966671753E-1,1.059930862E1
1.816652500E-1,2.462379456E-1,1.847757568E0,1.096080688E1
1.916622500E-1,-5.603148193E0,3.409609680E0,1.096544724E1
2.016592500E-1,-7.786058807E0,2.851270752E0,1.047027695E1
2.116562500E-1,-9.664801941E0,1.207538910E0,9.704918518E0
2.216532500E-1,-7.710016937E0,1.586251373E0,9.484876099E0
2.316502500E-1,-4.409380646E0,1.049018555E0,1.104538101E1
2.416472500E-1,-2.602937164E0,4.065545654E-1,1.185684357E1
2.516452500E-1,-2.396666107E0,1.166224823E0,1.196641571E1
2.616422500E-1,-2.005080414E0,1.605261841E0,1.149070496E1
2.716392500E-1,-1.873354340E0,1.431622925E0,1.076216995E1
2.816362500E-1,-2.347268829E0,1.474583588E0,1.010877869E1
2.916332500E-1,-2.585124207E0,1.823058929E0,9.685908051E0
3.016302500E-1,-2.392474823E0,2.208357697E0,9.588011627E0
3.116282500E-1,-1.996697845E0,2.199076996E0,9.627529449E0
3.216252500E-1,-2.061812439E0,1.719324646E0,9.618997192E0
3.316222500E-1,-2.682272186E0,1.043180695E0,9.614506531E0
3.416192500E-1,-2.923570404E0,8.457412720E-1,9.788744202E0
3.516162500E-1,-3.222798157E0,6.065386963E-1,9.432934113E0
3.616132500E-1,-4.062701569E0,5.562432861E-1,8.421487427E0
3.716102500E-1,-4.498445435E0,9.466314697E-1,7.131919098E0
3.816082500E-1,-4.174219666E0,1.451681213E0,5.752088470E0
3.916052500E-1,-3.269950104E0,1.753902740E0,4.945116577E0
4.016022500E-1,-2.417023773E0,1.751657410E0,4.264032898E0
4.115992500E-1,-2.067500610E0,1.820813599E0,3.819457397E0
4.215962500E-1,-1.758692780E0,2.731669464E0,5.589676208E0
