"Time (s)","X (hPa)"
-5.382341250E-1,9.637812042E2
4.943258750E-1,9.637760162E2
1.526898875E0,9.637762451E2
2.559502875E0,9.637762451E2
3.592128875E0,9.637799072E2
3.784674875E0,9.637822723E2
4.850582875E0,9.637829590E2
5.916501875E0,9.637895203E2
6.982445875E0,9.637937927E2
8.048373875E0,9.637984467E2
9.114321875E0,9.637984467E2
1.018028588E1,9.637960052E2
1.124624288E1,9.637960052E2
1.231221187E1,9.637963104E2
1.337816488E1,9.638014221E2
1.444408488E1,9.638123322E2
1.551000188E1,9.638218689E2
1.657592288E1,9.638344574E2
1.764185788E1,9.638475800E2
1.870776587E1,9.638581085E2
1.977367687E1,9.638683319E2
2.083958888E1,9.638764954E2
2.190551687E1,9.638817596E2
2.297141587E1,9.638883972E2
2.403732987E1,9.638935089E2
2.510319987E1,9.638962555E2
2.616907787E1,9.638982391E2
2.723497287E1,9.639048004E2
2.830085488E1,9.639101410E2
2.936674287E1,9.639170837E2
3.043265587E1,9.639257050E2
3.149858488E1,9.639385986E2
3.256446588E1,9.639489746E2
3.363036587E1,9.639586639E2
3.469630188E1,9.639671326E2
3.576227488E1,9.639734650E2
3.682824288E1,9.639785004E2
3.789414687E1,9.639834595E2
4.090008904E1,9.639691925E2
4.193273704E1,9.639743042E2
4.296534404E1,9.639794159E2
4.399793804E1,9.639864349E2
4.503056904E1,9.639867401E2
4.522306604E1,9.639867401E2
4.628897304E1,9.639854431E2
4.735488404E1,9.639842987E2
4.842079504E1,9.639835358E2
4.948673304E1,9.639801025E2
5.055270804E1,9.639785767E2
5.161864404E1,9.639762878E2
5.268460604E1,9.639715576E2
5.375056704E1,9.639624023E2
5.481651304E1,9.639592743E2
5.588247704E1,9.639552307E2
5.694836104E1,9.639535522E2
5.801424704E1,9.639518738E2
5.908013204E1,9.639510345E2
6.014601704E1,9.639442444E2
6.121193604E1,9.639411926E2
6.227789804E1,9.639344025E2
6.334383804E1,9.639228821E2
6.440975504E1,9.639144897E2
6.547569304E1,9.639086914E2
6.654161004E1,9.639028168E2
6.760749704E1,9.638994598E2
6.867336404E1,9.638948059E2
6.973925904E1,9.638920593E2
7.080515604E1,9.638877106E2
7.187099504E1,9.638873291E2
7.293686804E1,9.638822937E2
7.400276404E1,9.638772583E2
7.506860404E1,9.638741302E2
7.613445804E1,9.638704681E2
7.720030104E1,9.638642120E2
7.826616704E1,9.638603973E2
7.933200904E1,9.638587189E2
8.039784604E1,9.638548279E2
8.146370704E1,9.638506317E2
8.252954804E1,9.638452148E2
8.359532304E1,9.638405609E2
8.466111304E1,9.638365173E2
8.783018846E1,9.637863159E2
8.886273846E1,9.637921906E2
8.989530546E1,9.637980652E2
9.092788446E1,9.638066101E2
9.196039246E1,9.638081360E2
9.215299646E1,9.638173676E2
9.321884046E1,9.638217926E2
9.428468146E1,9.638302612E2
9.535049546E1,9.638377380E2
9.641627346E1,9.638452148E2
9.748203946E1,9.638520813E2
9.854784946E1,9.638560486E2
9.961360446E1,9.638596344E2
1.006793755E2,9.638652802E2
1.017451925E2,9.638704681E2
1.028109645E2,9.638742065E2
1.038767195E2,9.638787079E2
1.049424625E2,9.638836670E2
1.060082035E2,9.638882446E2
1.070739635E2,9.638955688E2
1.081397325E2,9.639050293E2
1.092054955E2,9.639132690E2
1.102712575E2,9.639195251E2
1.113370015E2,9.639232635E2
1.124027465E2,9.639247131E2
1.134684615E2,9.639270782E2
1.145341365E2,9.639276886E2
1.155997935E2,9.639327240E2
1.166654285E2,9.639385223E2
1.177311345E2,9.639416504E2
1.187968475E2,9.639435577E2
1.198625305E2,9.639449310E2
1.209281985E2,9.639492798E2
1.219938645E2,9.639529419E2
1.230595575E2,9.639579773E2
1.241252635E2,9.639636230E2
1.251909385E2,9.639690399E2
1.262565815E2,9.639755249E2
1.273222555E2,9.639781189E2
1.283879095E2,9.639817810E2
1.294535745E2,9.639868927E2
1.305192765E2,9.639912415E2
1.315849625E2,9.639951324E2
1.342616353E2,9.640211487E2
1.352940143E2,9.640075684E2
1.363263903E2,9.639940643E2
1.373588103E2,9.639788818E2
1.383912073E2,9.639719391E2
1.385840453E2,9.639714050E2
1.396497493E2,9.639626312E2
1.407154443E2,9.639585114E2
1.417811273E2,9.639537048E2
1.428468643E2,9.639488220E2
1.439125883E2,9.639427185E2
1.449783053E2,9.639367676E2
1.460441003E2,9.639359283E2
1.471098093E2,9.639328003E2
1.481755593E2,9.639299011E2
1.492413683E2,9.639255524E2
1.503071793E2,9.639179993E2
1.513728833E2,9.639129639E2
1.524385983E2,9.639071655E2
1.535043483E2,9.639009094E2
1.545701233E2,9.638990784E2
1.556359063E2,9.638981628E2
1.567016383E2,9.638898468E2
1.577673513E2,9.638843536E2
1.588330493E2,9.638803864E2
1.598987313E2,9.638768768E2
1.609643373E2,9.638701630E2
1.620300183E2,9.638684845E2
1.630956853E2,9.638672638E2
1.641613703E2,9.638627625E2
1.652270393E2,9.638575745E2
1.662927083E2,9.638560486E2
1.673583493E2,9.638548279E2
1.684240383E2,9.638536835E2
1.694897503E2,9.638516998E2
1.705554723E2,9.638499451E2
1.716212063E2,9.638461304E2
1.726869463E2,9.638352203E2
1.737526453E2,9.638265991E2
1.748183823E2,9.638202667E2
1.758841423E2,9.638110352E2
1.769498833E2,9.638018799E2
1.799395723E2,9.638259888E2
1.809720013E2,9.638311768E2
1.820044133E2,9.638364410E2
1.830367843E2,9.638428497E2
1.840691683E2,9.638545227E2
1.842619363E2,9.638653564E2
1.853275753E2,9.638656616E2
1.863932423E2,9.638732910E2
1.874588973E2,9.638747406E2
1.885245133E2,9.638761139E2
1.895901733E2,9.638784027E2
1.906559013E2,9.638799286E2
1.917216223E2,9.638808441E2
1.927873513E2,9.638876343E2
1.938531053E2,9.638893127E2
1.949188853E2,9.638916779E2
1.959846803E2,9.638938904E2
1.970504433E2,9.638949585E2
1.981162463E2,9.638961792E2
1.991820443E2,9.639022064E2
2.002478213E2,9.639090729E2
2.013136043E2,9.639099884E2
2.023793593E2,9.639159393E2
2.034450953E2,9.639270020E2
2.045108843E2,9.639385223E2
2.055766663E2,9.639476776E2
2.066424633E2,9.639656067E2
2.077081913E2,9.639793396E2
2.087739363E2,9.639908600E2
2.098397173E2,9.640011597E2
2.109054773E2,9.640156555E2
2.119712453E2,9.640274048E2
2.130370373E2,9.640420532E2
2.141027963E2,9.640642548E2
2.151685543E2,9.640885162E2
2.162343113E2,9.641094971E2
2.173000503E2,9.641176605E2
2.183657913E2,9.641215515E2
2.194314883E2,9.641215515E2
2.204971823E2,9.641168976E2
2.215629093E2,9.641112518E2
2.226285943E2,9.641053009E2
2.236942553E2,9.641068268E2
2.259058995E2,9.640405273E2
2.269382425E2,9.640305328E2
2.279706075E2,9.640205383E2
2.290029525E2,9.640032196E2
2.300352685E2,9.639831543E2
2.302281955E2,9.639775085E2
2.312938755E2,9.639756775E2
2.323595165E2,9.639756775E2
2.334251395E2,9.639756775E2
2.344908515E2,9.639842224E2
2.355565325E2,9.639865875E2
2.366221755E2,9.639865875E2
2.376878215E2,9.639846802E2
2.387535185E2,9.639836121E2
2.398192475E2,9.639792633E2
2.408849215E2,9.639757538E2
2.419506225E2,9.639704132E2
2.430163245E2,9.639656830E2
2.440820465E2,9.639607239E2
2.451477835E2,9.639607239E2
2.462135115E2,9.639665222E2
2.472791915E2,9.639732361E2
2.483448605E2,9.639786530E2
2.494105625E2,9.639786530E2
2.504762365E2,9.639715576E2
2.515419525E2,9.639424896E2
2.526076815E2,9.639237976E2
2.536734215E2,9.639096832E2
2.547391855E2,9.638950348E2
2.558049495E2,9.638815308E2
2.568707025E2,9.638793182E2
2.579364665E2,9.638793182E2
2.590021765E2,9.638786316E2
2.600678775E2,9.638786316E2
2.611336025E2,9.638854980E2
2.621993575E2,9.638950348E2
2.651976925E2,9.638945770E2
2.662300795E2,9.639088440E2
2.672624345E2,9.639231873E2
2.682948405E2,9.639256287E2
2.693272445E2,9.639274597E2
2.695200755E2,9.639274597E2
2.705857285E2,9.639276886E2
2.716514015E2,9.639295197E2
2.727170565E2,9.639319611E2
2.737827305E2,9.639319611E2
2.748484445E2,9.639332581E2
2.759141075E2,9.639353943E2
2.769797895E2,9.639360809E2
2.780455305E2,9.639379883E2
2.791112275E2,9.639424133E2
2.801769305E2,9.639585114E2
2.812426195E2,9.639665222E2
2.823082675E2,9.639783478E2
2.833739145E2,9.639870453E2
2.844395575E2,9.639965057E2
2.855052445E2,9.639978790E2
2.865709295E2,9.640039825E2
2.876366195E2,9.640039825E2
2.887023035E2,9.640012360E2
2.897679305E2,9.639979553E2
2.908335855E2,9.639979553E2
2.918992115E2,9.639990997E2
2.929648475E2,9.640014648E2
2.940305125E2,9.640100861E2
2.950961895E2,9.640187073E2
2.961618155E2,9.640187073E2
2.972274855E2,9.640180969E2
2.982931205E2,9.640168762E2
