"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.046125000E-2,-1.124260664E0,-5.083991289E-1,-4.272921979E-1
3.045825000E-2,-1.045247555E0,-5.625272393E-1,-5.521123409E-1
4.045525000E-2,-9.438195229E-1,-7.133590430E-2,-5.843469501E-1
5.045325000E-2,-8.833188415E-1,2.812768146E-2,-5.848111510E-1
6.045025000E-2,-8.532445431E-1,-2.990555950E-3,-7.009804249E-1
7.044725000E-2,-8.029648066E-1,-1.603357196E-1,-7.275717258E-1
8.044425000E-2,-8.926038742E-1,-3.356020749E-1,-8.020930886E-1
9.044125000E-2,-1.067592025E0,-4.362520576E-1,-9.234367609E-1
1.004382500E-1,-1.293686390E0,-6.667907238E-1,-9.283106327E-1
1.104352500E-1,-1.551781893E0,-1.111553669E0,-6.497030854E-1
1.204332500E-1,-1.760846734E0,-1.543197393E0,-4.507231116E-1
1.304302500E-1,-1.575533867E0,-1.517921805E0,-2.653318048E-1
1.404272500E-1,-1.228474975E0,-2.070657015E0,-2.786241770E-1
1.504242500E-1,-8.832395673E-1,-2.992933273E0,-5.887646079E-1
1.604212500E-1,-2.537761033E-1,-3.732573271E0,-1.195280671E0
1.704182500E-1,5.077710748E-1,-4.418371677E0,-2.040067434E0
1.804162500E-1,1.274791598E0,-4.321599483E0,-2.442991018E0
1.904132500E-1,1.313043475E0,-3.733180285E0,-2.462870359E0
2.004102500E-1,1.791659296E-1,-1.043658853E0,-1.780508876E0
2.104072500E-1,-1.757288426E-1,-3.623424768E-1,-2.124573737E-1
2.204042500E-1,-2.651143968E-1,-7.494694591E-1,7.217667699E-1
2.304012500E-1,-1.629389673E-1,-9.514718652E-1,8.436800838E-1
2.403982500E-1,6.923564710E-3,-1.247672915E0,1.067808509E0
2.503962500E-1,1.407977045E-1,-6.608660817E-1,1.175128698E0
2.603932500E-1,1.400248557E-1,-1.243208796E-1,1.099075198E0
2.703902500E-1,-2.157340385E-2,2.401124239E-1,1.003986716E0
2.803872500E-1,-2.299729437E-1,4.056944549E-1,9.517323375E-1
2.903842500E-1,-3.662184179E-1,4.329079986E-1,8.803033233E-1
3.003812500E-1,-3.821249604E-1,4.449270964E-1,7.433508039E-1
3.103792500E-1,-3.088307679E-1,4.566159546E-1,6.127215028E-1
3.203762500E-1,-1.294692457E-1,4.324445724E-1,6.221411228E-1
3.303732500E-1,1.900081336E-1,3.925034106E-1,7.001224160E-1
3.403702500E-1,6.791173220E-1,2.640658021E-1,6.877206564E-1
3.503672500E-1,1.146614194E0,-5.808363482E-2,7.190399766E-1
3.603642500E-1,1.435279489E0,-5.124492645E-1,8.702571988E-1
3.703612500E-1,1.522459149E0,-1.045832515E0,1.089747906E0
3.803592500E-1,1.474305987E0,-1.617570043E0,1.235082507E0
3.903562500E-1,1.414049745E0,-2.238338947E0,1.222846746E0
4.003532500E-1,1.352348089E0,-3.214941740E0,1.140879989E0
4.103502500E-1,1.360028148E0,-3.856794834E0,9.985378385E-1
4.203472500E-1,1.608209372E0,-4.233342171E0,8.850640059E-1
4.303442500E-1,1.994312167E0,-4.567181587E0,7.580037713E-1
4.403412500E-1,2.395996571E0,-4.879517078E0,6.272580028E-1
4.503392500E-1,2.717946291E0,-5.131864071E0,5.049183965E-1
4.603362500E-1,2.951891422E0,-5.282935143E0,4.501515329E-1
4.703332500E-1,3.093867540E0,-5.272852898E0,5.088288188E-1
4.803302500E-1,3.049119234E0,-5.306604862E0,6.137765050E-1
4.903272500E-1,2.881865263E0,-5.266420841E0,7.638594508E-1
5.003242500E-1,2.585662365E0,-4.839025021E0,9.786204696E-1
5.103212500E-1,2.188282728E0,-4.271220684E0,1.150260568E0
5.203192500E-1,1.800311685E0,-3.840614319E0,1.263256550E0
5.303162500E-1,1.471413016E0,-3.399967432E0,1.331634283E0
5.403132500E-1,1.119783640E0,-3.003857136E0,1.309025407E0
5.503102500E-1,7.081626654E-1,-2.628646612E0,1.200755119E0
5.603072500E-1,1.802871376E-1,-2.396034718E0,1.060034156E0
5.703042500E-1,-4.142020345E-1,-2.312851906E0,9.799740314E-1
5.803012500E-1,-9.853432775E-1,-2.449194193E0,9.461153746E-1
5.902992500E-1,-1.377935410E0,-2.740847588E0,9.225084186E-1
6.002962500E-1,-1.432964087E0,-3.173380375E0,8.945244551E-1
6.102932500E-1,-1.166262388E0,-3.710304260E0,8.638281822E-1
6.202902500E-1,-6.669211388E-1,-4.146805763E0,8.684136868E-1
6.302872500E-1,-1.378007531E-1,-4.282824516E0,1.021789193E0
6.402842500E-1,1.084236652E-1,-4.116191387E0,1.252146721E0
6.502822500E-1,3.702388611E-3,-3.534947872E0,1.290814757E0
6.602792500E-1,-2.127952874E-1,-2.728818893E0,9.765143991E-1
6.702762500E-1,-2.273890078E-1,-1.898502588E0,4.315017164E-1
6.802732500E-1,7.614637166E-2,-1.251784801E0,-9.993713349E-2
6.902702500E-1,5.765069723E-1,-8.302025795E-1,-4.723173976E-1
