"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.046125000E-2,-5.753101793E-1,7.575360239E-1,-9.787116337E-1
3.045825000E-2,8.998484820E-2,2.960752264E-1,2.286302251E-1
4.045525000E-2,-5.287976253E-1,1.081489313E-1,1.243874093E0
5.045325000E-2,-7.467850408E-1,6.147727454E-1,8.388386339E-1
6.045025000E-2,-5.486343044E-1,8.606642434E-1,7.866042870E-1
7.044725000E-2,-2.862329006E-1,7.547884172E-1,4.921174568E-1
8.044425000E-2,-4.870327181E-1,8.580525845E-2,-5.954044282E-2
9.044125000E-2,-1.005645956E0,8.889156505E-1,-5.293069178E-1
1.004382500E-1,-9.959191123E-1,1.186224347E0,-1.062349622E0
1.104352500E-1,-1.376021459E0,5.377602375E-1,-2.035042132E0
1.204332500E-1,-1.364431108E0,7.303584579E-1,-2.189371787E0
1.304302500E-1,-8.492343986E-1,2.293894860E0,-6.144721985E-1
1.404272500E-1,9.842261428E-1,1.799989763E0,9.326841062E-1
1.504242500E-1,3.575400171E0,-9.343996793E-1,3.901636505E-1
1.604212500E-1,3.680855875E0,-2.096719147E0,8.941527092E-1
1.704182500E-1,4.781754143E0,-1.339455019E0,1.213433488E0
1.804162500E-1,2.053129908E0,-2.837522194E-2,1.502933228E0
1.904132500E-1,-4.139181103E0,1.446014238E0,1.466120912E0
2.004102500E-1,-6.481010560E0,8.611005919E-1,9.533353025E-1
2.104072500E-1,-8.389067540E0,-7.690755039E-1,1.811794853E-1
2.204042500E-1,-6.496989246E0,-3.722669314E-1,-5.078716099E-2
2.304012500E-1,-3.291971010E0,-8.972287832E-1,1.495531822E0
2.403982500E-1,-1.612873600E0,-1.542378691E0,2.293500173E0
2.503962500E-1,-1.523224674E0,-8.007533795E-1,2.395407202E0
2.603932500E-1,-1.189684071E0,-3.858193155E-1,1.919559622E0
2.703902500E-1,-1.072611047E0,-5.742480326E-1,1.192875847E0
2.803872500E-1,-1.534240975E0,-5.269344100E-1,5.396085423E-1
2.903842500E-1,-1.749823138E0,-1.569747899E-1,1.141873509E-1
3.003812500E-1,-1.531427295E0,2.579190744E-1,1.249666929E-2
3.103792500E-1,-1.105305241E0,2.761316894E-1,4.923063219E-2
3.203762500E-1,-1.139210541E0,-1.873433277E-1,4.040016711E-2
3.303732500E-1,-1.732721786E0,-8.715694468E-1,4.015575349E-2
3.403702500E-1,-1.955042866E0,-1.116722149E0,2.259627253E-1
3.503672500E-1,-2.257461152E0,-1.450676808E0,-1.102358025E-1
3.603642500E-1,-3.140573733E0,-1.632614092E0,-1.096636525E0
3.703612500E-1,-3.672422143E0,-1.392428307E0,-2.359265562E0
3.803592500E-1,-3.502449431E0,-1.038627175E0,-3.712751559E0
3.903562500E-1,-2.811775734E0,-8.796402124E-1,-4.493666505E0
4.003532500E-1,-2.247497789E0,-1.016142292E0,-5.145890082E0
4.103502500E-1,-2.262772616E0,-1.073229243E0,-5.551907873E0
4.203472500E-1,-2.360419071E0,-2.959571126E-1,-3.722010040E0
4.303442500E-1,-2.368993282E0,-8.081246719E-1,-2.730857286E0
4.403412500E-1,-2.606625880E0,-1.652742109E0,-2.598295060E0
4.503392500E-1,-3.037179465E0,-1.832460667E0,-2.883577203E0
4.603362500E-1,-3.682348961E0,-1.926343270E0,-3.314425780E0
4.703332500E-1,-4.471029595E0,-2.290019618E0,-3.643184311E0
4.803302500E-1,-4.905554316E0,-2.650982566E0,-4.212686743E0
4.903272500E-1,-5.274292599E0,-3.174760941E0,-4.939987400E0
5.003242500E-1,-6.166741430E0,-3.703812043E0,-5.061138200E0
5.103212500E-1,-5.503047370E0,-3.868283987E0,-4.478172553E0
5.203192500E-1,-5.465427554E0,-3.964748427E0,-4.507630241E0
5.303162500E-1,-5.763916803E0,-3.940578961E0,-5.087080541E0
5.403132500E-1,-5.114365988E0,-3.895586976E0,-4.525968279E0
5.503102500E-1,-4.636354939E0,-3.801088954E0,-4.646458928E0
5.603072500E-1,-3.825955993E0,-3.684837536E0,-5.220803440E0
5.703042500E-1,-2.938617044E0,-3.587366790E0,-5.481537217E0
5.803012500E-1,-1.662010823E0,-3.497354168E0,-4.995520161E0
5.902992500E-1,5.464082694E-1,-3.306301659E0,-3.347271929E0
6.002962500E-1,2.881395607E0,-2.980226123E0,-5.369661856E-1
6.102932500E-1,5.666377060E0,-2.232612239E0,3.023204035E0
6.202902500E-1,9.484777281E0,-9.473954085E-1,7.118557041E0
6.302872500E-1,1.374909494E1,8.028975534E-1,1.079185276E1
6.402842500E-1,1.783835573E1,3.065495777E0,1.325759085E1
6.502822500E-1,2.199776791E1,5.933653872E0,1.477027724E1
6.602792500E-1,2.563842680E1,9.178624086E0,1.632722938E1
6.702762500E-1,2.645103775E1,1.176275485E1,1.780277659E1
6.802732500E-1,2.485873568E1,1.273388615E1,1.847387557E1
6.902702500E-1,2.149524650E1,1.210018714E1,1.763677063E1
7.002672500E-1,1.784634420E1,1.092044589E1,1.525559497E1
7.102642500E-1,1.273375284E1,9.823887137E0,1.139151396E1
7.202622500E-1,7.257428412E0,8.556785565E0,7.333294281E0
7.302592500E-1,2.974098533E0,7.221832902E0,4.118736021E0
7.402562500E-1,9.510320842E-2,6.119572526E0,2.030651457E0
7.502532500E-1,-2.133408671E0,5.160385330E0,6.555696461E-1
