"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.929380894E-1,4.736409005E1,8.511916102E0,4.349455700E2,0.000000000E0,2.275463984E2,1.570864318E1,9.271161777E0
1.192942142E0,4.736409399E1,8.511930047E0,4.347903613E2,9.635762739E-2,2.275464100E2,1.574855440E1,9.292659179E0
2.192947745E0,4.736409385E1,8.511946548E0,4.350504969E2,2.052713012E-1,2.275464249E2,1.572604120E1,8.870536414E0
3.192951560E0,4.736409377E1,8.511971067E0,4.346874334E2,1.710424922E-1,2.275464472E2,1.525216929E1,8.929369265E0
4.192956567E0,4.736409349E1,8.512005176E0,4.358777755E2,1.131540499E0,1.065762381E2,1.493452709E1,8.907498430E0
5.192960978E0,4.736407321E1,8.512034714E0,4.354392315E2,2.013324884E0,1.256327065E2,1.453853937E1,8.300338833E0
6.192965031E0,4.736407230E1,8.512081598E0,4.348009974E2,2.501640269E0,1.102477008E2,1.434203820E1,8.357424121E0
7.192969561E0,4.736407508E1,8.512128169E0,4.345060996E2,2.717656716E0,9.901963654E1,1.397878640E1,8.536595164E0
8.192973971E0,4.736407282E1,8.512168856E0,4.348746349E2,2.902781828E0,9.893947816E1,1.359285737E1,8.214525014E0
9.192978501E0,4.736406718E1,8.512205369E0,4.348403939E2,2.903350345E0,1.027630226E2,1.306708712E1,7.687402394E0
1.019298315E1,4.736406210E1,8.512236680E0,4.346858830E2,2.724536791E0,1.013317911E2,1.266515252E1,7.676740266E0
1.119298780E1,4.736406140E1,8.512275663E0,4.349220859E2,2.739601334E0,9.684766892E1,1.221621911E1,7.354030273E0
1.219299221E1,4.736405189E1,8.512309990E0,4.345431252E2,2.715298880E0,1.031586533E2,1.184093085E1,7.057449642E0
1.319299674E1,4.736404919E1,8.512348194E0,4.355655584E2,2.756311452E0,9.752709662E1,1.149852844E1,7.044657956E0
1.419300175E1,4.736404652E1,8.512389398E0,4.346981964E2,2.904395097E0,9.614990574E1,1.102360202E1,6.714507667E0
1.519300556E1,4.736404092E1,8.512410517E0,4.343454712E2,2.240549605E0,9.570446032E1,1.071282985E1,6.379861945E0
1.619300973E1,4.736403160E1,8.512433869E0,4.348877537E2,2.114206610E0,1.017753181E2,1.044949696E1,6.215075469E0
1.719301474E1,4.736402912E1,8.512464030E0,4.349957437E2,2.061458662E0,1.026946137E2,1.008472048E1,5.855683684E0
1.819301927E1,4.736401629E1,8.512493379E0,4.342022995E2,2.152250351E0,1.073651445E2,9.908376679E0,5.870907163E0
1.919302380E1,4.736402360E1,8.512518982E0,4.338742771E2,1.939693439E0,9.269267913E1,9.575166864E0,5.765222416E0
2.019302881E1,4.736401679E1,8.512555063E0,4.339990949E2,2.018569702E0,9.684390096E1,9.213731158E0,5.424816376E0
2.119303226E1,4.736401325E1,8.512586916E0,4.341792581E2,2.036467205E0,9.312678941E1,8.989206702E0,5.227159904E0
2.219303739E1,4.736399950E1,8.512613601E0,4.345920717E2,2.026573656E0,1.079409295E2,8.840563808E0,5.289149553E0
2.319304168E1,4.736399978E1,8.512650429E0,4.345221658E2,1.963124937E0,1.013291429E2,8.759419506E0,5.220439453E0
2.419304597E1,4.736398874E1,8.512680486E0,4.343390021E2,2.012895046E0,1.092079548E2,8.751404222E0,5.291949419E0
2.519305098E1,4.736399069E1,8.512715709E0,4.345541469E2,2.013158458E0,9.976066099E1,8.541167550E0,5.218640228E0
2.619305527E1,4.736398812E1,8.512748723E0,4.338823137E2,2.013866526E0,9.742222406E1,8.302936129E0,5.216189913E0
2.719306004E1,4.736398269E1,8.512776071E0,4.338462019E2,2.034223333E0,1.024382450E2,8.150279366E0,5.094068710E0
2.819306469E1,4.736398804E1,8.512811578E0,4.346167710E2,2.053705583E0,8.932634568E1,7.938945800E0,4.991815822E0
2.919306803E1,4.736398127E1,8.512840770E0,4.338649020E2,1.993064039E0,9.336940024E1,7.798615296E0,4.976595281E0
3.019307411E1,4.736397890E1,8.512866637E0,4.338951060E2,1.974062339E0,9.471293942E1,7.508684559E0,4.650072288E0
3.119307756E1,4.736396622E1,8.512892941E0,4.332880126E2,1.989690698E0,1.081486336E2,7.581838155E0,4.667832483E0
3.219308245E1,4.736395915E1,8.512917917E0,4.333659230E2,2.105122102E0,1.073750861E2,7.353836752E0,4.561841707E0
3.319308627E1,4.736395044E1,8.512951145E0,4.328496454E2,2.084971249E0,1.104476977E2,7.349495350E0,4.452351131E0
3.419309139E1,4.736395175E1,8.512980631E0,4.327768461E2,2.085856717E0,1.022323369E2,7.194726612E0,4.261201714E0
3.519309592E1,4.736393704E1,8.513007753E0,4.326057943E2,2.200121534E0,1.132995249E2,7.153207634E0,3.947500572E0
3.619310045E1,4.736392443E1,8.513028818E0,4.323180468E2,2.086061025E0,1.247187803E2,7.146401616E0,3.745022933E0
3.719310558E1,4.736392235E1,8.513042227E0,4.323644256E2,1.731050420E0,1.206346490E2,7.053980076E0,3.992798828E0
3.819310963E1,4.736392723E1,8.513084545E0,4.328477243E2,2.076043732E0,1.058045826E2,7.127412599E0,3.831582411E0
3.919311380E1,4.736392727E1,8.513112658E0,4.322441387E2,2.013773263E0,9.078771189E1,6.997085683E0,3.808592430E0
4.019311833E1,4.736393253E1,8.513152346E0,4.327599321E2,2.090677414E0,8.650847039E1,6.936255187E0,3.737855564E0
4.119312334E1,4.736393321E1,8.513179045E0,4.328973945E2,2.016211198E0,8.738200952E1,6.825040588E0,3.743227904E0
4.242897753E1,4.736393334E1,8.513246034E0,4.333898950E2,3.076215021E-1,1.473088944E2,7.806533557E0,4.733560974E0
4.342898159E1,4.736394345E1,8.513205698E0,4.334449032E2,1.352886740E0,2.871102643E2,7.635687530E0,4.685456303E0
4.442898624E1,4.736394228E1,8.513177976E0,4.331511508E2,1.589664862E0,2.894369220E2,7.560392842E0,4.486196188E0
4.542899053E1,4.736394462E1,8.513138516E0,4.325203948E2,2.092628102E0,2.908773463E2,7.495286213E0,4.260010736E0
4.642899494E1,4.736392519E1,8.513109628E0,4.330815828E2,2.030622380E0,2.650465446E2,7.621098590E0,4.371669009E0
4.742899983E1,4.736391262E1,8.513079133E0,4.331919939E2,2.063551119E0,2.553175136E2,7.651819624E0,4.120528921E0
4.842900495E1,4.736391911E1,8.513050797E0,4.332494864E2,2.034097251E0,2.710207216E2,7.571446063E0,3.900778760E0
4.942900853E1,4.736392431E1,8.513027791E0,4.330216882E2,1.932046566E0,2.780547659E2,7.470296179E0,3.943762910E0
5.042837565E1,4.736392612E1,8.513002889E0,4.331318562E2,1.933481737E0,2.765616867E2,7.640513781E0,4.174331174E0
5.142836504E1,4.736393584E1,8.512982240E0,4.326729194E2,1.845588999E0,2.852010499E2,7.744170640E0,4.214100525E0
5.242837136E1,4.736392559E1,8.512949649E0,4.335677554E2,2.095101246E0,2.591430873E2,7.602893513E0,4.183446527E0
5.342837195E1,4.736393940E1,8.512914736E0,4.341091199E2,2.154698114E0,2.712529564E2,7.518372686E0,4.163460420E0
5.442837219E1,4.736393991E1,8.512878559E0,4.340957059E2,2.192147961E0,2.722421773E2,7.393724737E0,4.073582729E0
5.542837887E1,4.736394988E1,8.512855089E0,4.341416086E2,1.877956267E0,2.805869910E2,7.359577926E0,4.051722056E0
5.642837708E1,4.736394952E1,8.512824248E0,4.344946447E2,2.069392060E0,2.725842937E2,7.235832961E0,3.917824448E0
5.742837362E1,4.736396001E1,8.512802449E0,4.338189222E2,1.914928451E0,2.861163296E2,7.146481905E0,3.898575079E0
5.842837863E1,4.736397485E1,8.512789469E0,4.342712649E2,1.887124149E0,2.992008707E2,6.929965458E0,3.725945941E0
5.942837577E1,4.736398036E1,8.512769021E0,4.344562295E2,1.577391478E0,3.056518890E2,6.812730943E0,3.684728811E0
6.042837350E1,4.736397971E1,8.512738906E0,4.345352776E2,1.750532308E0,2.865562881E2,6.728022118E0,3.692182954E0
6.142837958E1,4.736398414E1,8.512704916E0,4.346163103E2,1.982854632E0,2.836155793E2,6.663136901E0,3.687770908E0
6.242838042E1,4.736399480E1,8.512683068E0,4.343006496E2,2.023978171E0,2.895895199E2,6.511695900E0,3.779302432E0
6.342837672E1,4.736399056E1,8.512659605E0,4.342706634E2,1.902142253E0,2.767186854E2,6.393115950E0,3.653562399E0
6.442838363E1,4.736398442E1,8.512625196E0,4.351000559E2,2.159561697E0,2.688783689E2,6.316489089E0,3.564263582E0
6.542845731E1,4.736397990E1,8.512591478E0,4.350211149E2,2.237361978E0,2.636829831E2,6.216961579E0,3.503385928E0
6.642839603E1,4.736398686E1,8.512574274E0,4.346420843E2,2.007419154E0,2.726514191E2,6.130486391E0,3.630935928E0
6.742840175E1,4.736398623E1,8.512555596E0,4.349565684E2,1.853102652E0,2.703612160E2,6.115297504E0,3.746123017E0
6.842840724E1,4.736399092E1,8.512534697E0,4.353975514E2,1.656098704E0,2.823525264E2,6.325588035E0,3.778745974E0
6.942841403E1,4.736400188E1,8.512511039E0,4.347229076E2,1.999634557E0,2.897772334E2,6.272847131E0,3.782626142E0
7.042841916E1,4.736400581E1,8.512476362E0,4.352471651E2,2.251117758E0,2.898519020E2,6.437340428E0,3.838908405E0
7.142842583E1,4.736401423E1,8.512457727E0,4.348375538E2,1.909683656E0,2.936667763E2,6.447367760E0,3.826310696E0
7.242843096E1,4.736401985E1,8.512429023E0,4.348262719E2,2.042221401E0,2.896645284E2,6.439498467E0,3.889005200E0
7.342843680E1,4.736402627E1,8.512396881E0,4.346062162E2,2.136403344E0,2.958537534E2,6.489626042E0,3.833488878E0
7.442844097E1,4.736402938E1,8.512375820E0,4.338049684E2,1.805086878E0,2.998210544E2,6.457378769E0,3.796153156E0
7.542844634E1,4.736402386E1,8.512346102E0,4.345524037E2,1.751819797E0,2.858568465E2,6.591213243E0,3.807302545E0
7.642845194E1,4.736403508E1,8.512324784E0,4.342113629E2,1.934011506E0,2.856836032E2,6.494896768E0,3.788746048E0
7.742845790E1,4.736402402E1,8.512293558E0,4.345327947E2,2.018409250E0,2.631168060E2,6.441018735E0,3.750457540E0
7.842846327E1,4.736403856E1,8.512258710E0,4.348521326E2,2.431591128E0,2.777332047E2,6.408540249E0,3.934457066E0
7.942846815E1,4.736404842E1,8.512243362E0,4.344595114E2,1.974588200E0,2.947086717E2,6.263703727E0,3.785697978E0
