"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.046125000E-2,1.335140991E1,-3.717487335E1,-2.514785004E1
3.045825000E-2,1.343862915E1,-3.689579773E1,-2.568781281E1
4.045525000E-2,1.339610291E1,-3.685071564E1,-2.593693161E1
5.045325000E-2,1.372975159E1,-3.625479889E1,-2.671838760E1
6.045025000E-2,1.373722839E1,-3.624514008E1,-2.671004105E1
7.044725000E-2,1.412602234E1,-3.555541229E1,-2.728527451E1
8.044425000E-2,1.445780945E1,-3.526306534E1,-2.740398407E1
9.044125000E-2,1.467256165E1,-3.460159683E1,-2.798284912E1
1.004382500E-1,1.495118713E1,-3.395888901E1,-2.862213898E1
1.104352500E-1,1.495118713E1,-3.395888901E1,-2.862213898E1
1.204332500E-1,1.470635986E1,-3.286530304E1,-2.980758667E1
1.304302500E-1,1.431729126E1,-3.236619186E1,-3.067133331E1
1.404272500E-1,1.398545837E1,-3.179746819E1,-3.170950317E1
1.504242500E-1,1.316642761E1,-3.160305214E1,-3.198648834E1
1.604212500E-1,1.315792847E1,-3.159829330E1,-3.198756409E1
1.704182500E-1,1.158743286E1,-3.126207733E1,-3.312055206E1
1.804162500E-1,1.071475220E1,-3.101035118E1,-3.362878799E1
1.904132500E-1,1.006146240E1,-3.114034462E1,-3.328980637E1
2.004102500E-1,9.994064331E0,-3.074743843E1,-3.368183899E1
2.104072500E-1,9.994064331E0,-3.074743843E1,-3.368183899E1
2.204042500E-1,9.702392578E0,-3.086121941E1,-3.366358566E1
2.304012500E-1,9.453216553E0,-3.112906075E1,-3.351326370E1
2.403982500E-1,8.536895752E0,-3.117972374E1,-3.388749313E1
2.503962500E-1,7.914993286E0,-3.130819511E1,-3.379037857E1
2.603932500E-1,7.359512329E0,-3.118205452E1,-3.423907852E1
2.703902500E-1,6.983276367E0,-3.143874550E1,-3.398405075E1
2.803872500E-1,6.821212769E0,-3.144549751E1,-3.383032608E1
2.903842500E-1,6.596771240E0,-3.180272484E1,-3.374963760E1
3.003812500E-1,6.550201416E0,-3.158746529E1,-3.401693726E1
3.103792500E-1,6.568023682E0,-3.145874977E1,-3.410420227E1
3.203762500E-1,6.525466919E0,-3.115894127E1,-3.431325531E1
3.303732500E-1,6.387100220E0,-3.133939552E1,-3.409595490E1
3.403702500E-1,6.429611206E0,-3.147882652E1,-3.394562531E1
3.503672500E-1,6.142349243E0,-3.191486931E1,-3.338108826E1
3.603642500E-1,5.841369629E0,-3.233064270E1,-3.332593918E1
3.703612500E-1,5.213836670E0,-3.280660248E1,-3.286882401E1
3.803592500E-1,4.501342773E0,-3.320703888E1,-3.238704300E1
3.903562500E-1,3.498260498E0,-3.387122345E1,-3.193378067E1
4.003532500E-1,2.371719360E0,-3.439109039E1,-3.176478195E1
4.103502500E-1,8.507080078E-1,-3.512326050E1,-3.129608536E1
4.203472500E-1,-6.294097900E-1,-3.535418701E1,-3.086798859E1
4.303442500E-1,-2.166519165E0,-3.592366028E1,-3.002317047E1
4.403412500E-1,-3.682922363E0,-3.632728958E1,-3.007781601E1
4.503392500E-1,-5.321929932E0,-3.707674026E1,-2.843771744E1
4.603362500E-1,-7.164306641E0,-3.773116302E1,-2.705082321E1
4.703332500E-1,-8.536178589E0,-3.864926147E1,-2.536106491E1
4.803302500E-1,-1.014907837E1,-3.926461792E1,-2.369677353E1
4.903272500E-1,-1.175500488E1,-3.986952209E1,-2.222299576E1
5.003242500E-1,-1.331062317E1,-4.022810364E1,-2.053113937E1
5.103212500E-1,-1.456004333E1,-4.074745178E1,-1.880892563E1
5.203192500E-1,-1.580949402E1,-4.086713409E1,-1.734160995E1
5.303162500E-1,-1.669975281E1,-4.100988770E1,-1.577877426E1
5.403132500E-1,-1.807513428E1,-4.102844238E1,-1.507794571E1
5.503102500E-1,-1.902798462E1,-4.106150055E1,-1.406949997E1
5.603072500E-1,-1.995948792E1,-4.076641464E1,-1.348790359E1
5.703042500E-1,-2.055935669E1,-4.052021408E1,-1.292022705E1
5.803012500E-1,-2.139802551E1,-4.033640289E1,-1.284117126E1
5.902992500E-1,-2.185748291E1,-4.005983734E1,-1.252134705E1
6.002962500E-1,-2.279508972E1,-3.959304810E1,-1.238444901E1
6.102932500E-1,-2.355218506E1,-3.932285309E1,-1.211121368E1
6.202902500E-1,-2.444869995E1,-3.873327637E1,-1.185245514E1
6.302872500E-1,-2.521267700E1,-3.844922638E1,-1.067442322E1
6.402842500E-1,-2.615066528E1,-3.813523102E1,-9.891128540E0
6.502822500E-1,-2.686192322E1,-3.807218933E1,-8.511535645E0
6.602792500E-1,-2.757135010E1,-3.762234879E1,-7.916645050E0
6.702762500E-1,-2.788342285E1,-3.740479660E1,-7.231193542E0
6.802732500E-1,-2.843521118E1,-3.715405273E1,-6.802951813E0
6.902702500E-1,-2.830787659E1,-3.732649994E1,-6.454765320E0
7.002672500E-1,-2.814587402E1,-3.734465027E1,-6.105857849E0
7.102642500E-1,-2.766954041E1,-3.774147034E1,-5.281635284E0
7.202622500E-1,-2.769833374E1,-3.811561203E1,-4.735748291E0
7.302592500E-1,-2.746000671E1,-3.833321762E1,-3.439811707E0
7.402562500E-1,-2.736129761E1,-3.853563690E1,-2.599960327E0
7.502532500E-1,-2.693225098E1,-3.874547577E1,-1.613620758E0
7.602502500E-1,-2.655870056E1,-3.911404419E1,-1.060607910E0
7.702472500E-1,-2.594052124E1,-3.951634979E1,-3.829727173E-1
7.802442500E-1,-2.567048645E1,-3.978987885E1,-2.287216187E-1
7.902422500E-1,-2.532968140E1,-4.004049683E1,-2.426872253E-1
8.002392500E-1,-2.530899048E1,-4.009972382E1,-4.248123169E-1
8.102362500E-1,-2.490673828E1,-4.028038025E1,-6.338768005E-1
8.202332500E-1,-2.478268433E1,-4.032585907E1,-8.526649475E-1
8.302302500E-1,-2.444123840E1,-4.043538666E1,-5.977706909E-1
8.402272500E-1,-2.453509521E1,-4.047291565E1,-7.213439941E-1
8.502242500E-1,-2.440344238E1,-4.045285797E1,-7.150192261E-1
8.602222500E-1,-2.452735901E1,-4.031027222E1,-7.987136841E-1
8.702192500E-1,-2.434594727E1,-4.033780670E1,-4.957199097E-1
8.802162500E-1,-2.456497192E1,-4.027326965E1,-2.796859741E-1
8.902131250E-1,-2.445591736E1,-4.032949066E1,1.329689026E-1
9.002101250E-1,-2.474526978E1,-4.022359085E1,1.888771057E-1
9.102071250E-1,-2.481805420E1,-3.996785355E1,3.160629272E-1
9.202041250E-1,-2.533894348E1,-3.978046799E1,1.575431824E-1
9.302021250E-1,-2.555085754E1,-3.974452591E1,3.177261353E-1
9.401991250E-1,-2.575384521E1,-3.962178802E1,1.161079407E-1
9.501961250E-1,-2.568437195E1,-3.948615265E1,2.799987793E-2
9.601931250E-1,-2.595785522E1,-3.935026550E1,-3.855895996E-1
9.701901250E-1,-2.597572327E1,-3.922880554E1,-8.573913574E-1
9.801871250E-1,-2.614347839E1,-3.919411469E1,-1.488994598E0
9.901841250E-1,-2.598988342E1,-3.930921173E1,-1.782047272E0
1.000182125E0,-2.569366455E1,-3.945916748E1,-2.628501892E0
1.010179125E0,-2.510969543E1,-3.978865051E1,-2.603584290E0
1.020176125E0,-2.474714661E1,-3.988207245E1,-3.384796143E0
1.030173125E0,-2.420272827E1,-4.024369049E1,-3.854942322E0
1.040170125E0,-2.360293579E1,-4.044254303E1,-4.092082977E0
1.050167125E0,-2.244224548E1,-4.082766724E1,-4.316017151E0
1.060164125E0,-2.155963135E1,-4.141010284E1,-4.456314087E0
1.070162125E0,-2.037580872E1,-4.194394684E1,-4.296321869E0
1.080159125E0,-1.987310791E1,-4.231868744E1,-3.704650879E0
1.090156125E0,-1.952191162E1,-4.254589081E1,-2.811405182E0
1.100153125E0,-1.952275085E1,-4.273849487E1,-1.614517212E0
1.110150125E0,-1.933380127E1,-4.280687714E1,-3.393707275E-1
1.120147125E0,-1.920916748E1,-4.300325775E1,1.276287079E0
1.130144125E0,-1.890589905E1,-4.306386566E1,2.687213898E0
1.140142125E0,-1.825743103E1,-4.319068146E1,3.956897736E0
1.150139125E0,-1.750379944E1,-4.345168304E1,4.650157928E0
1.160136125E0,-1.676470947E1,-4.364873505E1,5.081165314E0
1.170133125E0,-1.584426880E1,-4.406655884E1,5.989341736E0
1.180130125E0,-1.504367065E1,-4.433821869E1,6.324359894E0
1.190127125E0,-1.391569519E1,-4.448826599E1,6.918975830E0
1.200124125E0,-1.336866760E1,-4.468386459E1,6.958335876E0
1.210122125E0,-1.278952026E1,-4.486838150E1,7.216281891E0
1.220119125E0,-1.254606628E1,-4.503268814E1,7.035770416E0
1.230116125E0,-1.170852661E1,-4.510689163E1,6.892776489E0
1.240113125E0,-1.114123535E1,-4.535198593E1,6.246509552E0
1.250110125E0,-1.029177856E1,-4.544380569E1,5.980678558E0
1.260107125E0,-9.762359619E0,-4.569585419E1,5.291553497E0
1.270104125E0,-9.268020630E0,-4.584962463E1,5.063106537E0
1.280102125E0,-9.014328003E0,-4.590413666E1,4.937686920E0
1.290099125E0,-8.779724121E0,-4.597023010E1,5.027450562E0
1.300096125E0,-8.473831177E0,-4.592765045E1,5.596065521E0
1.310093125E0,-8.168457031E0,-4.569396973E1,6.442733765E0
1.320090125E0,-8.621673584E0,-4.579479218E1,7.120246887E0
1.330087125E0,-8.809143066E0,-4.554568481E1,7.889747620E0
1.340084125E0,-9.182647705E0,-4.543914413E1,8.253341675E0
1.350082125E0,-9.509216309E0,-4.534064102E1,8.353023529E0
1.360079125E0,-9.767364502E0,-4.548074722E1,8.444763184E0
1.370076125E0,-9.823776245E0,-4.563615799E1,7.883403778E0
1.380073125E0,-9.974639893E0,-4.569635773E1,7.289573669E0
1.390070125E0,-1.013853455E1,-4.565348816E1,6.690200806E0
1.400067125E0,-1.037316895E1,-4.553391266E1,5.763767242E0
1.410064125E0,-1.062977600E1,-4.556879425E1,5.669830322E0
1.420062125E0,-1.113078308E1,-4.566641235E1,5.220283508E0
1.430059125E0,-1.152127075E1,-4.560147095E1,5.225044250E0
1.440056125E0,-1.179101562E1,-4.543404388E1,4.825496674E0
1.450053125E0,-1.214198303E1,-4.537542725E1,4.653991699E0
1.460050125E0,-1.241856384E1,-4.550574875E1,4.368297577E0
1.470047125E0,-1.243809509E1,-4.543732071E1,3.833320618E0
1.480044125E0,-1.223303223E1,-4.548498154E1,3.177745819E0
1.490042125E0,-1.193208313E1,-4.562046432E1,2.760620117E0
1.500039125E0,-1.179981995E1,-4.570858765E1,1.856311798E0
1.510036125E0,-1.145606995E1,-4.574024963E1,1.167179108E0
1.520033125E0,-1.106178284E1,-4.571723175E1,4.560279846E-1
