"Time (s)","Distance (cm)"
2.518166672E-3,5.000000000E0
3.142764042E0,0.000000000E0
3.476086750E0,5.000000000E0
1.083709704E1,0.000000000E0
1.117015325E1,5.000000000E0
1.191958992E1,0.000000000E0
1.225262779E1,5.000000000E0
1.356836183E1,0.000000000E0
1.378482313E1,5.000000000E0
1.466751483E1,0.000000000E0
1.490068113E1,5.000000000E0
1.576685675E1,0.000000000E0
1.598331729E1,5.000000000E0
2.341255679E1,0.000000000E0
2.374577262E1,5.000000000E0
2.835923571E1,0.000000000E0
3.121632033E1,5.000000000E0
4.145310404E1,5.000000000E0
5.071091563E1,0.000000000E0
5.104411417E1,5.000000000E0
5.730790888E1,0.000000000E0
5.750786275E1,5.000000000E0
6.065611650E1,0.000000000E0
6.098926254E1,5.000000000E0
7.170041146E1,0.000000000E0
7.193372167E1,5.000000000E0
7.284978412E1,0.000000000E0
7.318300304E1,5.000000000E0
7.739721683E1,0.000000000E0
7.763046237E1,5.000000000E0
8.836358208E1,5.000000000E0
1.184799773E2,0.000000000E0
1.186965430E2,5.000000000E0
1.252280203E2,0.000000000E0
1.255611665E2,5.000000000E0
1.286931931E2,0.000000000E0
1.289430925E2,5.000000000E0
1.297429698E2,0.000000000E0
1.302093570E2,5.000000000E0
1.311423860E2,0.000000000E0
1.313589865E2,5.000000000E0
1.320754474E2,0.000000000E0
1.324086698E2,5.000000000E0
1.333415173E2,0.000000000E0
1.335746820E2,5.000000000E0
1.347988475E2,5.000000000E0
1.384894835E2,0.000000000E0
1.386226200E2,5.000000000E0
1.406382567E2,0.000000000E0
1.407713580E2,5.000000000E0
1.416539520E2,0.000000000E0
1.417872455E2,5.000000000E0
1.427699938E2,0.000000000E0
1.428865347E2,5.000000000E0
1.438525862E2,0.000000000E0
1.440856281E2,5.000000000E0
1.470840185E2,0.000000000E0
1.473004975E2,5.000000000E0
1.492160268E2,0.000000000E0
1.494159715E2,5.000000000E0
1.498157762E2,0.000000000E0
1.499322688E2,5.000000000E0
1.535639868E2,0.000000000E0
1.536971874E2,5.000000000E0
1.558960971E2,0.000000000E0
1.561293919E2,5.000000000E0
1.578781781E2,0.000000000E0
1.580111507E2,5.000000000E0
1.612759135E2,0.000000000E0
1.614258076E2,5.000000000E0
1.620921850E2,0.000000000E0
1.624252548E2,5.000000000E0
1.632414426E2,0.000000000E0
1.635744647E2,5.000000000E0
1.654068895E2,0.000000000E0
1.657400957E2,5.000000000E0
1.677557615E2,0.000000000E0
1.678724144E2,5.000000000E0
1.688051942E2,0.000000000E0
1.690217705E2,5.000000000E0
1.698879595E2,0.000000000E0
1.706043250E2,5.000000000E0
1.710041932E2,0.000000000E0
1.712207936E2,5.000000000E0
1.715205216E2,0.000000000E0
1.717370240E2,5.000000000E0
1.720703423E2,0.000000000E0
1.722868270E2,5.000000000E0
1.731364031E2,0.000000000E0
1.733696140E2,5.000000000E0
1.742359484E2,0.000000000E0
1.743525865E2,5.000000000E0
1.774346880E2,0.000000000E0
1.777680713E2,5.000000000E0
1.804718489E2,5.000000000E0
1.861791768E2,0.000000000E0
1.867291912E2,5.000000000E0
1.873286806E2,0.000000000E0
1.876617536E2,5.000000000E0
1.972759141E2,0.000000000E0
1.977256875E2,5.000000000E0
2.056558926E2,0.000000000E0
2.059891302E2,5.000000000E0
2.077880540E2,0.000000000E0
2.082209866E2,5.000000000E0
2.088040341E2,0.000000000E0
2.091370809E2,5.000000000E0
2.197152727E2,0.000000000E0
2.200485405E2,5.000000000E0
2.234467552E2,0.000000000E0
2.237800401E2,5.000000000E0
2.246964530E2,0.000000000E0
2.248130270E2,5.000000000E0
2.264515635E2,5.000000000E0
2.282800537E2,0.000000000E0
2.284632905E2,5.000000000E0
2.303957342E2,0.000000000E0
2.305290545E2,5.000000000E0
2.324944320E2,0.000000000E0
2.327276663E2,5.000000000E0
2.336606095E2,0.000000000E0
2.359258368E2,5.000000000E0
2.396807017E2,0.000000000E0
2.397972983E2,5.000000000E0
2.406639703E2,0.000000000E0
2.408971338E2,5.000000000E0
2.417466997E2,0.000000000E0
2.418633562E2,5.000000000E0
2.449283755E2,0.000000000E0
2.451448173E2,5.000000000E0
2.459943115E2,0.000000000E0
2.472101909E2,5.000000000E0
2.481046323E2,0.000000000E0
2.483212913E2,5.000000000E0
2.492212978E2,0.000000000E0
2.493379524E2,5.000000000E0
2.503212174E2,0.000000000E0
2.504543540E2,5.000000000E0
2.513708596E2,0.000000000E0
2.514872810E2,5.000000000E0
2.551019225E2,0.000000000E0
2.557515143E2,5.000000000E0
2.566842572E2,0.000000000E0
2.568008795E2,5.000000000E0
2.583832778E2,0.000000000E0
2.584832068E2,5.000000000E0
2.615149106E2,0.000000000E0
2.617480590E2,5.000000000E0
2.657506090E2,5.000000000E0
2.675422907E2,0.000000000E0
2.678751974E2,5.000000000E0
2.894660507E2,0.000000000E0
2.896826254E2,5.000000000E0
2.926981881E2,0.000000000E0
2.929314274E2,5.000000000E0
2.941308265E2,0.000000000E0
2.945806417E2,5.000000000E0
