"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748958957807390E9,"2025-06-03 15:55:57.807 UTC+02:00"
"PAUSE",4.145116512499953E1,1.748958999258742E9,"2025-06-03 15:56:39.259 UTC+02:00"
"START",4.145116512499953E1,1.748959002022719E9,"2025-06-03 15:56:42.023 UTC+02:00"
"PAUSE",8.836167266666598E1,1.748959048933483E9,"2025-06-03 15:57:28.933 UTC+02:00"
"START",8.836167266666598E1,1.748959056729844E9,"2025-06-03 15:57:36.730 UTC+02:00"
"PAUSE",1.347963302083299E2,1.748959103164725E9,"2025-06-03 15:58:23.165 UTC+02:00"
"START",1.347963302083299E2,1.748959133932119E9,"2025-06-03 15:58:53.932 UTC+02:00"
"PAUSE",1.804693358333316E2,1.748959179605390E9,"2025-06-03 15:59:39.605 UTC+02:00"
"START",1.804693358333316E2,1.748959209326801E9,"2025-06-03 16:00:09.327 UTC+02:00"
"PAUSE",2.264502838749977E2,1.748959255307985E9,"2025-06-03 16:00:55.308 UTC+02:00"
"START",2.264502838749977E2,1.748959281477408E9,"2025-06-03 16:01:21.477 UTC+02:00"
"PAUSE",2.657482966250027E2,1.748959320775585E9,"2025-06-03 16:02:00.776 UTC+02:00"
"START",2.657482966250027E2,1.748959334136177E9,"2025-06-03 16:02:14.136 UTC+02:00"
"PAUSE",3.016960871666743E2,1.748959370084143E9,"2025-06-03 16:02:50.084 UTC+02:00"
