"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.124166687E-4,-2.263742523E0,4.097579041E0,3.511996765E0
1.031141666E-2,-3.168760529E0,3.290607147E0,4.713548126E0
2.030941666E-2,-3.874692535E0,3.163222046E0,6.491700439E0
3.030741667E-2,-2.438129883E0,2.623893585E0,7.891589355E0
4.030641667E-2,-1.641187134E0,2.964285736E0,9.272916870E0
5.030441667E-2,-1.006956024E0,4.222718811E0,9.709858246E0
6.030241666E-2,-3.579057312E-1,4.665348358E0,9.903405762E0
7.030141666E-2,-5.432203674E-1,4.944368134E0,9.665400696E0
8.029941667E-2,-1.182690582E0,4.569397888E0,9.002429352E0
9.029841667E-2,-1.944755859E0,3.813769226E0,8.368796997E0
1.002964167E-1,-2.893932037E0,2.863395538E0,8.120912476E0
1.102944167E-1,-2.968177643E0,2.302362213E0,9.281449127E0
1.202934167E-1,-2.495760040E0,2.682272186E0,1.124506577E1
1.302914167E-1,-1.031055908E0,2.994073792E0,1.238838821E1
1.402894167E-1,1.203497314E-1,3.240162048E0,1.294762527E1
1.502884167E-1,3.047662354E-1,3.315605164E0,1.257909164E1
1.602864167E-1,5.354365540E-1,2.767894135E0,1.184172501E1
1.702854167E-1,2.883603516E0,1.720821533E0,1.134221375E1
1.802834167E-1,1.315913544E0,1.664837952E0,1.249361938E1
1.902814167E-1,-6.406677246E-1,1.575024719E0,1.337094498E1
2.002804167E-1,-6.089337158E0,2.477647705E0,1.100227066E1
2.102784167E-1,-2.680625610E0,2.855462036E0,9.130712585E0
2.202764167E-1,6.084547119E0,2.485730896E0,1.289224045E1
2.302754167E-1,2.033670959E0,3.914060669E0,1.212478638E1
2.402734167E-1,1.559307404E0,3.645369415E0,1.192375443E1
2.502724167E-1,7.214696960E0,1.262624359E0,1.157048904E1
2.602704167E-1,5.069058838E0,1.625619507E-1,1.122665405E1
2.702684167E-1,-1.250948639E0,1.815724182E0,1.122231308E1
2.802674167E-1,2.133064270E0,1.177301788E0,8.476423187E0
2.902654167E-1,8.114625549E0,-3.107837219E0,5.841003571E0
3.002634167E-1,5.698200531E0,-2.723137207E0,3.904480591E0
3.102624167E-1,4.369413757E0,-2.313439178E0,3.188818817E0
3.202604167E-1,5.852080536E0,-4.553381195E0,4.091292114E0
3.302596667E-1,5.650898895E0,-8.800349579E0,3.075205078E0
3.402576667E-1,5.466632080E0,-1.068418213E1,9.062155151E-1
3.502556667E-1,6.076314240E0,-1.187256088E1,-1.769021301E0
3.602546667E-1,6.959926758E0,-1.337573502E1,-3.114573212E0
3.702526667E-1,8.658594360E0,-1.400248169E1,-4.086202698E0
3.802506667E-1,1.085273163E1,-1.349833008E1,-5.371729431E0
3.902496667E-1,1.294029053E1,-1.393961243E1,-8.630303192E0
4.002476667E-1,1.401745056E1,-1.502740036E1,-1.013108231E1
4.102466667E-1,1.389156235E1,-1.719519241E1,-9.612111511E0
4.202446667E-1,1.156989029E1,-1.978540604E1,-6.460265808E0
4.302426667E-1,9.591304779E0,-2.211097000E1,-3.682342529E0
4.402416667E-1,1.103669907E1,-2.308694046E1,-3.035986633E0
4.502396667E-1,1.530357605E1,-2.374901367E1,-2.440824280E0
4.602376667E-1,1.958242813E1,-2.425600937E1,-2.236648865E0
4.702366667E-1,2.395573380E1,-2.400183792E1,2.706372070E-1
4.802346667E-1,2.851076157E1,-2.566682556E1,1.103355560E0
4.902326667E-1,3.178250793E1,-2.517704407E1,1.669478302E0
5.002316667E-1,3.464156250E1,-2.479503845E1,4.525090027E0
5.102296667E-1,3.666700058E1,-2.383538406E1,5.249733124E0
5.202286667E-1,3.962440063E1,-2.134740784E1,5.172793121E0
5.302266667E-1,4.444976624E1,-1.628283966E1,6.402635651E0
5.402246667E-1,5.229195831E1,-9.002279663E0,9.620045013E0
5.502236667E-1,5.854610275E1,-3.872447205E-1,1.715283051E1
5.602216667E-1,6.121580109E1,8.741372223E0,2.240690460E1
5.702196667E-1,5.750157486E1,1.621607849E1,2.357223129E1
5.802186667E-1,4.983511734E1,2.072200836E1,1.921943298E1
5.902166667E-1,4.216671387E1,2.295805847E1,1.205727676E1
6.002156667E-1,3.406226715E1,2.390289368E1,4.528832245E0
6.102136667E-1,2.620211243E1,2.335248825E1,-2.252815247E-1
6.202116667E-1,1.979573456E1,2.279819092E1,-2.524649963E0
6.302106667E-1,1.410516815E1,2.255165359E1,-1.975292358E0
6.402086667E-1,8.115823059E0,2.362162857E1,1.038839722E0
6.502066667E-1,2.822829895E0,2.508693146E1,5.117557983E0
6.602056667E-1,-3.861968994E-1,2.733929764E1,7.556585999E0
6.702036667E-1,-1.335672455E0,3.072750183E1,5.849685516E0
6.802016667E-1,-2.213297424E0,3.376199158E1,1.176104279E0
6.902006667E-1,-5.065765686E0,3.591047379E1,-2.686313782E0
7.001986667E-1,-8.658444672E0,3.730452484E1,-2.518063660E0
7.101966667E-1,-8.653654633E0,3.665712112E1,3.453618164E0
7.201956667E-1,-3.398532715E0,3.536186462E1,1.296618668E1
7.301936667E-1,4.329446869E0,3.426943634E1,2.157253967E1
7.401926667E-1,1.246727417E1,3.480876480E1,2.566443054E1
7.501906667E-1,2.538690765E1,3.658886307E1,2.367372025E1
7.601886667E-1,4.033467361E1,3.887101730E1,1.989168503E1
7.701876667E-1,4.994019882E1,3.984564056E1,1.600905899E1
7.801856667E-1,5.560367157E1,3.820684845E1,1.245574814E1
7.901836667E-1,6.304424881E1,3.641657135E1,1.115674942E1
8.001826667E-1,7.258256378E1,3.598007904E1,1.292592041E1
8.101806667E-1,8.439450073E1,3.637944855E1,1.687725357E1
8.201786667E-1,9.738224258E1,3.603142227E1,2.174513077E1
8.301776667E-1,1.074633289E2,3.252586212E1,2.520847870E1
8.401756667E-1,1.106177193E2,2.733854919E1,2.434687042E1
8.501736667E-1,1.108570715E2,2.150338348E1,1.946612000E1
8.601726667E-1,1.137957605E2,1.768871613E1,1.139355698E1
8.701706667E-1,1.171338190E2,1.199844910E1,-1.084794159E0
8.801696667E-1,1.077122612E2,-4.242178345E-1,-8.806486816E0
8.901676667E-1,8.491646530E1,-1.250529510E1,-3.735182648E0
9.001656667E-1,6.714871353E1,-2.408386734E1,3.509751434E0
9.101646667E-1,5.212565414E1,-3.088213028E1,7.783514099E0
9.201626667E-1,3.763428909E1,-3.528073334E1,6.260281677E0
9.301606667E-1,2.547911591E1,-3.997467224E1,1.413660278E0
9.401596667E-1,1.954859848E1,-4.502846283E1,2.601589966E-1
9.501576667E-1,1.582090027E1,-4.890659821E1,7.826774139E0
9.601556667E-1,1.222552689E1,-5.354769699E1,1.215008377E1
9.701546667E-1,1.065409470E1,-5.878335938E1,6.097869415E0
9.801526667E-1,7.979905701E0,-6.197128006E1,2.574795685E0
9.901516667E-1,5.418582001E0,-6.093229065E1,4.771926727E0
1.000149667E0,6.913972321E0,-6.032395569E1,3.457061005E0
1.010147667E0,6.919361115E0,-5.709531967E1,-2.165397034E0
1.020146667E0,5.892197113E0,-5.565202103E1,-7.293882294E0
1.030144667E0,6.388415222E0,-5.587116531E1,-6.111790466E0
1.040142667E0,1.128398483E1,-5.705146088E1,1.567240906E-1
1.050141667E0,2.175965057E1,-5.740053497E1,6.730154572E0
1.060139667E0,3.592723892E1,-5.354949326E1,1.057475967E1
1.070138667E0,4.681649460E1,-4.717455002E1,1.095751373E1
1.080136667E0,5.242203781E1,-4.203992752E1,8.953181763E0
1.090134667E0,5.837710419E1,-3.839695312E1,7.738008728E0
1.100133667E0,6.387172806E1,-3.494677780E1,7.282505951E0
1.110131667E0,6.522251907E1,-3.489019547E1,8.532107391E0
1.120129667E0,6.998756012E1,-3.321712463E1,9.876312103E0
1.130128667E0,7.906198975E1,-2.488679764E1,9.088799744E0
1.140126667E0,1.025593767E2,-6.808890839E0,1.276889694E1
1.150124667E0,1.234087701E2,1.332753525E1,2.457858856E1
1.160123667E0,1.203214403E2,2.864727768E1,3.122237274E1
1.170121667E0,9.462662292E1,3.601720184E1,2.893647629E1
1.180119667E0,7.861217514E1,3.496474045E1,2.206291992E1
1.190118667E0,7.520211639E1,3.894930450E1,1.609423187E1
1.200116667E0,6.304230286E1,4.219066406E1,1.256247620E1
1.210115667E0,4.474135986E1,3.759312469E1,9.308243408E0
1.220113667E0,3.172427902E1,3.298720276E1,6.459068298E0
1.230111667E0,2.553270447E1,3.256193710E1,3.338806915E0
1.240110667E0,2.041305084E1,3.645743637E1,-7.906558228E-1
1.250108667E0,1.351868774E1,4.134761719E1,-3.983815613E0
1.260106667E0,1.007165588E1,4.570834900E1,-7.386539612E0
1.270105667E0,1.171523804E1,5.332376266E1,-8.300538940E0
1.280103667E0,6.480324097E0,5.304384476E1,-1.063478485E1
1.290101667E0,-5.313949585E-2,5.039510284E1,-7.342531128E0
1.300100667E0,-6.971602478E0,4.663372467E1,-2.188449097E-1
1.310098667E0,-1.446786392E1,4.130959625E1,9.135502625E0
1.320096667E0,-1.422596695E1,3.778936661E1,1.662098648E1
1.330095042E0,-6.573879547E0,3.494797531E1,2.450359451E1
1.340093042E0,4.012106781E0,3.425925751E1,2.779509979E1
1.350091042E0,1.205877365E1,3.430311630E1,2.585184082E1
1.360090042E0,2.125145737E1,3.586841125E1,2.231978577E1
1.370088042E0,3.371079803E1,3.995536240E1,1.693009369E1
1.380086042E0,4.703788422E1,4.437776596E1,1.231534012E1
1.390085042E0,5.970454376E1,4.730193512E1,1.243943207E1
1.400083042E0,6.868601669E1,4.725642975E1,1.658431274E1
1.410081042E0,7.702053497E1,4.702635818E1,2.262664764E1
1.420080042E0,9.132793259E1,4.695615417E1,2.416769302E1
1.430078042E0,1.016206787E2,4.477968018E1,1.875644577E1
1.440076042E0,1.031760942E2,4.112712570E1,1.076651093E1
1.450075042E0,1.013639626E2,3.744493286E1,4.361180878E0
1.460073042E0,9.894903442E1,3.022903839E1,3.624263306E0
1.470071042E0,9.006216476E1,1.984393433E1,8.112978973E0
1.480070042E0,7.870662872E1,1.256097931E1,8.043373718E0
1.490068042E0,7.098897766E1,2.804418182E0,4.490362244E0
1.500066042E0,6.006439545E1,-1.416728897E1,5.990093536E0
1.510065042E0,3.976825150E1,-2.907778244E1,9.392518158E0
1.520063042E0,2.373209885E1,-4.029560486E1,1.193213699E1
1.530062042E0,2.207519440E1,-5.462231232E1,1.627161301E1
1.540060042E0,2.268802002E1,-6.816030991E1,2.140129578E1
1.550058042E0,2.117032608E1,-8.178213318E1,2.137569901E1
1.560057042E0,1.731703903E1,-9.208026810E1,1.649150574E1
1.570055042E0,1.673385178E1,-9.452124207E1,1.317874466E1
1.580053042E0,2.122062149E1,-9.372399994E1,6.304290161E0
1.590052042E0,1.853026611E1,-9.114546204E1,-3.258723450E-1
1.600050042E0,1.730162109E1,-9.206814331E1,-2.720442810E0
1.610048042E0,3.321592712E1,-9.274219162E1,4.143533478E0
1.620047042E0,5.785603775E1,-9.082168533E1,1.259675491E1
1.630045042E0,8.207118210E1,-8.360564117E1,1.608614868E1
1.640044042E0,1.015874478E2,-6.953295547E1,1.590607315E1
1.650042042E0,1.091395432E2,-5.625571564E1,1.588002731E1
1.660040042E0,1.101941002E2,-4.628494995E1,1.745999176E1
1.670039042E0,1.058194473E2,-4.160403397E1,1.826202393E1
1.680037042E0,1.216774704E2,-3.136547516E1,1.651770126E1
1.690035042E0,1.598801276E2,-1.008138565E1,2.193837891E1
1.700034042E0,1.741920158E2,1.247640518E1,3.158851135E1
1.710032042E0,1.416661537E2,2.848935608E1,3.052632019E1
1.720030042E0,1.131764983E2,3.884766586E1,2.417906937E1
1.730029042E0,1.160265715E2,4.327426071E1,1.519011200E1
1.740027042E0,1.107248964E2,5.174304977E1,4.317322083E0
1.750025042E0,7.975864105E1,5.224390823E1,-5.543572083E0
1.760024042E0,5.468218781E1,4.556000748E1,-1.385069733E1
1.770022042E0,4.179428833E1,4.419379852E1,-2.161011154E1
1.780020042E0,3.130021088E1,4.604889084E1,-2.469714203E1
1.790019042E0,2.322480377E1,4.859060532E1,-1.847862350E1
1.800017042E0,1.581491272E1,4.865646835E1,-7.605833588E0
1.810015042E0,3.116519165E-1,4.831532776E1,3.438050537E0
1.820014042E0,-1.738125549E1,5.167823456E1,7.357500000E0
1.830012042E0,-2.472049347E1,5.660104752E1,2.301913147E0
1.840010042E0,-2.448787720E1,5.842455551E1,-1.606758728E0
1.850009042E0,-2.186637863E1,6.147700790E1,8.270451508E0
1.860007042E0,-1.514310974E1,5.809074966E1,2.773387711E1
1.870005042E0,-4.773722992E0,5.214316772E1,4.263538925E1
1.880004042E0,1.002974304E1,5.099864777E1,4.217210266E1
1.890002042E0,2.551324493E1,4.946972717E1,3.024430664E1
1.900000042E0,3.954805939E1,4.640155746E1,1.587329132E1
1.909999042E0,4.702830414E1,4.137366302E1,5.411696320E0
1.919997042E0,5.047099503E1,3.754208084E1,1.708696747E0
1.929995042E0,5.974765411E1,3.838422958E1,4.376149750E0
1.939994042E0,7.165299683E1,3.970074188E1,8.690178680E0
1.949992042E0,7.924281372E1,4.050741440E1,1.235455856E1
1.959990042E0,8.743946869E1,3.988411057E1,1.176942535E1
1.969989042E0,9.247589539E1,3.718312729E1,6.451284485E0
1.979987042E0,9.208401031E1,3.201527390E1,9.620494080E-1
1.989985042E0,8.914547104E1,2.831916000E1,1.932481384E-1
1.999984042E0,9.056960953E1,2.708991623E1,2.225871277E0
2.009982042E0,9.207652588E1,2.262110916E1,4.759652252E0
2.019980042E0,8.275795395E1,1.750175491E1,3.341201935E0
2.029979042E0,7.617464401E1,1.288864792E1,-1.961820374E0
2.039977042E0,7.144118729E1,7.629634094E-1,-1.020877075E0
2.049975042E0,5.706463348E1,-1.735071899E1,9.562863922E0
2.059974042E0,4.537693817E1,-3.448483841E1,2.022683807E1
2.069972042E0,4.130675217E1,-5.338947601E1,2.547687057E1
2.079970042E0,3.175825836E1,-7.321514832E1,2.353046814E1
2.089969042E0,1.570519089E1,-8.790500061E1,1.363319962E1
2.099967042E0,2.551294556E0,-9.775945816E1,2.091899872E0
2.109965042E0,-1.303938446E0,-1.037962546E2,8.622070312E-2
2.119964042E0,5.010530548E0,-1.067645819E2,2.812950439E0
2.129962042E0,1.384051849E1,-1.075899655E2,4.944368134E0
2.139960042E0,2.988205994E1,-1.052027298E2,8.223449249E0
2.149959042E0,5.421800308E1,-9.956859604E1,1.204949295E1
2.159957042E0,7.585984863E1,-9.111028519E1,1.245964005E1
2.169955042E0,9.036618256E1,-8.187029984E1,9.815388794E0
2.179954042E0,1.020712418E2,-7.193216629E1,9.244925079E0
2.189952042E0,1.117544554E2,-6.137806366E1,9.161997528E0
2.199951042E0,1.199774556E2,-5.142062027E1,1.306557999E1
2.209949042E0,1.221395595E2,-4.265634567E1,1.726195358E1
2.219947042E0,1.344144836E2,-2.693483871E1,1.989572662E1
2.229945042E0,1.539674231E2,-8.177943878E0,3.210433868E1
2.239944042E0,1.528474521E2,9.260941772E0,3.843168091E1
2.249942042E0,1.343763130E2,2.360097153E1,2.785347839E1
2.259940042E0,1.096884517E2,3.356904282E1,1.337004684E1
2.269939042E0,1.000550844E2,3.777334991E1,4.251159668E0
2.279937042E0,1.012766940E2,4.103491745E1,3.243904266E0
2.289935042E0,8.242818970E1,4.237942154E1,4.254752197E0
2.299934042E0,6.154811005E1,3.889362030E1,2.574945374E0
2.309932042E0,5.181070908E1,3.895214859E1,-1.174008636E0
2.319930042E0,4.440336273E1,4.236130920E1,-9.818083191E-1
2.329929542E0,3.517999283E1,4.671440689E1,2.500699768E0
2.339927542E0,2.277648605E1,5.074791916E1,-1.833686829E-1
2.349925542E0,7.911497955E0,5.433865219E1,-9.530680847E0
2.359924542E0,-5.438490601E0,5.982055252E1,-1.990530670E1
2.369922542E0,-1.542153076E1,6.637407440E1,-2.429582657E1
2.379920542E0,-1.825947922E1,6.495457626E1,-1.326272003E1
2.389919542E0,-2.140324173E1,6.007143082E1,1.206670715E1
2.399917542E0,-2.291285248E1,5.872423233E1,4.227359161E1
2.409915542E0,-1.183947968E1,5.305237701E1,6.018160172E1
2.419914542E0,6.940616913E0,5.060242172E1,5.529501343E1
2.429912542E0,2.587025253E1,4.920193405E1,3.554837677E1
2.439910542E0,3.677133362E1,4.377706512E1,1.622685608E1
2.449909542E0,4.043197128E1,3.827495682E1,3.511697388E0
2.459907542E0,4.441024841E1,3.503599228E1,-1.767374725E0
2.469905542E0,5.207191589E1,3.476610352E1,-1.083446960E0
2.479904542E0,6.079891800E1,3.567441467E1,2.253563690E0
2.489902542E0,6.991451202E1,3.815655304E1,7.789651337E0
2.499900542E0,7.867564316E1,4.047418350E1,1.383572845E1
2.509899542E0,8.740429184E1,4.073673752E1,1.632325562E1
2.519897542E0,9.451360794E1,3.865381897E1,1.432401306E1
2.529895542E0,9.632289551E1,3.463722153E1,1.290960434E1
2.539894542E0,9.792800766E1,3.344539993E1,1.242401413E1
2.549892542E0,1.042776535E2,3.203069183E1,1.151884644E1
2.559890542E0,1.027551695E2,2.284219940E1,1.024589355E1
2.569889542E0,9.003716675E1,1.893876663E1,5.345533905E0
2.579887542E0,9.112720001E1,1.067445236E1,-2.150428162E0
2.589885542E0,8.152077667E1,-8.314609680E0,3.133284302E0
2.599883542E0,5.866570404E1,-2.881298309E1,1.691048447E1
2.609882542E0,4.377990921E1,-4.345358780E1,2.737986328E1
2.619880542E0,3.929912704E1,-5.847724594E1,2.811423615E1
2.629879542E0,3.481654861E1,-7.347351105E1,2.329755249E1
2.639877542E0,1.765189270E1,-8.421771835E1,1.378618149E1
2.649875542E0,2.155517578E-1,-9.365394562E1,-2.206262054E0
2.659874542E0,-5.795049133E0,-1.007059309E2,-8.781937866E0
2.669872542E0,-1.054107971E0,-1.043614792E2,-2.406994629E0
2.679870542E0,8.000263367E0,-1.048193770E2,6.725514221E-1
2.689869542E0,2.072185867E1,-1.011695169E2,2.479144592E0
2.699867542E0,4.102728333E1,-9.395526901E1,5.804329834E0
2.709865542E0,6.248156891E1,-8.390367142E1,8.666976929E0
2.719864542E0,7.623811203E1,-7.472266342E1,8.884624329E0
2.729862542E0,8.376251495E1,-6.900126114E1,8.941955109E0
2.739860542E0,9.411348999E1,-6.368386871E1,1.221415054E1
2.749859542E0,1.082237476E2,-5.560247406E1,1.631651962E1
2.759857542E0,1.141596538E2,-4.837535294E1,1.968271957E1
2.769855542E0,1.194544432E2,-4.004517563E1,2.351609802E1
2.779854542E0,1.400896321E2,-1.986504044E1,2.513962189E1
2.789852542E0,1.546498540E2,1.721270599E0,2.855956009E1
2.799850542E0,1.477753995E2,2.159080170E1,3.021930862E1
2.809849542E0,1.228390549E2,3.471940063E1,2.810226105E1
2.819847542E0,9.937235413E1,3.587514725E1,2.553001007E1
2.829845542E0,9.640133240E1,3.654994400E1,2.204390945E1
2.839843542E0,9.020721313E1,3.915033646E1,1.174921738E1
2.849842542E0,7.008051682E1,3.804578339E1,7.104226685E-1
2.859840542E0,5.891867798E1,3.882476349E1,-6.822961578E0
2.869838542E0,5.304144974E1,4.074811386E1,-1.011147308E1
2.879837542E0,3.841775986E1,4.174294510E1,-1.054467224E1
2.889835542E0,2.425181808E1,4.096276749E1,-1.565564392E1
2.899833542E0,1.375923752E1,4.174683701E1,-2.403970917E1
2.909832542E0,5.515879669E0,4.616534866E1,-2.881208496E1
2.919830542E0,-2.993924103E0,5.462874893E1,-2.663740723E1
2.929828542E0,-1.235575607E1,6.273963226E1,-1.310270279E1
2.939827542E0,-1.323607544E1,6.289710480E1,1.034798126E1
2.949825542E0,-1.068762497E1,5.980947556E1,3.907294739E1
2.959823542E0,-1.225845840E1,6.055776947E1,6.738821548E1
2.969821542E0,-6.774911499E0,5.528184082E1,7.658329422E1
2.979820542E0,5.935008087E0,5.064193954E1,6.253276245E1
2.989818542E0,2.067500610E1,4.542438950E1,3.975328262E1
2.999816542E0,2.926594116E1,3.798381226E1,1.630304764E1
3.009815542E0,3.285442886E1,3.234803192E1,-1.959125977E0
3.019813542E0,3.596990021E1,2.896282150E1,-1.163635208E1
3.029811542E0,4.117308014E1,2.844908981E1,-1.008303223E1
3.039810542E0,4.897141342E1,2.998788986E1,-3.279679871E0
3.049808542E0,5.502198120E1,3.306219681E1,5.078189850E0
3.059806542E0,6.285893417E1,3.679962479E1,1.500120483E1
3.069805542E0,7.210760147E1,3.994578232E1,1.837369171E1
3.079803542E0,8.137483017E1,4.241399963E1,1.818059326E1
3.089801542E0,8.873637177E1,4.275229614E1,1.934831497E1
3.099799542E0,9.615000504E1,4.338428192E1,1.991653336E1
3.109798542E0,1.060996646E2,4.218078461E1,1.832234848E1
3.119796542E0,1.097124019E2,3.409280365E1,1.512230301E1
3.129794542E0,1.035573514E2,2.852123978E1,8.283923492E0
3.139793542E0,1.051573741E2,2.139396103E1,-2.809657288E0
3.149791542E0,9.942294891E1,2.762655029E0,-3.743415527E0
3.159789542E0,7.351003510E1,-1.864432892E1,8.575666809E0
3.169788542E0,5.348752213E1,-3.602094406E1,2.262425262E1
3.179786542E0,4.689508118E1,-5.038237930E1,2.712853592E1
3.189784542E0,4.390265396E1,-6.777516083E1,2.317361023E1
3.199783542E0,3.315006409E1,-8.487859406E1,1.886601791E1
3.209781542E0,1.679297882E1,-9.871282562E1,7.493117981E0
3.219779542E0,-9.702822876E-1,-1.109123067E2,-4.048630829E0
3.229778542E0,-1.209784241E1,-1.196476913E2,-9.430389404E-2
3.239776542E0,-1.177466446E1,-1.243146863E2,4.596042480E0
3.249774542E0,3.332220612E0,-1.219055960E2,4.646786957E0
3.259773542E0,2.928674789E1,-1.122511226E2,4.436923370E0
3.269771542E0,5.885955093E1,-9.929975510E1,7.564818878E0
3.279769542E0,7.949114731E1,-8.639434204E1,1.183244431E1
