"Time (s)","X (hPa)"
-5.329544583E-1,9.642753601E2
5.001125417E-1,9.642488098E2
1.533178542E0,9.642221832E2
2.566226542E0,9.642039490E2
3.599241542E0,9.641952515E2
3.791142542E0,9.641656494E2
4.857522542E0,9.641412354E2
5.923918542E0,9.641259003E2
6.990324542E0,9.641130829E2
8.056700542E0,9.640949249E2
9.123058542E0,9.640879822E2
1.018942154E1,9.640667725E2
1.125578454E1,9.640659332E2
1.232212154E1,9.640566254E2
1.338843554E1,9.640452576E2
1.445474554E1,9.640404510E2
1.552105054E1,9.640377045E2
1.658735754E1,9.640338135E2
1.939887854E1,9.640482330E2
2.043184154E1,9.640498352E2
2.146481154E1,9.640482330E2
2.249771254E1,9.640242767E2
2.353064454E1,9.640135956E2
2.372271054E1,9.640135956E2
2.478891554E1,9.640135956E2
2.585518354E1,9.640157318E2
2.692144254E1,9.640157318E2
2.798770154E1,9.640344238E2
2.905393054E1,9.640499115E2
3.012017154E1,9.640580750E2
3.118643254E1,9.640788269E2
3.225264154E1,9.641032410E2
3.331887454E1,9.641171265E2
3.438511454E1,9.641461945E2
3.545133654E1,9.641780090E2
3.651758754E1,9.642015076E2
3.892934812E1,9.642460632E2
3.996214212E1,9.642411804E2
4.099490312E1,9.642363739E2
4.202767712E1,9.641749573E2
4.306046812E1,9.641666412E2
4.325281912E1,9.641283417E2
4.431896312E1,9.641232300E2
4.538508712E1,9.640950775E2
4.645121712E1,9.640760040E2
4.751733212E1,9.640755463E2
4.858342312E1,9.640525818E2
4.964951812E1,9.640525818E2
5.071565112E1,9.640515137E2
5.178180612E1,9.640433502E2
5.284793512E1,9.640373993E2
5.391402512E1,9.640295410E2
5.498008612E1,9.640110779E2
5.798816267E1,9.640309143E2
5.902085667E1,9.640289307E2
6.005355567E1,9.640269470E2
6.108628167E1,9.640125275E2
6.211894067E1,9.639707184E2
6.231131267E1,9.639353943E2
6.337733867E1,9.638941956E2
6.444332567E1,9.638940430E2
6.550933267E1,9.638570404E2
6.657534667E1,9.638570404E2
6.764139267E1,9.639009094E2
6.870742567E1,9.639503479E2
6.977347067E1,9.639904022E2
7.083952767E1,9.640335083E2
7.190554967E1,9.640812683E2
7.509999929E1,9.641697693E2
7.613264529E1,9.641670990E2
7.716529429E1,9.641644287E2
7.819790929E1,9.641259003E2
7.923052129E1,9.641066742E2
7.942305429E1,9.640741730E2
8.048904229E1,9.640671539E2
8.155501629E1,9.640385437E2
8.262096229E1,9.640255737E2
8.368694029E1,9.640084076E2
8.475287729E1,9.640009308E2
8.581881329E1,9.639873505E2
8.688476529E1,9.639842987E2
8.795067529E1,9.639734650E2
8.901657429E1,9.639681244E2
9.008247929E1,9.639681244E2
9.325823187E1,9.640126801E2
9.429086787E1,9.639976501E2
9.532349787E1,9.639826202E2
9.635615688E1,9.639484406E2
9.738880088E1,9.638968658E2
9.758125987E1,9.638717651E2
9.864715787E1,9.638717651E2
9.971306887E1,9.638726044E2
1.007789479E2,9.638793945E2
1.018448139E2,9.638933563E2
1.029107039E2,9.639501190E2
1.039765909E2,9.639611053E2
1.050424639E2,9.639791107E2
1.061083829E2,9.640020752E2
1.071743019E2,9.640273285E2
1.082401859E2,9.640476990E2
1.106411064E2,9.642194366E2
1.116736384E2,9.641995239E2
1.127061874E2,9.641795349E2
1.137387384E2,9.641078186E2
1.147713174E2,9.640817261E2
1.149639824E2,9.640692902E2
1.160298984E2,9.640692902E2
1.170958054E2,9.640583038E2
1.181616874E2,9.640541077E2
1.192275774E2,9.640484619E2
1.202935304E2,9.640346527E2
1.213594864E2,9.640205383E2
1.224253634E2,9.640061951E2
1.234912414E2,9.640060425E2
1.245570904E2,9.640060425E2
1.268001389E2,9.640359497E2
1.278326819E2,9.640335846E2
1.288652299E2,9.640312195E2
1.298977509E2,9.640310669E2
1.309302759E2,9.640154266E2
1.311229319E2,9.640145874E2
1.321887869E2,9.640055847E2
1.332546119E2,9.640026093E2
1.343204129E2,9.640007782E2
1.353862489E2,9.640007782E2
1.364520409E2,9.640154266E2
1.375178149E2,9.640351868E2
1.385836129E2,9.640531158E2
1.396494009E2,9.640636444E2
1.407152149E2,9.640699768E2
1.417810129E2,9.640851593E2
1.428468009E2,9.641089630E2
1.460732885E2,9.641851044E2
1.471058455E2,9.641685486E2
1.481383815E2,9.641520691E2
1.491708875E2,9.641256714E2
1.502034185E2,9.640695953E2
1.503960275E2,9.640695953E2
1.514618615E2,9.640731049E2
1.525276555E2,9.640731049E2
1.535934865E2,9.640652466E2
1.546593315E2,9.640631866E2
1.557251285E2,9.640631866E2
1.567909385E2,9.640374756E2
1.578567665E2,9.640172577E2
1.589226025E2,9.640109253E2
