"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.813416669E-3,-1.769401312E0,-1.109439611E0,-7.555922270E-1
1.781141667E-2,-2.006079197E0,-6.360396743E-1,-4.318872392E-1
2.780941666E-2,-1.889778376E0,-6.500926018E-1,-1.219488233E-1
3.780841667E-2,-1.728721857E0,-3.602786958E-1,-3.238193691E-1
4.780641667E-2,-1.282059431E0,-4.206736088E-1,-4.937894940E-1
5.780441667E-2,-9.475657940E-1,-6.955282092E-1,-7.997804284E-1
6.780341666E-2,-7.540658116E-1,-8.673817515E-1,-1.044189095E0
7.780141666E-2,-7.129877210E-1,-9.944931269E-1,-1.086970568E0
8.780041667E-2,-8.061403036E-1,-9.917922020E-1,-7.882182002E-1
9.779841667E-2,-9.755833149E-1,-9.849187136E-1,-1.670919061E-1
1.077964167E-1,-1.196072102E0,-4.551515579E-1,3.597311378E-1
1.177954167E-1,-1.062006712E0,3.407013416E-1,7.034035921E-1
1.277934167E-1,-8.919224739E-1,8.601357341E-1,7.311577201E-1
1.377914167E-1,-6.406204104E-1,1.323937774E0,5.482107401E-1
1.477904167E-1,-3.740795851E-1,1.547681689E0,3.708940446E-1
1.577884167E-1,-1.330511868E-1,5.888230801E-1,1.899729818E-1
1.677874167E-1,1.852748692E-1,-4.762692750E-1,-2.235014141E-1
1.777854167E-1,9.003918171E-1,-1.296698093E0,-4.490478635E-1
1.877834167E-1,1.493243933E0,-2.045307159E0,-2.848245502E-1
1.977824167E-1,1.523345113E0,-2.531399488E0,9.495642781E-1
2.077804167E-1,1.297364950E0,-3.492243767E0,1.111287713E0
2.177784167E-1,6.535018086E-1,-3.101720810E0,9.867437929E-2
2.277774167E-1,1.370589733E-1,-2.657166004E0,8.879396915E-1
2.377754167E-1,-2.735163569E-1,-2.279181242E0,2.054042578E0
2.477744167E-1,-4.680283070E-1,-2.698865414E0,3.052480221E0
2.577724167E-1,-3.679800630E-1,-2.227308273E0,2.428924561E0
2.677704167E-1,-5.698277801E-2,-1.852278590E0,5.253294110E-1
2.777694167E-1,7.427194118E-1,-4.084549427E0,4.050889015E-1
2.877674167E-1,1.511754394E0,-5.655528545E0,8.537111282E-1
2.977654167E-1,2.323566675E0,-6.729524136E0,9.137738347E-1
3.077644167E-1,3.445428133E0,-7.429453850E0,5.707101822E-1
3.177624167E-1,4.396244526E0,-8.492262840E0,9.834518433E-1
3.277616667E-1,5.124803066E0,-9.225348473E0,1.729530931E0
3.377596667E-1,5.360642433E0,-1.000374222E1,2.510400295E0
3.477576667E-1,5.151340961E0,-1.036822891E1,3.362896919E0
3.577566667E-1,4.610977173E0,-1.000559902E1,4.154827118E0
3.677546667E-1,3.764898300E0,-9.019687653E0,4.608343601E0
3.777526667E-1,2.424081087E0,-7.712595940E0,4.697823048E0
3.877516667E-1,5.150528550E-1,-6.394164085E0,4.557054996E0
3.977496667E-1,-1.646420121E0,-5.177543163E0,4.374281883E0
4.077486667E-1,-3.580946207E0,-3.978018284E0,4.395438671E0
4.177466667E-1,-4.925341606E0,-2.804166794E0,4.859430790E0
4.277446667E-1,-5.675874710E0,-2.206283092E0,5.525137901E0
4.377436667E-1,-5.932962894E0,-2.346600294E0,5.915121078E0
4.477416667E-1,-5.753072739E0,-3.075358868E0,6.016057014E0
4.577396667E-1,-5.219367027E0,-4.225187302E0,5.967595100E0
4.677386667E-1,-4.374278545E0,-4.965347290E0,5.935143471E0
4.777366667E-1,-3.666924715E0,-5.414410591E0,6.077172756E0
4.877346667E-1,-3.226664782E0,-5.362172127E0,6.254778385E0
4.977336667E-1,-3.161963940E0,-4.202912807E0,6.579593182E0
5.077316667E-1,-3.356004477E0,-3.049784184E0,7.033979416E0
5.177306667E-1,-3.666467667E0,-2.039751291E0,7.656713486E0
5.277286667E-1,-3.858987808E0,-1.551202774E0,7.951422691E0
5.377266667E-1,-3.160424709E0,-1.518444777E0,7.646158695E0
5.477256667E-1,-1.167369485E0,-2.034274101E0,6.713620663E0
5.577236667E-1,1.604296088E0,-2.906950235E0,5.207548141E0
5.677216667E-1,4.074101448E0,-3.359548330E0,3.785129547E0
5.777206667E-1,5.319158554E0,-2.890411854E0,2.612752914E0
5.877186667E-1,5.098852158E0,-1.763284802E0,1.560382485E0
5.977176667E-1,3.913593769E0,-6.143398881E-1,7.094120383E-1
6.077156667E-1,2.441376925E0,8.695191145E-2,1.433403939E-1
6.177136667E-1,8.712421060E-1,4.790309370E-1,-3.540558219E-1
6.277126667E-1,-3.629143834E-1,6.559162140E-1,-8.567175865E-1
6.377106667E-1,-9.691724181E-1,7.416199446E-1,-1.274145007E0
6.477086667E-1,-7.907531261E-1,8.688614964E-1,-1.652208686E0
6.577076667E-1,-2.112267166E-1,1.134219170E0,-2.136452913E0
6.677056667E-1,2.217228562E-1,1.095886946E0,-2.877897263E0
6.777036667E-1,1.665156633E-1,5.172651410E-1,-3.683078289E0
6.877026667E-1,-6.074948311E-1,-3.863056898E-1,-4.372982025E0
6.977006667E-1,-1.959315538E0,-1.049870610E0,-4.731516838E0
7.076986667E-1,-3.305208445E0,-6.026472449E-1,-4.993604660E0
7.176976667E-1,-3.790399790E0,7.242077589E-1,-5.419628143E0
7.276956667E-1,-3.054184198E0,2.226045609E0,-6.005943775E0
7.376946667E-1,-1.516204476E0,3.032158852E0,-6.590256691E0
7.476926667E-1,-3.930650279E-2,3.100800991E0,-7.735055923E0
7.576906667E-1,9.835962653E-1,2.513920784E0,-9.319596291E0
7.676896667E-1,8.270450234E-1,2.190542221E0,-1.061690903E1
7.776876667E-1,-5.400595665E-1,3.054838419E0,-1.138887119E1
7.876856667E-1,-2.171841621E0,5.123329163E0,-1.184419632E1
7.976846667E-1,-2.833864689E0,7.006240368E0,-1.212195492E1
8.076826667E-1,-2.015741825E0,7.693523407E0,-1.263970566E1
8.176806667E-1,-5.926822498E-2,7.474369526E0,-1.345667744E1
8.276796667E-1,2.387877941E0,7.277608395E0,-1.421429443E1
8.376776667E-1,4.650638103E0,6.907983303E0,-1.454158401E1
8.476756667E-1,6.584530354E0,6.396661282E0,-1.409233284E1
8.576746667E-1,7.321631908E0,5.499344826E0,-1.375143909E1
8.676726667E-1,5.914764881E0,4.811295033E0,-1.418525791E1
8.776716667E-1,3.807661057E0,5.143387794E0,-1.410131168E1
8.876696667E-1,3.029788971E0,5.505315781E0,-1.266828632E1
8.976676667E-1,3.784810305E0,5.318597794E0,-1.087908745E1
9.076666667E-1,5.327565670E0,4.377222061E0,-9.155117035E0
9.176646667E-1,6.156931877E0,2.978313446E0,-7.313676357E0
9.276626667E-1,5.221717834E0,1.807281494E0,-5.075306892E0
9.376616667E-1,3.103566408E0,2.142055750E0,-2.844645500E0
9.476596667E-1,1.883415937E0,4.266659260E0,-6.882501841E-1
9.576576667E-1,1.604934573E0,5.509110928E0,1.094378233E0
9.676566667E-1,1.455222845E0,3.932482004E0,2.570775747E0
9.776546667E-1,1.327254772E0,1.984284997E0,4.118554115E0
9.876536667E-1,1.070235252E0,1.429136515E0,5.826121330E0
9.976516667E-1,1.983113885E-1,1.609502554E0,7.228221416E0
1.007649667E0,-1.516061783E0,1.331463218E0,8.374636650E0
1.017648667E0,-3.746464729E0,6.197356582E-1,9.688327789E0
1.027646667E0,-5.719747543E0,5.183466896E-2,1.122913265E1
1.037644667E0,-6.706927776E0,-5.108461380E-1,1.273720455E1
1.047643667E0,-6.739463329E0,-1.078359604E0,1.362661171E1
1.057641667E0,-6.191030025E0,-1.689286351E0,1.341549206E1
1.067640667E0,-5.489061356E0,-2.493706703E0,1.259940624E1
1.077638667E0,-4.926832676E0,-3.421386003E0,1.188198662E1
1.087636667E0,-4.520593166E0,-3.887537003E0,1.111244488E1
1.097635667E0,-4.253403187E0,-3.950752735E0,1.099065685E1
1.107633667E0,-4.058467388E0,-3.412259340E0,1.189410591E1
1.117631667E0,-4.151245117E0,-3.032448769E0,1.390333652E1
1.127630667E0,-4.924960613E0,-3.211325169E0,1.584554386E1
1.137628667E0,-5.165135384E0,-3.215725660E0,1.513323307E1
1.147626667E0,-4.212248325E0,-1.390583754E0,1.193893623E1
1.157625667E0,-2.497510672E0,2.929457650E-2,8.877914429E0
1.167623667E0,-3.848294914E-1,-4.291883111E-1,7.758873940E0
1.177621667E0,6.757991910E-1,-7.635516524E-1,6.971071243E0
1.187620667E0,8.422126770E-1,1.084099412E-1,5.083895206E0
1.197618667E0,8.478794098E-1,6.821933985E-1,3.499185562E0
1.207617667E0,1.112512112E0,4.619156122E-1,2.819252968E0
1.217615667E0,1.107958674E0,3.531680107E-1,2.514441967E0
1.227613667E0,5.920896530E-1,9.757708311E-1,1.985681891E0
1.237612667E0,5.031883717E-2,1.194058061E0,1.254630327E0
1.247610667E0,-3.549844325E-1,6.354876161E-1,9.262996316E-1
1.257608667E0,-1.040122986E0,3.809937537E-1,-1.133557111E-1
1.267607667E0,-2.116123199E0,1.370897442E-1,-1.692224383E0
1.277605667E0,-3.700454712E0,-8.972695470E-2,-3.148885489E0
1.287603667E0,-4.873893261E0,-9.541600198E-2,-4.584132195E0
1.297602667E0,-5.180880547E0,-1.524740010E-1,-5.545696259E0
1.307600667E0,-4.954183102E0,2.775010094E-2,-5.924138069E0
1.317598667E0,-4.286925793E0,9.437418580E-1,-6.155866146E0
1.327597042E0,-3.068653584E0,2.559161186E0,-6.800935745E0
1.337595042E0,-1.391095400E0,3.749180555E0,-7.859604359E0
1.347593042E0,2.629835308E-1,4.019458294E0,-8.680119514E0
1.357592042E0,1.431786537E0,3.986613989E0,-9.475590706E0
1.367590042E0,1.409508586E0,4.211154461E0,-1.020931244E1
1.377588042E0,6.770955920E-1,4.891673088E0,-1.115547276E1
1.387587042E0,2.550897896E-1,5.458224297E0,-1.234916115E1
1.397585042E0,9.141420126E-1,5.623942852E0,-1.330878448E1
1.407583042E0,2.677754164E0,5.905274391E0,-1.412461567E1
1.417582042E0,4.853110790E0,5.711810112E0,-1.533425236E1
1.427580042E0,6.457551956E0,4.735425949E0,-1.630984306E1
1.437578042E0,6.610450745E0,3.554324627E0,-1.677890778E1
1.447577042E0,5.451837063E0,3.153981686E0,-1.694206238E1
1.457575042E0,4.523721218E0,3.530236006E0,-1.649090767E1
1.467573042E0,4.753189087E0,3.318157911E0,-1.521159363E1
1.477572042E0,4.461010933E0,2.669699907E0,-1.371223831E1
1.487570042E0,3.370157003E0,2.785750628E0,-1.263689518E1
1.497568042E0,2.608680248E0,2.924671173E0,-1.095166588E1
1.507567042E0,2.128412485E0,2.653515100E0,-8.347477913E0
1.517565042E0,9.668474197E-1,2.893629074E0,-4.943700314E0
1.527564042E0,-2.377147377E-1,4.727075577E0,-1.799058557E0
1.537562042E0,4.732678235E-1,5.206359386E0,7.227979302E-1
1.547560042E0,1.800018191E0,3.211857080E0,3.092546225E0
1.557559042E0,2.119488955E0,2.045866728E0,5.709660053E0
1.567557042E0,9.590681195E-1,2.795385599E0,8.090094566E0
1.577555042E0,-1.113157988E0,3.710616589E0,9.807847023E0
1.587554042E0,-3.343826771E0,3.369809151E0,1.224366474E1
1.597552042E0,-5.165801525E0,2.012457371E0,1.544712925E1
1.607550042E0,-5.939304829E0,1.194521070E0,1.783487129E1
1.617549042E0,-5.904079437E0,6.360226870E-1,1.881246185E1
1.627547042E0,-5.499807835E0,-2.511937320E-1,1.785521889E1
1.637546042E0,-4.977397442E0,-1.520569444E0,1.594262218E1
1.647544042E0,-4.541095734E0,-2.356150389E0,1.456568623E1
1.657542042E0,-4.043073654E0,-3.042266369E0,1.521145916E1
1.667541042E0,-3.906288385E0,-3.153918743E0,1.809903145E1
1.677539042E0,-4.167535782E0,-2.884222507E0,1.970979309E1
1.687537042E0,-3.626328945E0,-1.440749288E0,1.702741814E1
1.697536042E0,-1.972332120E0,3.286446035E-1,1.316761780E1
1.707534042E0,6.990917027E-2,2.789345682E-1,1.127092934E1
1.717532042E0,1.556917906E0,4.208612442E-1,1.029601002E1
1.727531042E0,1.749599934E0,1.243801713E0,7.819809437E0
1.737529042E0,7.645602822E-1,2.365291119E0,4.480833054E0
1.747527042E0,-2.839861810E-1,2.576216698E0,3.102781773E0
1.757526042E0,-8.982100487E-1,1.660522819E0,2.587304831E0
1.767524042E0,-1.901741624E0,2.512113154E-1,1.972272754E0
1.777522042E0,-3.513419867E0,-5.830979943E-1,1.323656321E0
1.787521042E0,-4.900038719E0,-8.570973277E-1,2.504812479E-1
1.797519042E0,-5.249740601E0,-7.027710676E-1,-9.462178349E-1
1.807517042E0,-4.171270370E0,-4.848155975E-1,-1.518967628E0
1.817516042E0,-2.752929688E0,-7.133980989E-1,-1.843968153E0
1.827514042E0,-2.906870365E0,-1.196112037E0,-2.503076553E0
1.837512042E0,-4.733371258E0,-8.158763647E-1,-3.444895744E0
1.847511042E0,-5.751152039E0,1.139242724E-1,-4.852533340E0
1.857509042E0,-4.172227859E0,1.103308201E0,-5.894483566E0
1.867507042E0,-8.555186987E-1,2.186418533E0,-6.705185890E0
1.877506042E0,2.256613493E0,2.381504536E0,-7.789412498E0
1.887504042E0,3.629323483E0,2.253938437E0,-9.201938629E0
1.897502042E0,3.187777519E0,2.474760771E0,-1.089115238E1
1.907501042E0,1.716719747E0,2.977694511E0,-1.197082996E1
1.917499042E0,3.756248355E-1,3.475351095E0,-1.238228989E1
1.927497042E0,-3.264706954E-2,3.783837318E0,-1.315547848E1
1.937496042E0,6.509894729E-1,3.739787340E0,-1.401519871E1
1.947494042E0,2.180279255E0,3.243157864E0,-1.470541286E1
1.957492042E0,3.668013096E0,2.729071856E0,-1.556754208E1
1.967491042E0,4.185270786E0,2.214741468E0,-1.652680016E1
1.977489042E0,3.817383289E0,1.883216619E0,-1.699697685E1
1.987487042E0,3.363349915E0,1.918721795E0,-1.673417664E1
1.997486042E0,3.484781265E0,1.764338613E0,-1.630526352E1
2.007484042E0,4.165483952E0,1.345011711E0,-1.534817600E1
2.017482042E0,3.955499649E0,8.901321888E-1,-1.377190876E1
2.027481042E0,2.003606319E0,1.111300707E0,-1.286160183E1
2.037479042E0,1.049544737E-1,1.941320896E0,-1.194826508E1
2.047477042E0,-3.886523247E-1,2.680157423E0,-9.970146179E0
2.057476042E0,4.498621821E-1,3.021544218E0,-7.674150944E0
2.067474042E0,1.614850044E0,3.662930489E0,-5.473995209E0
2.077472042E0,2.310813904E0,4.307392597E0,-2.698142052E0
2.087471042E0,2.053426266E0,3.797147989E0,6.902170777E-1
2.097469042E0,5.067077279E-1,2.708409071E0,4.747819424E0
2.107467042E0,-1.361011028E0,3.028131723E0,8.621884346E0
2.117466042E0,-2.847403526E0,3.339370012E0,1.204024220E1
2.127464042E0,-3.507245064E0,2.603734493E0,1.535364628E1
2.137462042E0,-3.472670317E0,1.429573059E0,1.792332268E1
2.147461042E0,-3.091002941E0,6.517648697E-1,1.920308495E1
2.157459042E0,-3.101886511E0,4.872825462E-3,1.938168335E1
2.167457042E0,-3.589838982E0,-3.314359486E-1,1.893677521E1
2.177456042E0,-4.355131149E0,-4.295712411E-1,1.791406059E1
2.187454042E0,-5.113017082E0,-7.843692899E-1,1.658140564E1
2.197453042E0,-5.527280807E0,-7.786232233E-1,1.650417137E1
2.207451042E0,-6.068418503E0,-1.029097795E0,1.812668228E1
2.217449042E0,-5.058038235E0,-2.998108625E0,1.799462891E1
2.227447042E0,-2.233704567E0,-2.786370277E0,1.597428226E1
2.237446042E0,2.924229503E-1,-7.232235074E-1,1.312896442E1
2.247444042E0,1.614905119E0,-3.975972533E-2,1.073324966E1
2.257442042E0,1.102231383E0,5.373893976E-1,9.404655457E0
2.267441042E0,-4.369692504E-1,1.300555706E0,7.928663254E0
2.277439042E0,-1.637651324E0,2.187753201E0,5.362448215E0
2.287437042E0,-1.962725282E0,2.055129528E0,4.130476475E0
2.297436042E0,-2.155742884E0,1.549292684E0,3.772813797E0
2.307434042E0,-2.844818354E0,1.310545087E0,3.103637695E0
2.317432042E0,-3.414226770E0,1.439860702E0,2.066818714E0
2.327431542E0,-3.170301676E0,1.936025500E0,9.042888880E-1
2.337429542E0,-2.707486629E0,2.001052380E0,-1.080514863E-1
2.347427542E0,-2.874168634E0,1.571584940E0,-7.891080379E-1
2.357426542E0,-4.247493267E0,8.328263164E-1,-1.578666329E0
2.367424542E0,-6.510894299E0,-2.994949222E-1,-2.842994452E0
2.377422542E0,-8.257905006E0,-7.629052401E-1,-4.064772129E0
2.387421542E0,-7.855372906E0,-1.701500714E-1,-4.861069202E0
2.397419542E0,-4.197805405E0,6.470331550E-1,-5.245222092E0
2.407417542E0,9.200009704E-1,1.905597329E0,-5.498414993E0
2.417416542E0,4.681334972E0,2.747595787E0,-6.587252617E0
2.427414542E0,5.846994877E0,3.332384348E0,-8.286049843E0
2.437412542E0,5.120760441E0,3.909012556E0,-9.644463539E0
2.447411542E0,3.767566681E0,4.114696980E0,-1.045584679E1
2.457409542E0,2.656395674E0,3.840025663E0,-1.105828571E1
2.467407542E0,1.947776794E0,3.471871853E0,-1.174014378E1
2.477406542E0,1.595012307E0,3.098065138E0,-1.241147614E1
2.487404542E0,1.972530007E0,2.768752337E0,-1.317575169E1
2.497402542E0,2.967514515E0,2.566811800E0,-1.393842220E1
2.507401542E0,3.969032049E0,2.288162231E0,-1.488167000E1
2.517399542E0,4.423587799E0,1.870315313E0,-1.588888931E1
2.527397542E0,4.616403580E0,1.624656320E0,-1.610561371E1
2.537396542E0,4.795928001E0,1.497775912E0,-1.586708450E1
2.547394542E0,5.199298382E0,1.078446865E0,-1.561714745E1
2.557392542E0,5.310195446E0,4.348684549E-1,-1.428814507E1
2.567391542E0,3.617078781E0,2.852129042E-1,-1.307836819E1
2.577389542E0,2.023391612E-2,1.326804042E0,-1.337221336E1
2.587387542E0,-2.323148012E0,3.055761814E0,-1.276224327E1
2.597385542E0,-1.843613744E0,3.916514158E0,-1.063794136E1
2.607384542E0,8.327901959E-1,3.664427280E0,-8.189491272E0
2.617382542E0,2.850681543E0,3.310061693E0,-6.098887920E0
2.627381542E0,3.807163000E0,3.936920404E0,-4.270077229E0
2.637379542E0,3.553046227E0,4.354520321E0,-1.578260422E0
2.647377542E0,1.171497941E0,3.428988218E0,2.272578239E0
2.657376542E0,-1.661004424E0,3.700308084E0,6.260406971E0
2.667374542E0,-3.431485891E0,4.357952118E0,9.989693642E0
2.677372542E0,-4.131436348E0,3.329901934E0,1.326948166E1
2.687371542E0,-3.998638868E0,1.293527365E0,1.581437969E1
2.697369542E0,-3.669979572E0,-3.492094874E-1,1.713731575E1
2.707367542E0,-3.737684965E0,-1.081783295E0,1.736215210E1
2.717366542E0,-4.349295616E0,-1.537608027E0,1.729712868E1
2.727364542E0,-5.086139679E0,-1.971335411E0,1.736598396E1
2.737362542E0,-5.493640900E0,-1.972752571E0,1.702773476E1
2.747361542E0,-5.622752666E0,-1.742645144E0,1.613732147E1
2.757359542E0,-5.188585758E0,-2.500049591E0,1.698133659E1
2.767357542E0,-4.399783134E0,-3.098229170E0,1.864385223E1
2.777356542E0,-3.691964149E0,-2.881608486E0,1.755560493E1
2.787354542E0,-3.057021379E0,-1.112380862E0,1.499719524E1
2.797352542E0,-2.186896801E0,7.875991985E-3,1.162018871E1
2.807351542E0,-8.837135434E-1,-9.475105256E-2,9.532181740E0
2.817349542E0,4.269705117E-1,5.359707475E-1,8.593889236E0
2.827347542E0,1.374216199E0,1.431582212E0,6.927962780E0
2.837345542E0,1.355056167E0,1.649002314E0,5.202653885E0
2.847344542E0,3.401167691E-1,1.752782226E0,4.586932659E0
2.857342542E0,-1.293092608E0,1.853377938E0,3.674419403E0
2.867340542E0,-2.582123756E0,2.184478998E0,2.368453503E0
2.877339542E0,-2.747649193E0,1.950090408E0,1.603127599E0
2.887337542E0,-2.574539423E0,6.880462766E-1,1.288032532E0
2.897335542E0,-3.287421942E0,-8.886635900E-1,1.149847031E0
2.907334542E0,-5.351816654E0,-1.591186643E0,7.835028172E-1
2.917332542E0,-8.261878967E0,-1.439381003E0,-2.778285146E-1
2.927330542E0,-1.033174324E1,-1.314138412E0,-1.664680600E0
2.937329542E0,-1.053260136E1,-1.267144799E0,-3.135336399E0
2.947327542E0,-7.822639942E0,-6.481146216E-1,-4.350067139E0
2.957325542E0,-2.436631441E0,4.321473837E-1,-5.115561008E0
2.967323542E0,2.748797655E0,2.586015463E0,-5.507241249E0
2.977322542E0,6.054432869E0,4.245665550E0,-6.523343563E0
2.987320542E0,7.379899025E0,4.994532585E0,-7.920039654E0
2.997318542E0,6.991515636E0,4.665731430E0,-9.102709770E0
3.007317542E0,5.263729572E0,3.895701408E0,-9.955296516E0
3.017315542E0,2.893388987E0,3.306107283E0,-1.045204353E1
3.027313542E0,1.204942942E0,3.330311060E0,-1.076613140E1
3.037312542E0,5.306010246E-1,3.072954893E0,-1.123478127E1
3.047310542E0,1.117030501E0,2.448964357E0,-1.157716084E1
3.057308542E0,2.413371325E0,2.171007872E0,-1.200674725E1
3.067307542E0,3.350610495E0,2.102928877E0,-1.265890312E1
3.077305542E0,3.865498543E0,2.183733940E0,-1.339269829E1
3.087303542E0,4.373573303E0,2.286954641E0,-1.367911148E1
3.097301542E0,4.973456383E0,2.240790367E0,-1.361704254E1
3.107300542E0,5.656551838E0,1.790756345E0,-1.368108177E1
3.117298542E0,6.298097134E0,1.067561865E0,-1.305781269E1
3.127296542E0,5.723942280E0,-1.957453638E-1,-1.266792202E1
