"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.813416669E-3,-2.541670916E0,7.917895979E-1,-4.752114606E0
1.781141667E-2,-3.316336358E0,8.474964599E-1,-3.024693906E0
2.780941666E-2,-1.934464467E0,4.965731813E-1,-1.671722463E0
3.780841667E-2,-1.181919042E0,1.012172033E0,-3.299174488E-1
4.780641667E-2,-5.748623557E-1,2.417229741E0,7.712185085E-2
5.780441667E-2,3.136567075E-2,2.969151497E0,2.490030938E-1
6.780341666E-2,-2.144191521E-1,3.332640442E0,-5.706882477E-3
7.780141666E-2,-9.270710716E-1,3.031020301E0,-6.828249800E-1
8.780041667E-2,-1.771125129E0,2.350296518E0,-1.329873186E0
9.779841667E-2,-2.809934153E0,1.486434140E0,-1.591606253E0
1.077964167E-1,-2.957280479E0,1.032858166E0,-4.460554308E-1
1.177954167E-1,-2.498102143E0,1.522741256E0,1.503834284E0
1.277934167E-1,-9.815398588E-1,1.930027016E0,2.636390839E0
1.377914167E-1,2.699949269E-1,2.250367748E0,3.188833435E0
1.477904167E-1,5.925406447E-1,2.374252560E0,2.818602358E0
1.577884167E-1,9.354650420E-1,1.849520650E0,2.083002164E0
1.677874167E-1,3.284760516E0,8.013289648E-1,1.583642930E0
1.777854167E-1,1.634901523E0,6.948912942E-1,2.736900968E0
1.877834167E-1,-4.840977082E-1,4.845597844E-1,3.622997968E0
1.977824167E-1,-6.151883070E0,1.238048073E0,1.271105161E0
2.077804167E-1,-3.053780003E0,1.477928341E0,-5.749175388E-1
2.177784167E-1,5.394050007E0,1.015539298E0,3.217642082E0
2.277774167E-1,1.052799949E0,2.408940582E0,2.480689427E0
2.377754167E-1,3.248496670E-1,2.165010679E0,2.304983520E0
2.477744167E-1,5.706376108E0,-1.450110944E-1,1.979887685E0
2.577724167E-1,3.278937859E0,-1.154806819E0,1.671754038E0
2.677704167E-1,-3.242403286E0,5.478855684E-1,1.700611802E0
2.777694167E-1,-1.392447165E-1,-1.144649474E-1,-9.789484459E-1
2.877674167E-1,5.376522394E0,-4.490138880E0,-3.477158470E0
2.977654167E-1,2.367911255E0,-4.251718662E0,-5.195448743E0
3.077644167E-1,3.972101301E-1,-4.073938748E0,-5.606540163E0
3.177624167E-1,1.180145289E0,-6.620331582E0,-4.283481907E0
3.277616667E-1,2.300616235E-1,-1.118703683E1,-4.744920192E0
3.377596667E-1,-7.267691445E-1,-1.334306545E1,-6.221773084E0
3.477576667E-1,-8.858993644E-1,-1.469318053E1,-8.078362872E0
3.577566667E-1,-7.096847498E-1,-1.620777428E1,-8.536078820E0
3.677546667E-1,3.908191234E-1,-1.669259967E1,-8.629689234E0
3.777526667E-1,2.119024521E0,-1.592132971E1,-9.125067099E0
3.877516667E-1,3.860654540E0,-1.600169618E1,-1.171966087E1
3.977496667E-1,4.691576044E0,-1.666294493E1,-1.269801933E1
4.077486667E-1,4.396011572E0,-1.835777442E1,-1.178444217E1
4.177466667E-1,1.964280297E0,-2.042220524E1,-8.347815433E0
4.277446667E-1,-7.545539439E-2,-2.215167130E1,-5.352133657E0
4.377436667E-1,1.351353518E0,-2.248097947E1,-4.472300779E0
4.477416667E-1,5.640084470E0,-2.248889192E1,-3.565604623E0
4.577396667E-1,9.980263903E0,-2.236749905E1,-2.920814611E0
4.677386667E-1,1.446468421E1,-2.152457847E1,1.318535435E-1
4.777366667E-1,1.919401514E1,-2.263020743E1,1.565186194E0
4.877346667E-1,2.271181117E1,-2.159941348E1,2.746108578E0
4.977336667E-1,2.588243345E1,-2.068876811E1,6.153683428E0
5.077316667E-1,2.827232147E1,-1.920614343E1,7.331942990E0
5.177306667E-1,3.164586318E1,-1.619753580E1,7.634067453E0
5.277286667E-1,3.694149695E1,-1.062491709E1,9.204402705E0
5.377266667E-1,4.528986611E1,-2.882474418E0,1.274330602E1
5.477256667E-1,5.205787790E1,6.148060745E0,2.053348711E1
5.577236667E-1,5.521489722E1,1.565711976E1,2.592793882E1
5.677216667E-1,5.193043199E1,2.349306701E1,2.707135951E1
5.777206667E-1,4.460996123E1,2.833443527E1,2.253376579E1
5.877186667E-1,3.717745315E1,3.084456777E1,1.508157014E1
5.977176667E-1,2.919583539E1,3.197500061E1,7.248212031E0
6.077156667E-1,2.137567562E1,3.152756232E1,2.246516626E0
6.177136667E-1,1.495338513E1,3.100765831E1,-2.025034037E-1
6.277126667E-1,9.199843047E0,3.073680358E1,3.000545490E-1
6.377106667E-1,3.106720401E0,3.173701426E1,3.337863175E0
6.477086667E-1,-2.322387173E0,3.310685550E1,7.450720990E0
6.577076667E-1,-5.705099661E0,3.524857365E1,9.877950493E0
6.677056667E-1,-6.876322099E0,3.850211647E1,8.106380975E0
6.777036667E-1,-8.025034511E0,4.135512033E1,3.367955285E0
6.877026667E-1,-1.118265726E1,4.325768736E1,-4.867257392E-1
6.977006667E-1,-1.508661628E1,4.433623202E1,-1.793048680E-1
7.076986667E-1,-1.539214967E1,4.330322548E1,6.033951162E0
7.176976667E-1,-1.047151890E1,4.155168034E1,1.577601821E1
7.276956667E-1,-3.125244380E0,3.994394863E1,2.448176101E1
7.376946667E-1,4.595910918E0,3.993493456E1,2.849287610E1
7.476926667E-1,1.708718966E1,4.111883669E1,2.628717070E1
7.576906667E-1,3.160895790E1,4.268731253E1,2.224409941E1
7.676896667E-1,4.082437559E1,4.279080357E1,1.812185447E1
7.776876667E-1,4.616842196E1,4.013245351E1,1.432770850E1
7.876856667E-1,5.338230499E1,3.720726460E1,1.265931778E1
7.976846667E-1,6.282342052E1,3.557384958E1,1.383710723E1
8.076826667E-1,7.472117121E1,3.475577499E1,1.703992896E1
8.176806667E-1,8.801855822E1,3.316535573E1,2.115931928E1
8.276796667E-1,9.865252913E1,2.838699472E1,2.399367053E1
8.376776667E-1,1.025988384E2,2.193168034E1,2.270386831E1
8.476756667E-1,1.038159199E2,1.491562499E1,1.766065183E1
8.576746667E-1,1.078482347E2,1.007285105E1,9.701934099E0
8.676726667E-1,1.123864318E2,3.532132237E0,-2.506039445E0
8.776716667E-1,1.042845485E2,-9.537186459E0,-1.000678804E1
8.876696667E-1,8.280207470E1,-2.202831610E1,-4.773237673E0
8.976676667E-1,6.622021311E1,-3.381694371E1,2.708991623E0
9.076666667E-1,5.220568615E1,-4.068458971E1,7.407415341E0
9.176646667E-1,3.852677067E1,-4.504773993E1,6.472780019E0
9.276626667E-1,2.696375203E1,-4.963822522E1,2.218470748E0
9.376616667E-1,2.139418088E1,-5.458358972E1,1.496897732E0
9.476596667E-1,1.778983086E1,-5.839509490E1,9.352509170E0
9.576576667E-1,1.408781829E1,-6.301228091E1,1.393604095E1
9.676566667E-1,1.225081960E1,-6.825021669E1,8.114100469E0
9.776546667E-1,9.200012616E0,-7.145599711E1,4.762856234E0
9.876536667E-1,6.130562952E0,-7.043702389E1,7.093392963E0
9.976516667E-1,6.966596092E0,-6.983780123E1,5.848730081E0
1.007649667E0,6.194259596E0,-6.659710592E1,1.640705323E-1
1.017648667E0,4.290904655E0,-6.510652903E1,-5.224050983E0
1.027646667E0,3.799003545E0,-6.519450857E1,-4.497376564E0
1.037644667E0,7.595082897E0,-6.608118971E1,1.201778087E0
1.047643667E0,1.691251228E1,-6.591565269E1,7.214056106E0
1.057641667E0,2.997391969E1,-6.134649805E1,1.060319585E1
1.067640667E0,3.989856488E1,-5.412482653E1,1.068916045E1
1.077638667E0,4.469867519E1,-4.807609712E1,8.565352321E0
1.087636667E0,4.999948959E1,-4.348876465E1,7.384283171E0
1.097635667E0,5.497625597E1,-3.907727433E1,7.068738763E0
1.107633667E0,5.591066442E1,-3.797641202E1,8.504866968E0
1.117631667E0,6.036019907E1,-3.509327160E1,1.004975689E1
1.127630667E0,6.927049034E1,-2.531726264E1,9.509951298E0
1.137628667E0,9.283781465E1,-5.736733682E0,1.352907942E1
1.147626667E0,1.139421374E2,1.566644256E1,2.565028730E1
1.157625667E0,1.111502275E2,3.190923581E1,3.244081086E1
1.167623667E0,8.575460052E1,4.000264532E1,3.021692764E1
1.177621667E0,7.007034266E1,3.960163859E1,2.339422801E1
1.187620667E0,6.696142020E1,4.410467292E1,1.741681826E1
1.197618667E0,5.502212621E1,4.770155255E1,1.380465752E1
1.207617667E0,3.688940060E1,4.336252092E1,1.044705765E1
1.217615667E0,2.402557528E1,3.897683320E1,7.503280442E0
1.227613667E0,1.796503917E1,3.873288268E1,4.280078827E0
1.237612667E0,1.293721723E1,4.275379771E1,4.828294471E-2
1.247610667E0,6.104277379E0,4.772390295E1,-3.205619037E0
1.257608667E0,2.683704169E0,5.211411408E1,-6.598858852E0
1.267607667E0,4.267563447E0,5.965002432E1,-7.436444428E0
