"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.966364145E-1,4.736390213E1,8.513182286E0,4.325139538E2,0.000000000E0,2.909194490E2,2.547923066E1,1.329184558E1
1.596660376E0,4.736390027E1,8.513165673E0,4.331263484E2,1.151969446E0,2.681962049E2,2.506584935E1,1.298980157E1
2.596685886E0,4.736389869E1,8.513143395E0,4.324358192E2,1.549903301E0,2.709060275E2,2.414984343E1,1.343045644E1
3.596709847E0,4.736389118E1,8.513113316E0,4.333589333E2,1.632985315E0,2.605001113E2,2.383744679E1,1.388572142E1
4.596734643E0,4.736388967E1,8.513089444E0,4.350335408E2,1.232508557E0,2.586178520E2,2.349435723E1,1.373780146E1
5.596759319E0,4.736393549E1,8.513057280E0,4.368950537E2,2.184504593E0,3.240394460E2,2.279971928E1,1.239943184E1
6.596783400E0,4.736394603E1,8.512950368E0,4.386265794E2,4.228060327E0,3.026086016E2,2.240981763E1,1.304326162E1
7.596807718E0,4.736394950E1,8.512832316E0,4.378226684E2,6.088375089E0,2.912403004E2,2.155997215E1,1.241554593E1
8.596830845E0,4.736392949E1,8.512721224E0,4.356928479E2,6.895869400E0,2.773658045E2,2.031203822E1,1.198300250E1
9.596855640E0,4.736394962E1,8.512741823E0,4.378724147E2,3.513040646E0,2.987339933E2,1.957734367E1,1.291306473E1
1.059687936E1,4.736399512E1,8.512694142E0,4.339018702E2,3.856502370E0,3.178098334E2,1.863454158E1,1.212676287E1
1.159690249E1,4.736402513E1,8.512629652E0,4.313654794E2,3.988179643E0,3.122941577E2,1.764335521E1,1.143794302E1
1.259692621E1,4.736402407E1,8.512576814E0,4.301549468E2,3.250288798E0,3.011760084E2,1.662626619E1,1.029698905E1
1.359695017E1,4.736406120E1,8.512447540E0,4.336672406E2,6.081690185E0,2.992340323E2,1.525062335E1,9.670843157E0
1.459697342E1,4.736406297E1,8.512402702E0,4.348840486E2,4.917128371E0,2.977831424E2,1.404674969E1,8.989271800E0
1.559699559E1,4.736406301E1,8.512338796E0,4.336613656E2,4.642546970E0,2.935445475E2,1.334921633E1,8.593011243E0
1.659701931E1,4.736407914E1,8.512282595E0,4.370546219E2,4.308278820E0,2.992374015E2,1.275437161E1,8.329643191E0
1.759704232E1,4.736409097E1,8.512203403E0,4.392226759E2,4.681122244E0,2.971233985E2,1.196389954E1,8.118187023E0
1.859706521E1,4.736412121E1,8.512130878E0,4.388337894E2,5.301119350E0,3.051028738E2,1.145819727E1,7.338818896E0
1.959708834E1,4.736411185E1,8.512075965E0,4.381881841E2,4.047394252E0,2.859035341E2,1.105167502E1,7.008548747E0
2.044683050E1,4.736413341E1,8.512068939E0,4.349500469E2,8.821093341E-2,2.911755746E2,1.448421466E1,9.585532838E0
2.144685279E1,4.736412820E1,8.512083031E0,4.348498563E2,1.539934895E-1,2.911755852E2,1.457608566E1,9.175987995E0
2.244687520E1,4.736413749E1,8.512098140E0,4.351299117E2,5.457123310E-1,2.256713724E1,1.425838634E1,8.634228677E0
2.344689702E1,4.736414164E1,8.512149485E0,4.303452152E2,1.883657532E0,7.273534478E1,1.401233030E1,9.017389385E0
2.444691788E1,4.736414404E1,8.512195714E0,4.314985004E2,2.317107018E0,7.677599995E1,1.367308046E1,9.452749790E0
2.544694053E1,4.736412957E1,8.512277709E0,4.336458087E2,3.563816159E0,9.546580484E1,1.347942111E1,8.603375401E0
2.644696247E1,4.736411383E1,8.512346275E0,4.326165031E2,4.266289583E0,1.055034521E2,1.316905697E1,8.913625192E0
2.744548534E1,4.736409837E1,8.512399952E0,4.332332580E2,4.073746778E0,1.141403557E2,1.313534427E1,8.635267828E0
2.844550466E1,4.736407447E1,8.512485703E0,4.363553580E2,5.173542548E0,1.175026810E2,1.276293353E1,8.089738217E0
2.944553350E1,4.736402687E1,8.512524969E0,4.334161176E2,5.563343831E0,1.343007138E2,1.228732184E1,7.572126120E0
3.044555627E1,4.736399129E1,8.512595947E0,4.321538060E2,5.925541935E0,1.344348700E2,1.156853492E1,7.121167858E0
3.144557392E1,4.736399456E1,8.512668562E0,4.343576245E2,4.997454764E0,1.209881761E2,1.106039518E1,6.529239473E0
3.244560455E1,4.736400445E1,8.512745236E0,4.340640884E2,4.876157988E0,1.030201778E2,1.048777849E1,6.420865890E0
3.344562220E1,4.736399574E1,8.512811190E0,4.320785828E2,4.723464837E0,9.802335815E1,1.030320886E1,6.454428036E0
3.444564699E1,4.736399302E1,8.512887160E0,4.355486348E2,4.954685259E0,9.425047848E1,1.002676860E1,5.965509744E0
3.544567930E1,4.736397513E1,8.512922687E0,4.367780098E2,4.026709690E0,9.962190984E1,9.779565253E0,6.192601804E0
3.644569682E1,4.736397217E1,8.512987215E0,4.372611030E2,4.263965549E0,9.847590511E1,9.523959122E0,5.358898279E0
