"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.813416669E-3,2.520565796E1,-3.122097015E0,-3.190568542E1
1.781141667E-2,2.512532043E1,-2.720760345E0,-3.236727524E1
2.780941666E-2,2.495637512E1,-2.366134644E0,-3.241459274E1
3.780841667E-2,2.460797119E1,-1.468904495E0,-3.303422546E1
4.780641667E-2,2.430493164E1,-7.024040222E-1,-3.326364899E1
5.780441667E-2,2.413574219E1,-1.737995148E-1,-3.310342407E1
6.780341666E-2,2.395672607E1,4.090061188E-1,-3.310511780E1
7.780141666E-2,2.354385376E1,8.700485229E-1,-3.347824097E1
8.780041667E-2,2.314840698E1,1.398721695E0,-3.342419434E1
9.779841667E-2,2.269180298E1,1.738000870E0,-3.401242065E1
1.077964167E-1,2.224218750E1,2.055416107E0,-3.382513428E1
1.177954167E-1,2.204435730E1,2.355638504E0,-3.402339935E1
1.277934167E-1,2.202226257E1,2.684764862E0,-3.383127594E1
1.377914167E-1,2.228068542E1,2.845647812E0,-3.383683777E1
1.477904167E-1,2.253523254E1,2.912776947E0,-3.351421356E1
1.577884167E-1,2.291267395E1,2.777679443E0,-3.326819992E1
1.677874167E-1,2.315095520E1,2.832654953E0,-3.292102432E1
1.777854167E-1,2.311903381E1,2.738300323E0,-3.317889786E1
1.877834167E-1,2.292738342E1,2.842832565E0,-3.318558121E1
1.977824167E-1,2.235960388E1,2.600643158E0,-3.362131882E1
2.077804167E-1,2.142304993E1,1.909000397E0,-3.410992813E1
2.177784167E-1,2.035060120E1,1.166278839E0,-3.497743607E1
2.277774167E-1,1.922175598E1,7.081546783E-1,-3.564450455E1
2.377754167E-1,1.808757019E1,3.821697235E-1,-3.601675415E1
2.477744167E-1,1.730519104E1,2.605342865E-1,-3.619035339E1
2.577724167E-1,1.631723022E1,-1.225795746E-1,-3.684754181E1
2.677704167E-1,1.540298462E1,-2.976455688E-1,-3.740940094E1
2.777694167E-1,1.438769531E1,-5.963840485E-1,-3.763582611E1
2.877674167E-1,1.310302734E1,-8.800640106E-1,-3.796176147E1
2.977654167E-1,1.126701355E1,-1.401624680E0,-3.864405060E1
3.077644167E-1,8.968658447E0,-2.267751694E0,-3.917898560E1
3.177624167E-1,6.091613770E0,-3.364566803E0,-3.974583435E1
3.277616667E-1,2.818664551E0,-5.114591599E0,-3.985162354E1
3.377596667E-1,-1.105499268E0,-7.027748108E0,-3.991909790E1
3.477576667E-1,-5.008377075E0,-9.003738403E0,-3.918802643E1
3.577566667E-1,-8.984512329E0,-1.062507629E1,-3.784090042E1
3.677546667E-1,-1.313348389E1,-1.193386841E1,-3.608664322E1
3.777526667E-1,-1.716265869E1,-1.288556671E1,-3.400033951E1
3.877516667E-1,-2.027857971E1,-1.291457367E1,-3.232818985E1
3.977496667E-1,-2.323977661E1,-1.248347282E1,-3.058794403E1
4.077486667E-1,-2.539465332E1,-1.122390175E1,-2.926296997E1
4.177466667E-1,-2.710514832E1,-9.365671158E0,-2.826354599E1
4.277446667E-1,-2.803158569E1,-6.999677658E0,-2.746993637E1
4.377436667E-1,-2.900479126E1,-4.236743927E0,-2.689655685E1
4.477416667E-1,-2.962135315E1,-1.109716415E0,-2.658840561E1
4.577396667E-1,-3.038719177E1,1.992382050E0,-2.534453964E1
4.677386667E-1,-3.076190186E1,5.116800308E0,-2.438786697E1
4.777366667E-1,-3.138584900E1,7.843269348E0,-2.241226578E1
4.877346667E-1,-3.186488342E1,1.035678864E1,-2.078031540E1
4.977336667E-1,-3.198139954E1,1.272059345E1,-1.900259018E1
5.077316667E-1,-3.175434875E1,1.530955601E1,-1.710860062E1
5.177306667E-1,-3.136882019E1,1.776636314E1,-1.572544861E1
5.277286667E-1,-3.020468140E1,2.057945251E1,-1.476536942E1
5.377266667E-1,-2.699519348E1,2.599404144E1,-1.266572189E1
5.477256667E-1,-2.550842285E1,2.809977341E1,-1.220796967E1
5.577236667E-1,-2.421168518E1,2.957192230E1,-1.198446274E1
5.677216667E-1,-2.351239014E1,3.058788872E1,-1.192116165E1
5.777206667E-1,-2.352644348E1,3.054764748E1,-1.194121552E1
5.877186667E-1,-2.263011169E1,3.081046104E1,-1.409949493E1
5.977176667E-1,-2.237489319E1,3.050202751E1,-1.542290115E1
6.077156667E-1,-2.232333374E1,3.017148209E1,-1.609635162E1
6.177136667E-1,-2.234765625E1,3.001730347E1,-1.658406067E1
6.277126667E-1,-2.244470215E1,2.997337723E1,-1.634515381E1
6.377106667E-1,-2.269480896E1,2.988720322E1,-1.646709824E1
6.477086667E-1,-2.288626099E1,2.976730537E1,-1.646012497E1
6.577076667E-1,-2.308239746E1,2.937513161E1,-1.659618759E1
6.677056667E-1,-2.348855591E1,2.877456284E1,-1.648066711E1
6.777036667E-1,-2.433198547E1,2.807162857E1,-1.665393829E1
6.877026667E-1,-2.553523254E1,2.712888336E1,-1.617329025E1
6.977006667E-1,-2.648416138E1,2.601047516E1,-1.537851334E1
7.076986667E-1,-2.786311340E1,2.483282471E1,-1.420829391E1
7.176976667E-1,-2.896713257E1,2.357011795E1,-1.285375977E1
