"Time (s)","Distance (cm)"
1.116333333E-3,5.000000000E0
1.995647675E1,5.000000000E0
2.571799396E1,0.000000000E0
2.595138321E1,5.000000000E0
2.950098671E1,0.000000000E0
2.971767900E1,5.000000000E0
3.011757013E1,0.000000000E0
3.033447129E1,5.000000000E0
3.136767179E1,0.000000000E0
3.160105925E1,5.000000000E0
3.405174079E1,0.000000000E0
3.426843663E1,5.000000000E0
3.949093863E1,5.000000000E0
4.533441400E1,0.000000000E0
4.556777250E1,5.000000000E0
4.596783775E1,0.000000000E0
4.618452083E1,5.000000000E0
4.980100879E1,0.000000000E0
5.003396588E1,5.000000000E0
5.111742317E1,0.000000000E0
5.136739504E1,5.000000000E0
5.630109217E1,0.000000000E0
5.651779683E1,5.000000000E0
5.852597746E1,5.000000000E0
6.595167021E1,0.000000000E0
6.596827842E1,5.000000000E0
7.563990983E1,5.000000000E0
9.105204775E1,0.000000000E0
9.130197154E1,5.000000000E0
9.379159308E1,5.000000000E0
1.020673406E2,0.000000000E0
1.023005015E2,5.000000000E0
1.064995694E2,0.000000000E0
1.065995064E2,5.000000000E0
1.111764276E2,5.000000000E0
1.163501586E2,0.000000000E0
1.165667720E2,5.000000000E0
1.273372231E2,5.000000000E0
1.466088723E2,5.000000000E0
