"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.290791665E-3,4.042194214E0,4.531826019E0,7.861950989E0
1.628879167E-2,2.399360504E0,4.825814667E0,8.099506989E0
2.628679167E-2,2.715054016E0,4.492158508E0,9.670939178E0
3.628579167E-2,2.602937164E0,4.139641571E0,9.583371277E0
4.628379167E-2,1.738634491E0,3.885470123E0,8.930279388E0
5.628179167E-2,1.437161407E0,3.551364899E0,8.999136200E0
6.627979167E-2,1.147064667E0,3.181783447E0,9.475146332E0
7.627779167E-2,8.267308044E-1,3.029400330E0,1.000684067E1
8.627679167E-2,7.878117371E-1,2.943928070E0,1.029798523E1
9.627479167E-2,8.955876160E-1,2.897973633E0,1.020233414E1
1.062727917E-1,1.115779724E0,3.021915894E0,9.783804474E0
1.162707917E-1,1.367855530E0,3.257975006E0,9.351653137E0
1.262687917E-1,1.550775146E0,3.415297852E0,9.028175812E0
1.362677917E-1,1.486109619E0,3.356470184E0,8.936266937E0
1.462657917E-1,1.294208679E0,3.098855896E0,9.265133057E0
1.562637917E-1,9.337582397E-1,2.748434601E0,9.526339874E0
1.662617917E-1,4.709207153E-1,2.354753265E0,9.559570770E0
1.762597917E-1,2.868035889E-1,2.161056061E0,9.579928436E0
1.862587917E-1,1.131946106E0,3.014880524E0,9.487570496E0
1.962567917E-1,1.023571472E0,3.079546051E0,9.852511597E0
2.062547917E-1,7.429051208E-1,2.920576630E0,1.028406418E1
2.162527917E-1,7.602690125E-1,2.906356201E0,1.049258057E1
2.262507917E-1,6.318360901E-1,2.755619659E0,1.045261368E1
2.362497917E-1,4.224215698E-1,2.573897552E0,1.013557297E1
2.462477917E-1,9.595046997E-2,2.487826538E0,9.789342957E0
2.562457917E-1,-2.272274780E-1,2.383643188E0,9.665251007E0
2.662437917E-1,-3.968247986E-1,2.198478241E0,9.650731201E0
2.762427917E-1,-4.231700134E-1,2.061662750E0,9.630074158E0
2.862406667E-1,-4.284091187E-1,2.021546173E0,9.509724426E0
2.962386667E-1,-4.929249573E-1,2.077978821E0,9.209748230E0
3.062366667E-1,-5.053491211E-1,2.204914856E0,8.825347595E0
3.162346667E-1,-5.400769043E-1,2.321073303E0,8.404572601E0
3.262336667E-1,-5.477110291E-1,2.346969452E0,8.074958038E0
3.362316667E-1,-5.376818848E-1,2.352358246E0,7.942483521E0
3.462296667E-1,-7.225474548E-1,2.290237427E0,8.040379944E0
3.562276667E-1,-1.017284546E0,2.198029175E0,8.226293335E0
3.662256667E-1,-1.157093811E0,2.054178314E0,8.472082214E0
3.762246667E-1,-9.773176575E-1,1.945204926E0,8.997639313E0
3.862226667E-1,-9.629475403E-1,1.903741150E0,9.103768616E0
3.962206667E-1,-1.138532410E0,1.925745392E0,1.000459534E1
4.062186667E-1,-1.667682037E0,1.974843292E0,1.152692963E1
4.162166667E-1,-1.470242615E0,1.872905273E0,9.586514740E0
4.262156667E-1,-1.471889191E0,1.605261841E0,9.703870697E0
4.362136667E-1,-1.584754486E0,1.669927368E0,9.358089752E0
4.462116667E-1,-1.406624908E0,1.861528931E0,8.687484283E0
4.562096667E-1,-1.334774323E0,2.054477692E0,8.704548798E0
4.662076667E-1,-1.517544250E0,2.097588043E0,8.985664215E0
4.762066667E-1,-2.050735474E0,1.740879822E0,9.451794891E0
4.862046667E-1,-2.979853363E0,1.034049683E0,9.749525757E0
4.958105000E-1,-6.405779114E0,6.823111267E0,4.973856812E0
5.058095000E-1,-6.176455994E0,6.662195892E0,5.076842651E0
5.158075000E-1,-5.839506683E0,6.378685455E0,5.553152161E0
5.258055000E-1,-5.515580292E0,6.255791016E0,6.251749420E0
5.358035000E-1,-5.079537048E0,5.992638245E0,6.821913757E0
5.458015000E-1,-4.908143463E0,5.938750305E0,7.221133575E0
5.557995000E-1,-5.314398651E0,6.189179535E0,8.082442474E0
5.657985000E-1,-5.082231445E0,5.768554230E0,8.711135101E0
5.757965000E-1,-4.578379211E0,4.695435791E0,8.678952026E0
5.857945000E-1,-4.417014771E0,4.433779907E0,8.672515411E0
5.957925000E-1,-4.477938080E0,5.013524323E0,8.948990479E0
6.057905000E-1,-4.512665863E0,5.591771851E0,9.189989319E0
6.157895000E-1,-4.391417999E0,5.395979004E0,9.211245117E0
6.257875000E-1,-3.909120941E0,4.576582947E0,9.022787018E0
6.357855000E-1,-3.219804382E0,3.675007782E0,8.713679810E0
