"Time (s)","X (hPa)"
-6.267962500E-2,9.642186737E2
9.702423750E-1,9.642169952E2
2.003114375E0,9.642186737E2
3.035967375E0,9.642195129E2
4.068824375E0,9.642256927E2
4.261008375E0,9.642256927E2
5.327213375E0,9.642273712E2
6.393394375E0,9.642269897E2
7.459585375E0,9.642269897E2
8.525809375E0,9.642246246E2
9.592035375E0,9.642221069E2
1.065829937E1,9.642214966E2
1.172452337E1,9.642214966E2
1.279076437E1,9.642220306E2
1.385698238E1,9.642250824E2
1.492320038E1,9.642291260E2
1.598939137E1,9.642307281E2
1.705560137E1,9.642316437E2
1.812179737E1,9.642325592E2
1.918800637E1,9.642325592E2
2.025424537E1,9.642329407E2
2.132049337E1,9.642330933E2
2.238670837E1,9.642371368E2
2.345296137E1,9.642408752E2
2.451923337E1,9.642462158E2
2.558550137E1,9.642490387E2
2.665174737E1,9.642539215E2
2.771799137E1,9.642564392E2
2.878424037E1,9.642601776E2
2.985049637E1,9.642652130E2
3.091676737E1,9.642731476E2
3.198303437E1,9.642826080E2
3.304928237E1,9.642918396E2
3.411555837E1,9.642973328E2
3.518183437E1,9.643025208E2
3.624812238E1,9.643070984E2
3.731442738E1,9.643095398E2
3.838073437E1,9.643113708E2
3.944703837E1,9.643146515E2
4.051331637E1,9.643175507E2
4.157962037E1,9.643175507E2
4.264587837E1,9.643147278E2
4.371214337E1,9.643071747E2
4.477841037E1,9.642913818E2
4.584467137E1,9.642752075E2
4.691093337E1,9.642640686E2
4.797714837E1,9.642510986E2
4.904337637E1,9.642438507E2
5.010963337E1,9.642438507E2
5.117593437E1,9.642438507E2
5.224222037E1,9.642452240E2
5.330848737E1,9.642565155E2
5.437478237E1,9.642694855E2
5.544107137E1,9.642761993E2
5.650734338E1,9.642762756E2
5.757364937E1,9.642761993E2
5.863994237E1,9.642627716E2
5.970624637E1,9.642450714E2
6.077252137E1,9.642442322E2
6.183875638E1,9.642442322E2
6.290500437E1,9.642466736E2
6.397126537E1,9.642617798E2
6.503751937E1,9.642776489E2
6.610375637E1,9.642925262E2
6.717000537E1,9.642958832E2
6.823627837E1,9.643013000E2
6.930255037E1,9.643058014E2
7.036881637E1,9.643058014E2
7.143511437E1,9.643039703E2
7.250134937E1,9.642998505E2
7.356758837E1,9.642944336E2
7.463379437E1,9.642884064E2
7.570000037E1,9.642884064E2
7.676626037E1,9.642916107E2
7.783253037E1,9.642975616E2
7.889883737E1,9.643037415E2
7.996516337E1,9.643109131E2
8.103145237E1,9.643130493E2
8.209772437E1,9.643130493E2
8.316402338E1,9.643138885E2
8.423026637E1,9.643159485E2
8.529652237E1,9.643159485E2
8.636280537E1,9.643135834E2
8.742907737E1,9.643134308E2
8.849534837E1,9.643115997E2
8.956160137E1,9.643122864E2
9.062782437E1,9.643101501E2
9.169412537E1,9.643000793E2
9.276042837E1,9.642926025E2
9.382666737E1,9.642870331E2
9.489292437E1,9.642809296E2
9.595923437E1,9.642780304E2
9.702553437E1,9.642780304E2
9.809181737E1,9.642861938E2
9.915808437E1,9.642884827E2
1.002243344E2,9.642884827E2
1.012905594E2,9.642887878E2
1.023568154E2,9.642887878E2
1.034230584E2,9.642874908E2
1.044892784E2,9.642858124E2
1.055554604E2,9.642858124E2
1.066216794E2,9.642890930E2
1.076878514E2,9.642898560E2
1.087540694E2,9.642919159E2
1.098203294E2,9.642922974E2
1.108866034E2,9.642922974E2
1.119528554E2,9.642887878E2
1.130190454E2,9.642839813E2
1.140852354E2,9.642793274E2
1.151514064E2,9.642748260E2
1.162175994E2,9.642720795E2
1.172838074E2,9.642720795E2
1.183500474E2,9.642720795E2
1.194162424E2,9.642710114E2
1.204824404E2,9.642710114E2
1.215486594E2,9.642710114E2
1.226148824E2,9.642719269E2
1.236811074E2,9.642740631E2
1.247473164E2,9.642775726E2
1.258135614E2,9.642797089E2
1.268798074E2,9.642832947E2
1.279460304E2,9.642855835E2
1.290122484E2,9.642859650E2
1.300784954E2,9.642860413E2
1.311447284E2,9.642868805E2
1.322109724E2,9.642868805E2
1.332772244E2,9.642859650E2
1.343435114E2,9.642851257E2
1.354097724E2,9.642838287E2
1.364760714E2,9.642807007E2
1.375423174E2,9.642774963E2
1.386085464E2,9.642750549E2
1.396747674E2,9.642745972E2
1.407409874E2,9.642745972E2
1.418072094E2,9.642765045E2
1.428734804E2,9.642778778E2
1.439396974E2,9.642805481E2
1.450059074E2,9.642808533E2
1.460721294E2,9.642809296E2
1.471383474E2,9.642808533E2
1.482045434E2,9.642809296E2
1.492707634E2,9.642838287E2
1.503370124E2,9.642874146E2
1.514032694E2,9.642919159E2
1.524694994E2,9.642980194E2
1.535357104E2,9.643035889E2
1.546019854E2,9.643080139E2
1.556682064E2,9.643095398E2
1.567344374E2,9.643095398E2
1.578006654E2,9.643073273E2
1.588668724E2,9.643070221E2
1.599330354E2,9.643056488E2
1.609992144E2,9.643056488E2
1.620653684E2,9.643070984E2
1.631315794E2,9.643118286E2
1.641977904E2,9.643157959E2
1.652640044E2,9.643193817E2
1.663302234E2,9.643228149E2
1.673964054E2,9.643254089E2
1.684626164E2,9.643267059E2
1.695288174E2,9.643353271E2
1.705950264E2,9.643360138E2
1.716611984E2,9.643360138E2
1.727273684E2,9.643367004E2
1.737935274E2,9.643400574E2
1.748597274E2,9.643400574E2
1.759259244E2,9.643400574E2
1.769921194E2,9.643409729E2
1.780583594E2,9.643434906E2
1.791245844E2,9.643485260E2
1.801908224E2,9.643508148E2
1.812569704E2,9.643552399E2
1.823231404E2,9.643605804E2
1.833892874E2,9.643624878E2
1.844554564E2,9.643624878E2
1.855216784E2,9.643599701E2
1.865879244E2,9.643594360E2
1.876541644E2,9.643543243E2
1.887203864E2,9.643506622E2
1.897865934E2,9.643463898E2
1.908528194E2,9.643444824E2
1.919189874E2,9.643428802E2
1.929851214E2,9.643305969E2
1.940512764E2,9.643268585E2
1.951174574E2,9.643254852E2
1.961836584E2,9.643231201E2
1.972498604E2,9.643231201E2
1.983160204E2,9.643244171E2
1.993821684E2,9.643296051E2
2.004483094E2,9.643296051E2
2.015144484E2,9.643284607E2
