"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.791791668E-3,-8.268362284E-1,1.049077630E0,-2.401904166E-1
1.878979167E-2,-8.484051824E-1,1.296191573E0,-2.430027127E-1
2.878779167E-2,-8.504910469E-1,1.294769883E0,-2.382957190E-1
3.878679167E-2,-8.719433546E-1,1.312795758E0,-1.770035923E-1
4.878479167E-2,-9.017182589E-1,1.308719754E0,-9.867324680E-2
5.878279167E-2,-8.849691153E-1,1.304382563E0,-7.866372354E-3
6.878079167E-2,-8.206909299E-1,1.331895232E0,7.525940239E-2
7.877879167E-2,-7.269431353E-1,1.295735598E0,1.537518203E-1
8.877779167E-2,-6.343358755E-1,1.215827227E0,2.048036754E-1
9.877579167E-2,-6.238662004E-1,1.152109742E0,2.098852545E-1
1.087737917E-1,-7.201735973E-1,1.204432011E0,1.732031554E-1
1.187717917E-1,-9.370928407E-1,1.379934072E0,1.063348949E-1
1.287707917E-1,-1.191352129E0,1.624207497E0,4.612655565E-2
1.387687917E-1,-1.364391565E0,1.820725799E0,2.179336967E-3
1.487667917E-1,-1.396667838E0,1.796295524E0,-3.039644659E-2
1.587647917E-1,-1.324511290E0,1.507672548E0,-3.675980493E-2
1.687627917E-1,-1.174148202E0,1.149607658E0,-3.142043203E-2
1.787617917E-1,-9.993090034E-1,7.647249103E-1,-1.372901499E-1
1.887597917E-1,-8.236038685E-1,6.481382251E-1,-2.035200298E-1
1.987577917E-1,-6.732905507E-1,6.901831627E-1,-2.311351448E-1
2.087557917E-1,-5.047664046E-1,7.617941499E-1,-2.891539633E-1
2.187537917E-1,-3.201099336E-1,8.292322755E-1,-3.577300906E-1
2.287527917E-1,-1.771643013E-1,8.242177367E-1,-4.169063568E-1
2.387507917E-1,-9.491177648E-2,7.688535452E-1,-4.376537204E-1
2.487487917E-1,-4.164271057E-2,6.889656186E-1,-4.186170101E-1
2.587467917E-1,2.692410164E-2,6.090772152E-1,-3.912671506E-1
2.687447917E-1,1.235659570E-1,5.432912707E-1,-3.726679087E-1
2.787437917E-1,2.230475396E-1,4.787300825E-1,-3.610831499E-1
2.887416667E-1,3.004454970E-1,4.038168192E-1,-3.586048186E-1
2.987396667E-1,3.132452071E-1,3.196601272E-1,-3.685985804E-1
3.087376667E-1,2.448415905E-1,2.800407708E-1,-3.775283098E-1
3.187356667E-1,1.104129478E-1,3.007130325E-1,-3.724821508E-1
3.287346667E-1,-5.578216910E-2,3.288850188E-1,-3.776454628E-1
3.387326667E-1,-2.037087828E-1,2.915655971E-1,-3.781805038E-1
3.487306667E-1,-2.936676145E-1,2.366148084E-1,-3.645423353E-1
3.587286667E-1,-3.183801472E-1,1.781941056E-1,-3.374766111E-1
3.687266667E-1,-1.403945535E-1,2.092581838E-1,-3.590564728E-1
3.787256667E-1,-4.795089364E-2,1.313045323E-1,-3.524417281E-1
3.887236667E-1,9.902639687E-2,3.038324714E-1,-3.037381172E-1
3.987216667E-1,4.674635231E-1,6.319770813E-1,-1.903572232E-1
4.087196667E-1,6.285210848E-1,3.258135915E-1,-1.698970944E-1
4.187176667E-1,7.722340226E-1,2.927541733E-1,-1.027247086E-1
4.287166667E-1,8.040118814E-1,3.224153519E-1,6.769692525E-3
4.387146667E-1,6.081377268E-1,4.355014265E-1,9.792277217E-2
4.487126667E-1,3.530375063E-1,6.955609322E-1,1.275135577E-1
4.587106667E-1,8.896271884E-2,1.099111915E0,1.742701381E-1
4.687096667E-1,-2.976969117E-4,1.395558238E0,2.589433789E-1
4.787076667E-1,1.177106947E-1,1.363076448E0,4.146429598E-1
4.933125000E-1,-4.055198133E-1,-1.507840037E0,-3.035861552E-1
5.033115000E-1,-6.710974574E-1,-1.769624472E0,-2.660851181E-1
5.133095000E-1,-9.111906290E-1,-1.978178620E0,-2.207645178E-1
5.233075000E-1,-1.134455919E0,-2.056982040E0,-1.825050116E-1
5.333055000E-1,-1.390717149E0,-1.927123666E0,-1.868808419E-1
5.433035000E-1,-1.629464746E0,-1.983788967E0,-1.961102933E-1
5.533015000E-1,-1.775746584E0,-2.104833126E0,-2.147693336E-1
5.633005000E-1,-1.830304146E0,-2.097107410E0,-2.143469602E-1
