"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.791791668E-3,1.843564530E0,6.725680867E-1,-8.849486071E-1
1.878979167E-2,3.109530281E-1,1.036831203E0,-7.049385649E-1
2.878779167E-2,7.512414962E-1,7.726820666E-1,8.083752251E-1
3.878679167E-2,7.623053053E-1,4.929167712E-1,6.643144494E-1
4.878479167E-2,2.074709058E-2,3.156139898E-1,-4.418974757E-2
5.878279167E-2,-1.616546090E-1,6.154837668E-2,-2.865778863E-2
6.878079167E-2,-3.332874915E-1,-2.300920290E-1,3.974943048E-1
7.877879167E-2,-5.378765970E-1,-3.101749098E-1,8.842761773E-1
8.877779167E-2,-4.679129076E-1,-3.312020820E-1,1.136501672E0
9.877579167E-2,-2.586573585E-1,-3.173506129E-1,1.006383582E0
1.087737917E-1,6.298737645E-2,-1.300678039E-1,5.538137680E-1
1.187717917E-1,4.294950197E-1,1.834169224E-1,8.328364670E-2
1.287707917E-1,7.494956638E-1,4.403874323E-1,-2.854680848E-1
1.387687917E-1,8.456493976E-1,5.018764597E-1,-4.273437560E-1
1.487667917E-1,8.257510304E-1,3.745030528E-1,-1.473346317E-1
1.587647917E-1,6.231032735E-1,1.527544159E-1,7.107466042E-2
1.687627917E-1,2.869868808E-1,-1.222155780E-1,6.921290696E-2
1.787617917E-1,1.956934440E-1,-2.125131060E-1,6.184190691E-2
1.887597917E-1,1.110243434E0,7.277717958E-1,-5.207120955E-2
1.987577917E-1,1.070341084E0,8.640718545E-1,2.960690868E-1
2.087557917E-1,8.644512657E-1,7.619692366E-1,7.152741033E-1
2.187537917E-1,9.650647440E-1,7.877097031E-1,9.162814969E-1
2.287527917E-1,9.244530538E-1,6.614599849E-1,8.732097369E-1
2.387507917E-1,8.005123280E-1,4.939093360E-1,5.560743016E-1
2.487487917E-1,5.526287932E-1,4.161904845E-1,2.114587069E-1
2.587467917E-1,2.998773418E-1,3.150821856E-1,9.031901658E-2
2.687447917E-1,1.932562880E-1,1.248724066E-1,8.056586087E-2
2.787437917E-1,2.233492392E-1,-2.639199257E-2,6.669918895E-2
2.887416667E-1,2.678822183E-1,-8.936650515E-2,-4.513407290E-2
2.987396667E-1,2.454183121E-1,-6.015732408E-2,-3.358962268E-1
3.087376667E-1,2.692485664E-1,4.247563630E-2,-7.119452834E-1
3.187356667E-1,2.699462123E-1,1.442746376E-1,-1.126508780E0
3.287346667E-1,3.007787266E-1,1.706775936E-1,-1.452891587E0
3.387326667E-1,3.486980476E-1,1.918529928E-1,-1.585509362E0
3.487306667E-1,1.970566493E-1,1.570421791E-1,-1.490617238E0
3.587286667E-1,-7.073712990E-2,9.761751115E-2,-1.309345951E0
3.687266667E-1,-1.824784443E-1,-2.151336819E-2,-1.066142710E0
3.787256667E-1,1.901353732E-2,-1.179620209E-1,-5.410592365E-1
3.887236667E-1,5.903962880E-2,-1.575441626E-1,-4.326220375E-1
3.987216667E-1,-6.117992900E-2,-1.604658701E-1,4.797260374E-1
4.087196667E-1,-5.423440891E-1,-1.622029316E-1,2.018893291E0
4.187176667E-1,-3.135297498E-1,-3.292855109E-1,9.712751448E-2
4.287166667E-1,-2.853833002E-1,-6.722347954E-1,2.359608793E-1
4.387146667E-1,-3.649814469E-1,-6.757953112E-1,-8.891217649E-2
4.487126667E-1,-1.367890321E-1,-5.312363528E-1,-7.411047632E-1
4.587106667E-1,1.499240711E-2,-3.607164878E-1,-7.072026068E-1
4.687096667E-1,-5.447002977E-2,-3.234678237E-1,-4.076316226E-1
4.787076667E-1,-4.637312713E-1,-6.899081509E-1,8.116052270E-2
4.933125000E-1,-1.312216934E0,8.939404553E-1,-9.537615645E-1
5.033115000E-1,-1.163839744E0,7.796987253E-1,-9.651782531E-1
5.133095000E-1,-9.275104898E-1,5.567677814E-1,-6.285692507E-1
5.233075000E-1,-7.191826746E-1,5.074535340E-1,-8.759479880E-2
5.333055000E-1,-4.004073876E-1,3.342385411E-1,3.161963725E-1
5.433035000E-1,-3.462650943E-1,3.887380993E-1,5.411089379E-1
