"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.461935775E0,4.736392176E1,8.513216884E0,4.327336979E2,2.684619394E-1,9.043880963E1,1.990936103E1,1.007467343E1
2.461970345E0,4.736392054E1,8.513215413E0,4.327695129E2,1.292374725E-1,9.043880892E1,1.975198356E1,9.972020042E0
3.462001340E0,4.736391975E1,8.513214299E0,4.330311459E2,4.432740303E-2,9.043880834E1,2.095792867E1,1.121914979E1
4.462032692E0,4.736391906E1,8.513214043E0,4.332126618E2,7.503719130E-2,9.043880836E1,2.087067748E1,1.125577870E1
5.462061779E0,4.736391915E1,8.513218878E0,4.331843818E2,1.252222904E-1,9.043881189E1,2.100537353E1,1.129271331E1
6.462090032E0,4.736391687E1,8.513215588E0,4.331670044E2,4.694337096E-2,9.043881016E1,2.106335073E1,1.140042688E1
7.462116496E0,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.070717127E1,1.080556143E1
8.462146179E0,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.088853678E1,1.065529837E1
9.462170259E0,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.100738495E1,1.086549483E1
1.046219219E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.131054169E1,1.120080639E1
1.146221532E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.102581601E1,1.121230585E1
1.246223702E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.106863858E1,1.117061621E1
1.346225895E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.095925852E1,1.128101664E1
1.446227934E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.160824004E1,1.104308423E1
1.546230318E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.185618436E1,1.104322123E1
1.646231856E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.227501900E1,1.125069471E1
1.746233823E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.191939683E1,1.097509641E1
1.846235968E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.175705838E1,1.115268109E1
1.946237399E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.157318750E1,1.113335857E1
2.046239092E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.143850780E1,1.072212744E1
2.146240761E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.201898280E1,1.106412511E1
2.246242429E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.229392245E1,1.098016269E1
2.346244039E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.217520836E1,1.074469810E1
2.446245887E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.200910731E1,1.050895287E1
2.546247448E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.163539953E1,1.040305309E1
2.646248819E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.115804285E1,9.986211159E0
2.746250083E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.090602586E1,9.737680746E0
2.846251466E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.068203619E1,9.640634787E0
2.946252920E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.092612090E1,9.765468907E0
3.046254243E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.063355985E1,9.593600607E0
3.146255602E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.140149626E1,9.854766758E0
3.246256961E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.155987077E1,1.001228694E1
3.346258272E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.178971301E1,1.028989376E1
3.446259572E1,4.736391640E1,8.513214147E0,4.330772710E2,0.000000000E0,9.043880925E1,2.160813769E1,1.059714522E1
3.546260871E1,4.736395116E1,8.513189131E0,4.323122941E2,0.000000000E0,9.043878034E1,2.223733929E1,1.067602901E1
3.646262016E1,4.736395116E1,8.513189131E0,4.323122941E2,0.000000000E0,9.043878034E1,2.187503092E1,1.056990968E1
3.746263279E1,4.736395641E1,8.513187674E0,4.326047431E2,4.394472298E-2,9.043877767E1,2.208811452E1,1.031286423E1
3.846264555E1,4.736396406E1,8.513202337E0,4.325502658E2,0.000000000E0,9.043878611E1,2.211320648E1,1.014882587E1
3.946265771E1,4.736397505E1,8.513215024E0,4.325578409E2,1.140202265E-1,9.043879210E1,2.191250594E1,1.046465655E1
4.046266963E1,4.736397517E1,8.513214228E0,4.325945090E2,0.000000000E0,9.043879147E1,2.313673036E1,1.076059359E1
