"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.791791668E-3,1.454316711E1,-1.522678375E1,-3.611557388E1
1.878979167E-2,1.467771912E1,-1.505652618E1,-3.596403885E1
2.878779167E-2,1.483647156E1,-1.492444229E1,-3.601050186E1
3.878679167E-2,1.535383606E1,-1.442806244E1,-3.575289536E1
4.878479167E-2,1.588282776E1,-1.419183159E1,-3.586060333E1
5.878279167E-2,1.641362000E1,-1.377785301E1,-3.575849152E1
6.878079167E-2,1.709080505E1,-1.361520958E1,-3.598142242E1
7.877879167E-2,1.762382507E1,-1.327261543E1,-3.563336182E1
8.877779167E-2,1.794761658E1,-1.304438782E1,-3.593284607E1
9.877579167E-2,1.803633118E1,-1.277129745E1,-3.517363739E1
1.087737917E-1,1.861247253E1,-1.284544754E1,-3.554057312E1
1.187717917E-1,1.913804626E1,-1.260301590E1,-3.539813995E1
1.287707917E-1,1.969723511E1,-1.217686462E1,-3.508211517E1
1.387687917E-1,2.027972412E1,-1.175336075E1,-3.484619904E1
1.487667917E-1,2.096305847E1,-1.139576912E1,-3.488784790E1
1.587647917E-1,2.116499329E1,-1.087035942E1,-3.447599030E1
1.687627917E-1,2.173341370E1,-1.039332008E1,-3.417917252E1
1.787617917E-1,2.229991150E1,-9.891187668E0,-3.400922775E1
1.887597917E-1,2.263975525E1,-9.549604416E0,-3.359881210E1
1.987577917E-1,2.287898254E1,-9.192007065E0,-3.357646561E1
2.087557917E-1,2.306872559E1,-8.889451981E0,-3.341214752E1
2.187537917E-1,2.316577148E1,-8.556535721E0,-3.316065216E1
2.287527917E-1,2.363519287E1,-8.492654800E0,-3.310561371E1
2.387507917E-1,2.384722900E1,-8.252870560E0,-3.279872894E1
2.487487917E-1,2.413769531E1,-8.125638962E0,-3.262845993E1
2.587467917E-1,2.424572754E1,-8.057550430E0,-3.202611923E1
2.687447917E-1,2.455764771E1,-8.105237961E0,-3.234993362E1
2.787437917E-1,2.463806152E1,-7.821458817E0,-3.213558578E1
2.887416667E-1,2.493441772E1,-7.877470016E0,-3.211114883E1
2.987396667E-1,2.514242554E1,-7.845895767E0,-3.164273453E1
