"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.456125003E-3,-2.407294006E0,5.088069305E0,4.448898468E0
1.245312500E-2,-2.305954742E0,5.620811462E0,4.647086334E0
2.245012500E-2,-2.485880585E0,5.900879059E0,5.350323944E0
3.244712501E-2,-2.876119080E0,5.769452362E0,6.480324097E0
4.244512500E-2,-2.809657288E0,5.513484650E0,8.043074341E0
5.244212500E-2,-2.789449310E0,5.052443390E0,9.795929260E0
6.243912500E-2,-2.978805542E0,4.691244507E0,1.062789917E1
7.243612500E-2,-3.257675629E0,4.549638977E0,1.068208649E1
8.243312500E-2,-3.324137421E0,4.452191620E0,1.030636780E1
9.243012501E-2,-3.273542633E0,4.465513916E0,9.722581787E0
1.024271250E-1,-3.214116211E0,4.779411163E0,9.212292938E0
1.124241250E-1,-3.074606323E0,5.154680786E0,8.744515686E0
1.224211250E-1,-2.958298187E0,5.542075195E0,8.296497345E0
1.324181250E-1,-3.060834961E0,5.942941589E0,8.056246948E0
1.424151250E-1,-3.075654144E0,6.118077393E0,7.996072083E0
1.524131250E-1,-2.970572662E0,5.975723419E0,8.108488312E0
1.624101250E-1,-2.895877991E0,5.733826447E0,8.753347321E0
1.724071250E-1,-2.600691833E0,5.526058502E0,9.695488129E0
1.824041250E-1,-2.061812439E0,5.262157288E0,1.054093002E1
1.924011250E-1,-1.586999817E0,4.998256073E0,1.107876160E1
2.023981250E-1,-1.524280243E0,4.960983582E0,1.115300720E1
2.123951250E-1,-1.517244873E0,5.068909149E0,1.089539291E1
2.223921250E-1,-1.586850128E0,5.326074371E0,1.053015244E1
2.323891250E-1,-1.684147797E0,5.746549988E0,1.021371048E1
2.423861250E-1,-1.641187134E0,6.151757355E0,9.817334747E0
2.523831250E-1,-1.611099701E0,6.388564911E0,9.420210571E0
2.623811250E-1,-1.598226471E0,6.365961914E0,9.070687408E0
2.723781250E-1,-1.572480011E0,6.147715759E0,8.858578491E0
2.823751250E-1,-1.556613007E0,5.782624969E0,8.867410126E0
2.923721250E-1,-1.772913208E0,5.440436554E0,9.231153717E0
3.023691250E-1,-2.123933258E0,5.203179932E0,1.016865417E1
3.123661250E-1,-2.330503693E0,4.839286652E0,1.125943588E1
3.223631250E-1,-2.320324860E0,4.445156250E0,1.205443268E1
3.323601250E-1,-2.110910339E0,4.026476898E0,1.213750992E1
3.423571250E-1,-1.938319244E0,3.810925140E0,1.159159515E1
3.523541250E-1,-1.803000641E0,3.795207825E0,1.071876022E1
3.623511250E-1,-1.731150055E0,3.928430786E0,9.793683929E0
3.723481250E-1,-1.652563477E0,4.099674683E0,9.054371338E0
3.823461250E-1,-1.581461334E0,4.203858032E0,8.478668518E0
3.923431250E-1,-1.578168182E0,4.262086945E0,8.062234497E0
4.023401250E-1,-1.651066589E0,4.331392822E0,7.906857605E0
4.123371250E-1,-1.683249664E0,4.394112396E0,8.030949554E0
4.223341250E-1,-1.587299194E0,4.373155975E0,8.024512939E0
4.323311250E-1,-1.490899658E0,4.362677765E0,7.824678497E0
4.423281250E-1,-1.343605957E0,4.441713409E0,7.559879150E0
4.523251250E-1,-1.284179535E0,4.548441467E0,7.425758057E0
4.623221250E-1,-1.457070007E0,4.712500305E0,7.639064484E0
4.723191250E-1,-1.611848145E0,4.990172882E0,7.929310913E0
4.823161250E-1,-1.624421997E0,5.198090515E0,8.231831818E0
4.923131250E-1,-1.399888916E0,5.015320587E0,8.620573425E0
5.023111250E-1,-1.170266418E0,4.169429626E0,9.050180054E0
5.123081250E-1,-9.403445435E-1,3.050207062E0,8.573720856E0
5.223051250E-1,-1.406325531E0,2.271676025E0,7.088509369E0
5.323021250E-1,-2.068997498E0,1.302441559E0,6.412964172E0
5.422991250E-1,-2.740201721E0,7.152127075E-1,5.993835754E0
5.522961250E-1,-3.168910217E0,7.821235657E-1,6.565496979E0
5.622931250E-1,-2.065704346E0,1.095422058E0,7.145989838E0
5.722901250E-1,-7.713459778E-1,1.600322113E0,7.939789124E0
5.822871250E-1,-1.856140137E-1,2.596350861E0,9.772877197E0
5.922841250E-1,4.805007935E-2,4.073030090E0,1.323802139E1
6.022811250E-1,1.214574280E0,4.406835938E0,1.318383408E1
6.122791250E-1,9.243278503E-1,2.931204529E0,1.040531204E1
6.222761250E-1,-1.164578247E-1,7.638615417E-1,7.441325684E0
6.322731250E-1,-1.182540894E0,-4.049079895E-1,5.559888153E0
