"Time (s)","X (hPa)"
-5.328869167E-1,9.640274048E2
4.997970833E-1,9.640318298E2
1.532460083E0,9.640322113E2
2.565118083E0,9.640322113E2
3.597812083E0,9.640192413E2
3.790282083E0,9.640100861E2
4.856267083E0,9.640093994E2
5.922283083E0,9.639969635E2
6.988301083E0,9.639900208E2
8.054266083E0,9.639900208E2
9.120278083E0,9.639914703E2
1.018624908E1,9.639978790E2
1.125219508E1,9.640055847E2
1.231814508E1,9.640109253E2
1.338411708E1,9.640126038E2
1.445009008E1,9.640148163E2
1.551609108E1,9.640172577E2
1.658209308E1,9.640219879E2
1.764805308E1,9.640239716E2
2.082907621E1,9.639931488E2
2.186166621E1,9.640046692E2
2.289427721E1,9.640162659E2
2.392685721E1,9.640309143E2
2.495945321E1,9.640407562E2
2.515205021E1,9.640557098E2
2.621793121E1,9.640594482E2
2.728382821E1,9.640657043E2
2.834970821E1,9.640714264E2
2.941557421E1,9.640761566E2
3.048146421E1,9.640779877E2
3.154731621E1,9.640788269E2
3.261319621E1,9.640818787E2
3.367905521E1,9.640850067E2
3.474498221E1,9.640884399E2
3.581088221E1,9.640911865E2
3.687675721E1,9.640957642E2
3.794267021E1,9.640960693E2
3.900858621E1,9.640994263E2
4.007445821E1,9.641009521E2
4.114034521E1,9.641036224E2
4.220623721E1,9.641041565E2
4.327208121E1,9.641087341E2
4.433794821E1,9.641090393E2
4.540381921E1,9.641115570E2
4.646972221E1,9.641126251E2
4.753563321E1,9.641146088E2
4.860157221E1,9.641149139E2
4.966751921E1,9.641149139E2
5.073343121E1,9.641152954E2
5.179931421E1,9.641152954E2
5.286518821E1,9.641162872E2
5.393109821E1,9.641165161E2
5.499697921E1,9.641173553E2
5.606287121E1,9.641173553E2
5.712879121E1,9.641136932E2
5.819470021E1,9.641069794E2
5.926058921E1,9.640998077E2
6.032647621E1,9.640850830E2
6.139240421E1,9.640731049E2
6.245833021E1,9.640627289E2
6.352424921E1,9.640549469E2
6.459015821E1,9.640448761E2
6.565608221E1,9.640402985E2
6.672198221E1,9.640322876E2
6.778788321E1,9.640245056E2
6.885379921E1,9.640156555E2
6.991968521E1,9.640016937E2
7.098555521E1,9.639874268E2
7.205143421E1,9.639750671E2
7.311730821E1,9.639672852E2
7.418320221E1,9.639567566E2
7.524905621E1,9.639441681E2
7.631491521E1,9.639359283E2
7.738080021E1,9.639216614E2
7.844664121E1,9.638978577E2
7.951250221E1,9.638780975E2
8.057835521E1,9.638651276E2
8.164417521E1,9.638567352E2
8.271002621E1,9.638493347E2
8.377587321E1,9.638432312E2
8.484175721E1,9.638385773E2
8.590760821E1,9.638314056E2
8.697350721E1,9.638166046E2
8.803939221E1,9.638050842E2
8.910526221E1,9.637949371E2
9.017113021E1,9.637824249E2
9.123699421E1,9.637731171E2
9.230283621E1,9.637651825E2
9.336867421E1,9.637548065E2
9.443452321E1,9.637467194E2
9.550039521E1,9.637401581E2
9.656626221E1,9.637325287E2
9.763211021E1,9.637261200E2
9.869792121E1,9.637217712E2
9.976377821E1,9.637162781E2
1.008296012E2,9.637111664E2
1.018954102E2,9.637053680E2
1.029612322E2,9.636959076E2
1.040270692E2,9.636867523E2
1.050929172E2,9.636763763E2
1.061587702E2,9.636665344E2
1.072246472E2,9.636587524E2
1.082905072E2,9.636522675E2
1.093563792E2,9.636428833E2
1.104222502E2,9.636360931E2
1.114881312E2,9.636288452E2
1.125540062E2,9.636198425E2
1.136198762E2,9.636118317E2
1.146857662E2,9.636064148E2
1.157516312E2,9.636012268E2
1.168175102E2,9.635990143E2
1.178833962E2,9.635989380E2
1.189492402E2,9.635990143E2
1.200150712E2,9.636015320E2
1.210808772E2,9.636023712E2
1.221467272E2,9.636023712E2
1.232125762E2,9.636001587E2
1.242783872E2,9.635947418E2
1.253442162E2,9.635893250E2
1.264100242E2,9.635825348E2
1.274758262E2,9.635757446E2
1.285416292E2,9.635732269E2
1.296074992E2,9.635723114E2
1.306733112E2,9.635694885E2
1.317391562E2,9.635686493E2
1.328050082E2,9.635667419E2
1.338708552E2,9.635639954E2
1.349366582E2,9.635591125E2
1.360024682E2,9.635543060E2
1.370682862E2,9.635485077E2
1.381340882E2,9.635417938E2
1.391999242E2,9.635343170E2
1.402657272E2,9.635307312E2
1.413315632E2,9.635276794E2
1.423974472E2,9.635246277E2
