"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.745212500E-2,-1.164216280E0,-7.384195924E-1,-8.299699426E-1
2.744912500E-2,-1.278872490E0,-7.486939430E-1,-8.737633228E-1
3.744612500E-2,-1.184306383E0,-7.766770720E-1,-8.964433074E-1
4.744312500E-2,-8.775772452E-1,-6.625339985E-1,-8.898552060E-1
5.744012501E-2,-4.892824888E-1,-4.329463243E-1,-8.005911112E-1
6.743712501E-2,-1.130937785E-1,-2.240428030E-1,-6.375824213E-1
7.743412500E-2,2.115618140E-1,-1.262531281E-1,-4.026396871E-1
8.743112500E-2,4.469997287E-1,-1.488472223E-1,-1.519561708E-1
9.742912500E-2,5.884428620E-1,-2.614464760E-1,4.978042096E-2
1.074261250E-1,6.421064138E-1,-4.727119505E-1,1.812674850E-1
1.174231250E-1,6.285195351E-1,-7.512887120E-1,2.632622123E-1
1.274201250E-1,5.860466361E-1,-1.044688582E0,3.203343749E-1
1.374171250E-1,5.365408659E-1,-1.330735207E0,3.612319827E-1
1.474141250E-1,5.153734684E-1,-1.622775793E0,4.081780314E-1
1.574111250E-1,5.856340528E-1,-1.911544800E0,4.621997476E-1
1.674081250E-1,7.566724420E-1,-2.032758713E0,5.064997673E-1
1.774051250E-1,1.015125632E0,-2.001205206E0,5.306783319E-1
1.874021250E-1,1.296164274E0,-1.833996534E0,5.302822590E-1
1.973991250E-1,1.510068297E0,-1.617430449E0,5.356751680E-1
2.073961250E-1,1.615468383E0,-1.399850965E0,5.319946408E-1
2.173941250E-1,1.590140700E0,-1.160694242E0,5.109769702E-1
2.273911250E-1,1.463794708E0,-8.897589445E-1,4.720609784E-1
2.373881250E-1,1.263731360E0,-5.963103175E-1,3.959622085E-1
2.473851250E-1,1.013374329E0,-3.925199509E-1,2.715754807E-1
2.573821250E-1,7.246704102E-1,-3.162110746E-1,1.038943380E-1
2.673791250E-1,3.756099641E-1,-3.098434508E-1,-6.149237230E-2
2.773761250E-1,-1.664436236E-2,-2.425448298E-1,-1.902359724E-1
2.873731250E-1,-3.848606944E-1,-2.004061937E-1,-2.521257997E-1
2.973701250E-1,-6.312763095E-1,-1.744624823E-1,-2.382653803E-1
3.073671250E-1,-6.960576177E-1,-7.136119902E-2,-1.570747197E-1
3.173641250E-1,-5.811715126E-1,1.249071136E-1,-3.585534543E-2
3.273621250E-1,-3.631527424E-1,3.872205615E-1,9.988304973E-2
3.373591250E-1,-1.368951350E-1,6.011629105E-1,2.246454805E-1
3.473561250E-1,3.701492772E-2,6.903855801E-1,3.269048631E-1
3.573531250E-1,1.140966639E-1,6.470745802E-1,3.931296766E-1
3.673501250E-1,1.242236570E-1,5.333555937E-1,4.426842928E-1
3.773471250E-1,7.684575766E-2,4.350977540E-1,4.703393579E-1
3.873441250E-1,-7.601379417E-3,3.517804146E-1,4.725236297E-1
3.973411250E-1,-9.492670000E-2,2.797970474E-1,4.629373252E-1
4.073381250E-1,-1.421629637E-1,2.656986713E-1,4.331252277E-1
4.173351250E-1,-1.591861546E-1,3.592432737E-1,3.794596195E-1
4.273321250E-1,-2.048272640E-1,4.651907682E-1,2.890458703E-1
4.373301250E-1,-3.071770668E-1,5.519959331E-1,1.637819558E-1
4.473271250E-1,-4.595359564E-1,6.142770052E-1,1.922374964E-2
4.573241250E-1,-6.293050051E-1,5.767509341E-1,-1.129643768E-1
4.673211250E-1,-7.954420447E-1,5.537103415E-1,-2.291642129E-1
4.773181250E-1,-9.505105019E-1,5.405348539E-1,-3.507343233E-1
4.873151250E-1,-1.133346319E0,4.366783202E-1,-4.787693918E-1
4.973121250E-1,-1.484120131E0,2.987092435E-1,-5.788621306E-1
5.073091250E-1,-2.166886568E0,2.237682045E-1,-4.660290778E-1
5.173061250E-1,-3.101167917E0,3.043717146E-1,9.176177531E-2
5.273031250E-1,-4.006456375E0,4.949982464E-1,9.698258042E-1
5.373001250E-1,-4.706368923E0,8.911821246E-1,1.853112698E0
5.472971250E-1,-4.998775959E0,8.682441115E-1,2.540131330E0
5.572951250E-1,-4.954670429E0,3.592815101E-1,2.914195538E0
5.672921250E-1,-4.649278641E0,-3.764978647E-1,2.997594357E0
5.772891250E-1,-4.016585827E0,-5.082495213E-1,2.872755051E0
5.872861250E-1,-2.722891092E0,6.588937044E-1,2.632705212E0
5.972831250E-1,-1.236683846E0,1.862885118E0,2.220728159E0
6.072801250E-1,3.697156906E-2,2.639442205E0,1.894932270E0
6.172771250E-1,9.497804046E-1,2.976444244E0,1.777301788E0
6.272741250E-1,1.683256507E0,2.683702230E0,1.859299898E0
6.372711250E-1,2.315866232E0,2.216519356E0,2.021054506E0
6.472681250E-1,2.967055559E0,1.570169210E0,2.263000250E0
6.572651250E-1,3.863930941E0,6.939427257E-1,2.706458569E0
6.672631250E-1,4.852893829E0,-2.450325489E-1,2.956705093E0
6.772601250E-1,4.801175594E0,-3.718055487E0,2.354464054E0
6.872571250E-1,3.212436199E0,-5.789995193E0,7.600837350E-1
