"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.745212500E-2,7.861897194E-1,1.792031849E0,-3.839090009E0
2.744912500E-2,5.748897645E-1,2.203511232E0,-3.205215579E0
3.744612500E-2,1.511666045E-1,2.206093362E0,-2.143719066E0
4.744312500E-2,1.856163526E-1,2.067323440E0,-6.395760494E-1
5.744012501E-2,1.870483357E-1,1.691165040E0,1.073637671E0
6.743712501E-2,-6.561160684E-3,1.377585589E0,1.885958013E0
7.743412500E-2,-2.829757091E-1,1.246860850E0,1.936863872E0
8.743112500E-2,-3.519675913E-1,1.128343052E0,1.568271185E0
9.742912500E-2,-3.174494308E-1,1.097438178E0,9.959743685E-1
1.074261250E-1,-2.936486319E-1,1.353764032E0,4.961058426E-1
1.174231250E-1,-2.152377623E-1,1.666847932E0,3.273446739E-2
1.274201250E-1,-1.873912749E-1,1.993077250E0,-4.191658401E-1
1.374171250E-1,-4.059341758E-1,2.335620591E0,-6.715731829E-1
1.474141250E-1,-5.634534878E-1,2.455113705E0,-7.507930148E-1
1.574111250E-1,-6.296134172E-1,2.254557717E0,-6.612855917E-1
1.674081250E-1,-7.473580679E-1,1.943439943E0,-3.601767898E-2
1.774051250E-1,-6.500573297E-1,1.647399800E0,8.984925127E-1
1.874021250E-1,-3.013024910E-1,1.271885764E0,1.753755391E0
1.973991250E-1,4.620762169E-4,8.754334331E-1,2.319857667E0
2.073961250E-1,-9.106117442E-2,6.928664035E-1,2.437207777E0
2.173941250E-1,-2.181640014E-1,6.537017530E-1,2.231996820E0
2.273911250E-1,-3.987300407E-1,7.723487753E-1,1.922710102E0
2.373881250E-1,-5.797472658E-1,1.070460879E0,1.660898682E0
2.473851250E-1,-5.942827130E-1,1.374663443E0,1.313249552E0
2.573821250E-1,-6.026144837E-1,1.535589635E0,9.545333970E-1
2.673791250E-1,-6.174277467E-1,1.466000752E0,6.288563490E-1
2.773761250E-1,-6.088894963E-1,1.233687658E0,4.229437262E-1
2.873731250E-1,-6.001934440E-1,8.881213063E-1,4.196178299E-1
2.973701250E-1,-8.204843701E-1,5.921589312E-1,7.562975836E-1
3.073671250E-1,-1.172710116E0,4.141983381E-1,1.660015753E0
3.173641250E-1,-1.372864401E0,1.065283754E-1,2.720113027E0
3.273621250E-1,-1.342404647E0,-2.473281589E-1,3.495205901E0
3.373591250E-1,-1.097815397E0,-6.463702217E-1,3.571633102E0
3.473561250E-1,-8.821409203E-1,-8.609463716E-1,3.030392017E0
3.573531250E-1,-7.058665911E-1,-8.873825106E-1,2.168570318E0
3.673501250E-1,-6.031226798E-1,-7.692956516E-1,1.255825217E0
3.773471250E-1,-5.049349190E-1,-6.120871192E-1,5.268657053E-1
3.873441250E-1,-4.227321301E-1,-5.165307516E-1,-4.256246746E-2
3.973411250E-1,-4.146984212E-1,-4.591938320E-1,-4.578562814E-1
4.073381250E-1,-4.861995629E-1,-3.848201725E-1,-6.158486331E-1
4.173351250E-1,-5.113749692E-1,-3.140162382E-1,-4.952650130E-1
4.273321250E-1,-3.958635894E-1,-3.236840245E-1,-5.052163893E-1
4.373301250E-1,-2.666869743E-1,-3.152307048E-1,-7.108109236E-1
4.473271250E-1,-7.352478996E-2,-2.049583572E-1,-9.859639353E-1
4.573241250E-1,3.936711028E-2,-5.105554819E-2,-1.137474648E0
4.673211250E-1,-7.744067028E-2,1.764324233E-1,-9.491141975E-1
4.773181250E-1,-1.718981999E-1,5.332046717E-1,-6.903228647E-1
4.873151250E-1,-1.236246108E-1,8.367350981E-1,-4.262444794E-1
4.973121250E-1,1.556318307E-1,7.743841910E-1,-8.752170861E-2
5.073091250E-1,4.298134737E-1,9.431178778E-2,2.712698758E-1
5.173061250E-1,6.919204701E-1,-7.890560246E-1,-3.050106490E-1
5.273031250E-1,2.401062629E-1,-1.258279586E0,-1.915088841E0
5.373001250E-1,-4.054738538E-1,-1.853760320E0,-2.725262085E0
5.472971250E-1,-1.058091825E0,-2.029371209E0,-3.272979546E0
5.572951250E-1,-1.496361542E0,-1.542789896E0,-2.817117750E0
5.672921250E-1,-4.572617657E-1,-8.242923693E-1,-2.338930115E0
5.772891250E-1,7.352838600E-1,5.070076838E-2,-1.629162920E0
5.872861250E-1,1.286028571E0,1.332217627E0,1.566235185E-1
5.972831250E-1,1.614077834E0,2.962000059E0,3.617768219E0
6.072801250E-1,2.979371260E0,3.318001937E0,3.595506114E0
6.172771250E-1,2.939748188E0,1.758923745E0,8.764116722E-1
6.272741250E-1,2.147723678E0,-5.727214707E-1,-2.009765788E0
6.372711250E-1,1.281814044E0,-1.976459755E0,-3.804580911E0
6.472681250E-1,4.617557895E-1,-2.484930997E0,-4.178834873E0
6.572651250E-1,-3.288684583E-1,-2.485443798E0,-3.353134348E0
6.672631250E-1,-1.251159723E0,-2.942598998E0,-1.995482209E0
6.772601250E-1,-1.923376392E0,-2.934984169E0,8.626853335E-1
6.872571250E-1,-1.954664259E0,-3.123195808E0,-1.126146837E0
6.972541250E-1,1.408996247E-1,1.119826582E-1,-5.811383915E0
7.072511250E-1,4.100712563E0,1.572258109E0,-6.396336445E0
7.172481250E-1,5.963031453E0,1.296793441E0,-5.577972422E0
7.272451250E-1,5.652327955E0,1.617187530E0,-5.127162620E0
7.372421250E-1,1.316324749E0,1.768639478E0,-1.790984028E0
7.472391250E-1,-3.323982031E-1,9.624850255E-1,-1.513902605E0
7.572361250E-1,-7.075531474E-1,-1.285188764E0,-1.038518710E0
7.672331250E-1,-5.518798015E-1,-2.871850612E0,-7.532967925E-1
7.772301250E-1,-1.074000491E-1,-3.256108575E0,-7.220457637E-1
7.872281250E-1,-2.184620632E-1,-2.615972655E0,-1.045718386E0
7.972251250E-1,1.177257934E-1,-1.673060014E0,-2.010774432E0
8.072221250E-1,8.161321414E-1,-1.773255855E0,-3.315774733E0
8.172191250E-1,1.228411423E0,-2.418322147E0,-3.923699219E0
8.272161250E-1,1.439290086E0,-2.680860961E0,-3.503445797E0
8.372131250E-1,1.639721237E0,-2.490929655E0,-2.593244820E0
8.472101250E-1,1.457270274E0,-2.011250103E0,-1.741132421E0
8.572071250E-1,7.634113061E-1,-1.969830767E0,-8.202526742E-1
8.672041250E-1,-2.716809350E-1,-2.143388699E0,-1.457324946E-1
8.772011250E-1,-1.791703820E-1,-2.737899965E0,2.532627904E-1
8.871981250E-1,1.255578464E-1,-3.495409968E0,8.752153319E-1
8.971961250E-1,5.303705263E-1,-4.046686337E0,1.199038228E0
9.071931250E-1,1.066502899E0,-4.106242568E0,9.957246923E-1
9.171901250E-1,4.047156161E-1,-4.163949616E0,5.625319666E-1
9.271871250E-1,-1.382032689E0,-4.577649187E0,5.431566328E-2
9.371840000E-1,-1.946571420E0,-5.690214404E0,-6.031133974E-1
9.471810000E-1,-1.950075656E0,-6.202419385E0,-1.405924120E0
9.571780000E-1,-2.250082843E0,-5.993217704E0,-2.342128834E0
9.671750000E-1,-2.545942014E0,-6.180698733E0,-3.257956587E0
9.771720000E-1,-2.854554548E0,-6.752388024E0,-3.991794723E0
9.871690000E-1,-3.099120775E0,-7.246731516E0,-4.417090784E0
9.971660000E-1,-3.284635971E0,-7.597469730E0,-4.411257602E0
1.007164000E0,-3.367586911E0,-7.799151308E0,-4.490835283E0
1.017161000E0,-3.475944588E0,-8.143621892E0,-4.391389933E0
1.027158000E0,-3.838690644E0,-8.531569448E0,-3.931092439E0
