"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.906663179E-1,4.736415200E1,8.511688593E0,4.349797751E2,7.391070098E-1,2.903085761E2,1.393278140E1,7.595926830E0
1.690641284E0,4.736415587E1,8.511670521E0,4.348634191E2,8.856127225E-1,2.956690468E2,1.358968480E1,7.388514467E0
2.690618992E0,4.736416086E1,8.511664931E0,4.350344060E2,1.003269874E0,2.929731339E2,1.319722189E1,7.449308603E0
3.690584421E0,4.736416300E1,8.511642463E0,4.356004815E2,1.408618815E0,2.869158477E2,1.292477508E1,7.325258944E0
4.690561533E0,4.736416693E1,8.511632350E0,4.361076264E2,1.288667111E0,2.803420218E2,1.261999028E1,7.283443566E0
5.690537572E0,4.736416624E1,8.511618426E0,4.361881823E2,1.250777594E0,2.710035829E2,1.218223872E1,7.339426555E0
6.690504909E0,4.736417155E1,8.511595446E0,4.347781825E2,1.516837169E0,2.732000644E2,1.187007782E1,7.161375163E0
7.690473676E0,4.736417161E1,8.511582792E0,4.356925513E2,8.994014410E-1,2.827225995E2,1.149593400E1,7.528885000E0
8.690450907E0,4.736417780E1,8.511573969E0,4.357998596E2,1.029771358E0,2.837614537E2,1.140803962E1,7.079978239E0
9.690428138E0,4.736418369E1,8.511570027E0,4.363804144E2,7.572765135E-1,2.857735507E2,1.120598265E1,6.753964583E0
1.069040751E1,4.736417927E1,8.511562620E0,4.364364968E2,6.047368603E-1,2.677031391E2,1.086885222E1,6.549223569E0
1.169038868E1,4.736418523E1,8.511538835E0,4.366528547E2,1.246822384E0,2.797851630E2,1.053071475E1,6.295653315E0
1.269037080E1,4.736419164E1,8.511517213E0,4.363613436E2,1.619399078E0,2.868635910E2,1.025700984E1,6.315947047E0
1.369035435E1,4.736419322E1,8.511505122E0,4.365388260E2,1.347113052E0,2.883966704E2,9.934118468E0,6.152079225E0
1.469033921E1,4.736419612E1,8.511487399E0,4.365083887E2,1.463562756E0,2.870825736E2,9.674738688E0,5.705754869E0
1.569032621E1,4.736420159E1,8.511470316E0,4.365752667E2,1.405901820E0,2.895274023E2,9.365813643E0,5.396417396E0
1.669031298E1,4.736419773E1,8.511452893E0,4.366886813E2,1.316377285E0,2.833979290E2,9.046414243E0,5.123579086E0
1.769030106E1,4.736420278E1,8.511434556E0,4.370506462E2,1.353115182E0,2.901962561E2,8.876691932E0,4.952124591E0
