"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.745212500E-2,3.301872253E1,-1.111711693E1,-3.076487732E1
2.744912500E-2,3.306742859E1,-1.080739403E1,-3.070891571E1
3.744612500E-2,3.305908203E1,-1.041663742E1,-3.067955780E1
4.744312500E-2,3.291070557E1,-9.451004028E0,-3.094290924E1
5.744012501E-2,3.260784912E1,-8.758571625E0,-3.145266724E1
6.743712501E-2,3.241000366E1,-8.428478241E0,-3.187476349E1
7.743412500E-2,3.236912537E1,-8.014574051E0,-3.200588989E1
8.743112500E-2,3.233662415E1,-7.949254990E0,-3.182231903E1
9.742912500E-2,3.256437683E1,-7.904489517E0,-3.198666382E1
1.074261250E-1,3.227787781E1,-8.081018448E0,-3.237316132E1
1.174231250E-1,3.172419739E1,-8.641866684E0,-3.253199005E1
1.274201250E-1,3.159526062E1,-8.836858749E0,-3.249595642E1
1.374171250E-1,3.122668457E1,-9.108396530E0,-3.280430222E1
1.474141250E-1,3.105828857E1,-9.174928665E0,-3.323109818E1
1.574111250E-1,3.024441528E1,-9.539892197E0,-3.342262650E1
1.674081250E-1,2.933218384E1,-1.003500175E1,-3.420356369E1
1.774051250E-1,2.860542297E1,-1.043874550E1,-3.464257812E1
1.874021250E-1,2.790757751E1,-1.103584862E1,-3.495864868E1
1.973991250E-1,2.723843384E1,-1.160108757E1,-3.529220581E1
2.073961250E-1,2.684545898E1,-1.227710533E1,-3.558356476E1
2.173941250E-1,2.643992615E1,-1.286716652E1,-3.564621735E1
2.273911250E-1,2.588621521E1,-1.353714561E1,-3.591808319E1
2.373881250E-1,2.534986877E1,-1.418465233E1,-3.597183990E1
2.473851250E-1,2.516413879E1,-1.481637001E1,-3.605355835E1
2.573821250E-1,2.496769714E1,-1.519968224E1,-3.583868408E1
2.673791250E-1,2.504277039E1,-1.526066017E1,-3.580047607E1
2.773761250E-1,2.504759216E1,-1.526717567E1,-3.572439575E1
2.873731250E-1,2.496128845E1,-1.511929893E1,-3.589389038E1
2.973701250E-1,2.462205505E1,-1.493291283E1,-3.570128632E1
3.073671250E-1,2.465223694E1,-1.467428398E1,-3.597198486E1
3.173641250E-1,2.477952576E1,-1.430918694E1,-3.619306946E1
3.273621250E-1,2.500187683E1,-1.421359444E1,-3.615750122E1
3.373591250E-1,2.492350769E1,-1.411320686E1,-3.604996490E1
3.473561250E-1,2.515840149E1,-1.429529381E1,-3.595127106E1
3.573531250E-1,2.516435242E1,-1.459705162E1,-3.576453400E1
3.673501250E-1,2.546757507E1,-1.473604012E1,-3.563491821E1
3.773471250E-1,2.562257385E1,-1.482885551E1,-3.552055359E1
3.873441250E-1,2.562257385E1,-1.482885551E1,-3.552055359E1
3.973411250E-1,2.599142456E1,-1.497455025E1,-3.518888474E1
4.073381250E-1,2.601934814E1,-1.510124779E1,-3.531219864E1
4.173351250E-1,2.587783813E1,-1.514612770E1,-3.541290665E1
4.273321250E-1,2.612564087E1,-1.517191124E1,-3.525258255E1
4.373301250E-1,2.626565552E1,-1.502298546E1,-3.506404495E1
4.473271250E-1,2.657254028E1,-1.493761253E1,-3.499666214E1
4.573241250E-1,2.675848389E1,-1.478619957E1,-3.507567215E1
4.673211250E-1,2.701535034E1,-1.456608009E1,-3.486423111E1
4.773181250E-1,2.697576904E1,-1.421461868E1,-3.505896759E1
4.873151250E-1,2.722463989E1,-1.364589691E1,-3.488092041E1
