"Time (s)","Distance (cm)"
2.729916669E-3,5.000000000E0
2.138542838E1,5.000000000E0
3.265498367E1,0.000000000E0
3.277148738E1,5.000000000E0
5.447176975E1,0.000000000E0
5.470530533E1,5.000000000E0
5.663888900E1,0.000000000E0
5.685559538E1,5.000000000E0
5.770569733E1,0.000000000E0
5.793917787E1,5.000000000E0
5.885621054E1,0.000000000E0
5.910622000E1,5.000000000E0
5.997309796E1,0.000000000E0
6.017305254E1,5.000000000E0
6.330640633E1,0.000000000E0
6.352309592E1,5.000000000E0
6.550608896E1,0.000000000E0
6.572270883E1,5.000000000E0
6.657261871E1,0.000000000E0
6.667259629E1,5.000000000E0
7.652304850E1,0.000000000E0
7.663973875E1,5.000000000E0
7.764007588E1,0.000000000E0
7.777346483E1,5.000000000E0
7.874035788E1,0.000000000E0
7.897383104E1,5.000000000E0
7.985725642E1,0.000000000E0
8.010730521E1,5.000000000E0
9.430983258E1,0.000000000E0
9.440974004E1,5.000000000E0
1.007773657E2,0.000000000E0
1.009107295E2,5.000000000E0
1.072793998E2,0.000000000E0
1.073960776E2,5.000000000E0
1.083963280E2,0.000000000E0
1.085130026E2,5.000000000E0
1.137478117E2,0.000000000E0
1.138645590E2,5.000000000E0
1.148479966E2,0.000000000E0
1.149646875E2,5.000000000E0
1.169815691E2,0.000000000E0
1.172150814E2,5.000000000E0
1.235165484E2,0.000000000E0
1.236498786E2,5.000000000E0
1.365690818E2,0.000000000E0
1.366856915E2,5.000000000E0
1.431201702E2,0.000000000E0
1.433199920E2,5.000000000E0
1.442035763E2,0.000000000E0
1.443202502E2,5.000000000E0
1.825955250E2,0.000000000E0
1.827955953E2,5.000000000E0
1.830789615E2,0.000000000E0
1.831623841E2,5.000000000E0
1.880635774E2,0.000000000E0
1.881802497E2,5.000000000E0
1.913309385E2,0.000000000E0
1.914643205E2,5.000000000E0
1.924810630E2,0.000000000E0
1.925976738E2,5.000000000E0
1.948313806E2,0.000000000E0
1.949481302E2,5.000000000E0
1.959314067E2,0.000000000E0
1.960647200E2,5.000000000E0
1.970646974E2,0.000000000E0
1.971646241E2,5.000000000E0
1.993315338E2,0.000000000E0
1.994648751E2,5.000000000E0
2.004318152E2,0.000000000E0
2.005484156E2,5.000000000E0
2.026821323E2,0.000000000E0
2.028157057E2,5.000000000E0
2.038491412E2,0.000000000E0
2.040657962E2,5.000000000E0
2.050324904E2,0.000000000E0
2.052658991E2,5.000000000E0
2.062164298E2,0.000000000E0
2.063498288E2,5.000000000E0
2.074000019E2,0.000000000E0
2.075999889E2,5.000000000E0
2.084838000E2,0.000000000E0
2.087005509E2,5.000000000E0
2.090674385E2,0.000000000E0
2.091509833E2,5.000000000E0
2.096844306E2,0.000000000E0
2.099177197E2,5.000000000E0
2.108679679E2,0.000000000E0
2.110847875E2,5.000000000E0
2.155028493E2,0.000000000E0
2.156027752E2,5.000000000E0
2.166697773E2,0.000000000E0
2.168364892E2,5.000000000E0
2.178199356E2,0.000000000E0
2.179366458E2,5.000000000E0
2.190202858E2,0.000000000E0
2.191369667E2,5.000000000E0
2.202037855E2,0.000000000E0
2.203037918E2,5.000000000E0
2.214207452E2,0.000000000E0
2.215374237E2,5.000000000E0
2.226042854E2,0.000000000E0
2.228377283E2,5.000000000E0
2.237713351E2,0.000000000E0
2.240048723E2,5.000000000E0
2.243382431E2,0.000000000E0
2.244047845E2,5.000000000E0
2.249552355E2,0.000000000E0
2.250719005E2,5.000000000E0
2.255552102E2,0.000000000E0
2.256052442E2,5.000000000E0
2.488190868E2,0.000000000E0
2.490693360E2,5.000000000E0
2.593553951E2,0.000000000E0
2.594713976E2,5.000000000E0
2.605374842E2,0.000000000E0
2.606383145E2,5.000000000E0
2.628883595E2,0.000000000E0
2.630046998E2,5.000000000E0
2.640716402E2,0.000000000E0
2.642883208E2,5.000000000E0
2.652717754E2,0.000000000E0
2.654051963E2,5.000000000E0
2.664718942E2,0.000000000E0
2.665719637E2,5.000000000E0
2.676053023E2,0.000000000E0
2.677221575E2,5.000000000E0
2.699387307E2,0.000000000E0
2.700551636E2,5.000000000E0
2.711384005E2,0.000000000E0
2.713719702E2,5.000000000E0
2.769043559E2,0.000000000E0
2.770207607E2,5.000000000E0
2.780707569E2,0.000000000E0
2.783041237E2,5.000000000E0
2.792703105E2,0.000000000E0
2.794871568E2,5.000000000E0
2.804033706E2,0.000000000E0
2.805366098E2,5.000000000E0
2.815359298E2,0.000000000E0
2.817535109E2,5.000000000E0
2.843362967E2,0.000000000E0
2.843693437E2,5.000000000E0
2.861693300E2,0.000000000E0
2.862355079E2,5.000000000E0
2.941514948E2,0.000000000E0
2.942678829E2,5.000000000E0
2.969339862E2,0.000000000E0
2.969487994E2,5.000000000E0
2.975997175E2,0.000000000E0
2.976999288E2,5.000000000E0
2.987482796E2,0.000000000E0
2.988499241E2,5.000000000E0
